variable_original,puntuacion_media,puntuacion_max,targets_2_metodos,targets_3_metodos,targets_puntuacion_090,targets_puntuacion_095
PSYANYYR2,0.8203157031570316,0.8733087330873309,0,0,0,0
RSKLSDTRY,0.7765477654776548,0.8733087330873309,0,0,0,0
STMANYYR,0.7616851168511686,0.870848708487085,0,0,0,0
CBDHMPYR,0.772140221402214,0.8679786797867979,0,0,0,0
PSYANYFLAG2,0.5809758097580976,0.8667486674866748,0,0,0,0
ECSTMOYLU,0.8181119311193112,0.8644936449364494,0,0,0,0
HALLUCFLAG,0.7851578515785158,0.8638786387863879,0,0,0,0
TELEAPTYR,0.6854243542435424,0.8626486264862648,0,0,0,0
MJDABYR,0.754920049200492,0.8614186141861419,0,0,0,0
FTNDDEPND,0.7060270602706027,0.8610086100861009,0,0,0,0
TOBVNICYR,0.8328208282082821,0.8605986059860599,0,0,0,0
PSILCYFLAG,0.7670151701517015,0.8601886018860189,0,0,0,0
TRQANYYR,0.6588765887658876,0.8593685936859369,0,0,0,0
WRKHADJOB,0.6277162771627716,0.8585485854858549,0,0,0,0
RSKYFQDGR,0.8293357933579336,0.8581385813858139,0,0,0,0
TELEAPTYR2,0.6499589995899958,0.8577285772857728,0,0,0,0
SEDANYFLAG,0.6935219352193522,0.8569085690856909,0,0,0,0
RSKYFQTES,0.8110906109061091,0.8556785567855679,0,0,0,0
CIGAVGD,0.7046945469454695,0.853218532185322,0,0,0,0
UD5CNSGRP,0.7692701927019271,0.853218532185322,0,0,0,0
IRFLVVAPREC,0.7807503075030751,0.8532185321853217,0,0,0,0
IRPYUD5ALC,0.8160106601066011,0.8528085280852808,0,0,0,0
RXAMMEANY,0.7466174661746617,0.8528085280852808,0,0,0,0
DIFOBTMRJ,0.5797457974579746,0.8478884788847889,0,0,0,0
IRPINC3,0.7989954899548994,0.8474784747847478,0,0,0,0
RCVYSUBPRB,0.7220172201722017,0.8466584665846658,0,0,0,0
IRPYSEV5ALC,0.8199056990569906,0.8458384583845838,0,0,0,0
FLVVAPREC,0.7907954079540795,0.8421484214842149,0,0,0,0
GOVTPROG,0.716789667896679,0.8405084050840509,0,0,0,0
INCOME,0.7724477244772447,0.8388683886838869,0,0,0,0
FLVVAPFLAG,0.7652726527265272,0.8380483804838049,0,0,0,0
DIFGETMRJ,0.6493439934399344,0.8376383763837638,0,0,0,0
MJSMKMON,0.8021730217302172,0.8364083640836407,0,0,0,0
SNAFLMJTRY,0.7559450594505945,0.8359983599835998,0,0,0,0
IRFAMIN3,0.7723452234522346,0.8347683476834767,0,0,0,0
APPDRGMON,0.7148421484214842,0.8335383353833539,0,0,0,0
BZOANYYR,0.6668716687166872,0.8327183271832719,0,0,0,0
TOBVNICMON,0.8014555145551456,0.8318983189831899,0,0,0,0
GRSKMRJWK,0.6602091020910209,0.8314883148831488,0,0,0,0
DRVININHL,0.7718839688396884,0.8296432964329643,0,0,0,0
CATAG6,0.745541205412054,0.8288232882328823,0,0,0,0
UD5PSYANY,0.7474374743747437,0.8282082820828208,0,0,0,0
CIGYR,0.7567650676506765,0.8277982779827798,0,0,0,0
NDSSDEPND,0.6849118491184911,0.8273882738827388,0,0,0,0
EDUFULPAR,0.7226834768347683,0.8265682656826568,0,0,0,0
GRSKLSDWK,0.7669126691266913,0.8265682656826568,0,0,0,0
FUMJ18,0.7523575235752358,0.8261582615826158,0,0,0,0
INHLMOLST,0.7665539155391553,0.8230832308323083,0,0,0,0
DRVINDRG,0.7185321853218531,0.8220582205822059,0,0,0,0
RSKLSDWK,0.7621976219762198,0.8208282082820828,0,0,0,0
WRKDPSTWK,0.5719557195571956,0.8200082000820008,0,0,0,0
EDUSCHGRD2,0.7147908979089791,0.8198031980319803,0,0,0,0
AGE3,0.7428761787617876,0.8185731857318572,0,0,0,0
UD5ILAALANY,0.769680196801968,0.8167281672816729,0,0,0,0
FUALC21,0.5585280852808527,0.8163181631816318,0,0,0,0
SVYRCNSMIS,0.6591840918409184,0.8163181631816318,0,0,0,0
