variable_original,puntuacion_media,puntuacion_max,targets_f,targets_l1,targets_rf,targets_regla_final,targets_regla_detalle
NICVPMDAYS,0.8586510865108651,0.924559245592456,2,1,0,1,IRSUIPLANYR
MRJFLAG,0.707359573595736,0.923329233292333,1,1,0,1,IRAMDEYR
DRVINMARJ,0.7894116441164412,0.9227142271422714,1,2,0,1,IRAMDEYR
MRJYRBFR,0.7578413284132841,0.9202542025420254,1,2,0,1,IRAMDEYR
MJSMKYR,0.8894013940139401,0.9196391963919638,3,1,0,1,IRSUICTHNK
IRPRVHLT,0.7068470684706847,0.9192291922919229,1,1,1,1,IRSUITRYYR
IRMCDCHP,0.7924354243542435,0.918819188191882,1,1,0,1,IRSUITRYYR
ENRLCOLLST2,0.8765887658876589,0.9186141861418614,2,2,1,1,IRSUITRYYR
STMANYFLAG,0.7578925789257893,0.917179171791718,1,0,1,1,IRAMDEYR
FUNICVAP18,0.8825338253382533,0.9163591635916358,3,1,0,1,IRSUITRYYR
CASUPROB,0.8602911029110292,0.914309143091431,2,1,0,1,IRAMDEYR
PREGST,0.6671791717917179,0.9093890938909389,1,1,1,1,IRAMDEYR
PREGSTAT,0.6731242312423125,0.9081590815908159,1,1,1,1,IRAMDEYR
INHLYRLST,0.864749897498975,0.9018040180401803,1,0,4,1,IRAMDEYR
DRVINHALL,0.8163181631816319,0.8989339893398934,2,1,0,1,IRAMDEYR
CATAG3,0.8162156621566216,0.8905289052890529,1,0,1,1,IRSUICTHNK
HALLMOLST,0.800840508405084,0.8669536695366954,2,1,0,1,IRAMDEYR
