target,modelo,accuracy,accuracy_std,accuracy_train,roc_auc,roc_auc_std,roc_auc_train,average_precision,average_precision_std,average_precision_train,recall,precision,f1,balanced_accuracy,specificity,fit_time_s,gap_accuracy,gap_roc_auc,gap_average_precision
IRSUIPLANYR,Modelo de referencia,0.9750786246109806,7.148386187970058e-05,0.9750786227117645,0.5,0.0,0.5,0.024921375389019472,7.148386187971557e-05,0.024921377288235524,0.0,0.0,0.0,0.5,1.0,0.24458227157592774,-1.8992161177067146e-09,0.0,1.8992160517872225e-09
IRSUIPLANYR,Random Forest,0.9197653638769208,0.004274983740663473,0.9387140277767786,0.8113129570302288,0.013878523615401699,0.9498165390433704,0.11173052112969979,0.022893682340577353,0.6409616443407687,0.35630980524597544,0.12156641941612212,0.18116824608705367,0.6452379949405621,0.9341661846351489,1.11764497756958,0.01894866389985783,0.1385035820131416,0.5292311232110689
IRSUIPLANYR,Regresión Logística,0.802188266845776,0.0062546716032388615,0.8053727705882793,0.8255248078713395,0.02428581660336918,0.8730668904337238,0.13997051617262493,0.016215392972200468,0.16498827177828887,0.7210401891252955,0.08597560384404544,0.15361407842959887,0.7626502937545976,0.8042603983838997,1.3984390258789063,0.0031845037425032308,0.047542082562384236,0.02501775560566394
IRSUIPLANYR,XGBoost,0.8482518640385495,0.0018357019591902963,0.8625029671624536,0.8192847098475683,0.013256495019018334,0.9402295308456962,0.13434159095878478,0.02790386884617574,0.4870513082574638,0.6266801756163458,0.09880524533579702,0.1706956224475849,0.740296948466358,0.8539137213163702,0.9098451614379883,0.014251103123904096,0.12094482099812787,0.352709717298679
IRSUIPLANYR,Árbol de Decisión,0.8247311857623693,0.01099038729857121,0.8456684768853003,0.6027132205340753,0.019091193688835394,0.9262118966516992,0.07026564473974636,0.0077802775332175625,0.2894146639747047,0.4878025441855229,0.06974884399390129,0.12200394730631517,0.6605727333662574,0.833342922546992,0.6846800804138183,0.02093729112293108,0.32349867611762395,0.21914901923495836
IRSUITRYYR,Modelo de referencia,0.9889003408870888,6.559782298579383e-07,0.9889003409161623,0.5,0.0,0.5,0.01109965911291127,6.559782298214761e-07,0.011099659083837662,0.0,0.0,0.0,0.5,1.0,0.23134808540344237,2.9073521368161437e-11,0.0,-2.9073608104335236e-11
IRSUITRYYR,Random Forest,0.9784350220482786,0.0019397406929270323,0.988259462199219,0.7758002229527394,0.02718373813503275,0.9787394967184324,0.04760467584795937,0.01122469702560383,0.7874457077377429,0.09761904761904762,0.08727184503420797,0.09166680610528984,0.5429702789235742,0.9883215102281009,1.1074158191680907,0.009824440150940417,0.20293927376569298,0.7398410318897836
IRSUITRYYR,Regresión Logística,0.8245726268869138,0.005540922125764109,0.8280808186345991,0.794307028889655,0.026050012927828263,0.8954261975445412,0.08255389653322431,0.018024811247595827,0.10456320037026898,0.6452380952380953,0.04004564348984152,0.07540664930280006,0.7359118199839584,0.8265855447298216,1.434617042541504,0.003508191747685352,0.10111916865488624,0.022009303837044664
IRSUITRYYR,XGBoost,0.9187877092896132,0.006232880240905741,0.9299201828280166,0.7772735095488624,0.024334287871179888,0.977628609612719,0.05974244845637786,0.014691071604067699,0.6681419275240132,0.40476190476190477,0.05718439526052732,0.10016246141579985,0.66465957851753,0.9245572522731553,0.9159931659698486,0.011132473538403409,0.2003551000638566,0.6083994790676354
IRSUITRYYR,Árbol de Decisión,0.8710063880357322,0.015844065075238313,0.8838235377439302,0.547312870534167,0.039293795522457556,0.9543580079821099,0.025451130487331823,0.005712607302487835,0.22751811988699813,0.3404761904761905,0.030380656996395156,0.055730485330109526,0.6087186904486324,0.8769611904210741,0.6304093837738037,0.012817149708198028,0.4070451374479429,0.2020669893996663
