fold,accuracy,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,tn,fp,fn,tp,target,estrategia
5,0.7942381392890181,0.8456048360355581,0.16302227486105275,0.7393617021276596,0.08439587128111718,0.15149863760217983,0.7674989836021141,0.7956362650765686,5871,1508,49,139,IRSUIPLANYR,Sobremuestreo 1:1
1,0.8027219873150105,0.8516438242854598,0.10734465667779773,0.7380952380952381,0.04044357469015003,0.0766852195423624,0.7707712962255988,0.8034473543559594,6013,1471,22,62,IRSUITRYYR,Ponderación
2,0.8019291754756871,0.8512230854394136,0.08997243497685656,0.8095238095238095,0.04384268214055448,0.08318042813455657,0.8056838716245451,0.8018439337252806,6001,1483,16,68,IRSUITRYYR,Ponderación
3,0.8081395348837209,0.8136683655290016,0.11621982966043005,0.6547619047619048,0.03721244925575101,0.07042253521126761,0.7323114708202896,0.8098610368786745,6061,1423,29,55,IRSUITRYYR,Ponderación
4,0.816992600422833,0.8212257578071315,0.0737461784440017,0.6666666666666666,0.039631988676574664,0.07481629926519706,0.7426732585070372,0.8186798503474078,6127,1357,28,56,IRSUITRYYR,Ponderación
5,0.8112858464384829,0.8557166084394469,0.11026027004075621,0.7619047619047619,0.043478260869565216,0.08226221079691516,0.7868724664795759,0.81184017105439,6075,1408,20,64,IRSUITRYYR,Ponderación
1,0.9521670190274841,0.8558337151001503,0.11774111977106602,0.4642857142857143,0.10955056179775281,0.17727272727272728,0.7109643429793082,0.9576429716729022,7167,317,45,39,IRSUITRYYR,Sobremuestreo 0.25
2,0.9470137420718816,0.8454599972003767,0.08999677271912733,0.35714285714285715,0.07957559681697612,0.1301518438177874,0.6553886386195312,0.9536344200962052,7137,347,54,30,IRSUITRYYR,Sobremuestreo 0.25
3,0.9456923890063424,0.8164958260161359,0.12068338931441447,0.3333333333333333,0.0731070496083551,0.11991434689507495,0.6429494031712096,0.952565473009086,7129,355,56,28,IRSUITRYYR,Sobremuestreo 0.25
4,0.9508456659619451,0.8165745654221068,0.06979034823389618,0.34523809523809523,0.0838150289017341,0.13488372093023257,0.6514405334554987,0.9576429716729022,7167,317,55,29,IRSUITRYYR,Sobremuestreo 0.25
5,0.9544072948328267,0.8590885371922389,0.12052230089857235,0.39285714285714285,0.10091743119266056,0.16058394160583941,0.6767840438326874,0.960710944808232,7189,294,51,33,IRSUITRYYR,Sobremuestreo 0.25
1,0.8053646934460887,0.8443640082970655,0.100540281840161,0.6904761904761905,0.038538205980066444,0.07300188797986155,0.7485651930467537,0.806654195617317,6037,1447,26,58,IRSUITRYYR,Sobremuestreo 1:1
2,0.8088002114164905,0.8545380939655391,0.08912020548758287,0.8095238095238095,0.04536357571714476,0.08591282375236892,0.8091579496576824,0.8087920897915554,6053,1431,16,68,IRSUITRYYR,Sobremuestreo 1:1
3,0.8160676532769556,0.8179727863887405,0.12246992104739426,0.6547619047619048,0.038787023977433006,0.07323568575233022,0.7363200223969866,0.8178781400320684,6121,1363,29,55,IRSUITRYYR,Sobremuestreo 1:1
4,0.8251849894291755,0.8179751724313457,0.0756955414708215,0.6309523809523809,0.03940520446096654,0.0741777466759972,0.7291587131913161,0.8273650454302512,6192,1292,31,53,IRSUITRYYR,Sobremuestreo 1:1
5,0.8177613320999075,0.8512087716283895,0.10182983765432091,0.7619047619047619,0.044975404075895994,0.08493696084936961,0.7901465544122233,0.8183883469196847,6124,1359,20,64,IRSUITRYYR,Sobremuestreo 1:1
