target,modelo,fold,fit_time_s,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,accuracy,roc_auc_train,average_precision_train,recall_train,precision_train,f1_train,balanced_accuracy_train,specificity_train,accuracy_train
IRAMDEYR,Random Forest,5,1.1820151805877686,0.87977165500518,0.46145113376467367,0.8045292014302742,0.3447395301327886,0.4826599928494816,0.806916800477325,0.8093043995243757,0.8087749438350733,0.9249818577568513,0.6742884205654374,0.8830357142857143,0.375,0.5264371894960965,0.8496443434686598,0.8162529726516052,0.8236654334038055
IRAMDEYR,XGBoost,1,2.6496031284332275,0.8895884646962233,0.5186567094533101,0.8345238095238096,0.3344465648854962,0.4775204359673024,0.8135906800294435,0.7926575505350772,0.7973044397463002,0.9231580954179571,0.6408719241426469,0.8949091991664185,0.3646288209606987,0.5181418598638283,0.850137417656931,0.8053656361474435,0.8153017739750916
IRAMDEYR,XGBoost,2,0.6370046138763428,0.8912442139459827,0.5182365863881789,0.8535714285714285,0.3358313817330211,0.4820168067226891,0.8214052148802446,0.7892390011890607,0.7963794926004228,0.9234195464985016,0.6386523536940336,0.8946114915153319,0.3586346819429526,0.512012267848015,0.8474618099669406,0.8003121284185494,0.8107759902216642
IRAMDEYR,XGBoost,3,0.6636745929718018,0.8964224668761679,0.5077147579857105,0.8583333333333333,0.35034013605442177,0.4975845410628019,0.8298057867617915,0.8012782401902497,0.8076109936575053,0.9215411519321438,0.6405790142268942,0.8901458767490324,0.35774108638430246,0.5103695485192455,0.8453404770189871,0.8005350772889417,0.8104786759604903
IRAMDEYR,XGBoost,4,0.6713485717773438,0.8894362932450031,0.4865326286597071,0.8452380952380952,0.3461725987323257,0.49117952265652026,0.8229609025536493,0.8006837098692033,0.8056289640591966,0.9224426047702606,0.6417577918098866,0.8931229532598988,0.3622313450857281,0.5154196374881883,0.8484268155122323,0.803730677764566,0.8136500280796802
IRAMDEYR,XGBoost,5,0.6436192989349365,0.8869091190605429,0.5115589843129668,0.8247914183551848,0.3342995169082126,0.4757648676521141,0.8099878613773546,0.7951843043995244,0.7984670278842342,0.9235104505071202,0.6385521403099961,0.8976190476190476,0.3611543527721231,0.5150713004867219,0.8496901718475738,0.8017612960760999,0.8124008985200846
IRSUICTHNK,Modelo de referencia,1,0.2546403408050537,0.5,0.07452431289640592,0.0,0.0,0.0,0.5,1.0,0.9254756871035941,0.5,0.07446070496514816,0.0,0.0,0.0,0.5,1.0,0.9255392950348519
IRSUICTHNK,Modelo de referencia,2,0.23717594146728516,0.5,0.07452431289640592,0.0,0.0,0.0,0.5,1.0,0.9254756871035941,0.5,0.07446070496514816,0.0,0.0,0.0,0.5,1.0,0.9255392950348519
IRSUICTHNK,Modelo de referencia,3,0.24865436553955078,0.5,0.07452431289640592,0.0,0.0,0.0,0.5,1.0,0.9254756871035941,0.5,0.07446070496514816,0.0,0.0,0.0,0.5,1.0,0.9255392950348519
IRSUICTHNK,Modelo de referencia,4,0.2337656021118164,0.5,0.074392177589852,0.0,0.0,0.0,0.5,1.0,0.9256078224101479,0.5,0.0744937398830564,0.0,0.0,0.0,0.5,1.0,0.9255062601169436
IRSUICTHNK,Modelo de referencia,5,0.21902036666870117,0.5,0.07440200872208273,0.0,0.0,0.0,0.5,1.0,0.9255979912779173,0.5,0.07449127906976744,0.0,0.0,0.0,0.5,1.0,0.9255087209302325
IRSUICTHNK,Regresión Logística,1,1.5609261989593506,0.8129454141706258,0.28978473677665545,0.7287234042553191,0.20256283883686546,0.31700732741997684,0.7488562766565002,0.7689891490576813,0.7659883720930233,0.8316656140987286,0.31944084446337945,0.7497781721384206,0.20879663948603905,0.32663316582914576,0.7606013322054848,0.7714244922725488,0.7698126920154603
IRSUICTHNK,Regresión Logística,2,1.6583709716796875,0.8097187878456484,0.3194767622979804,0.7127659574468085,0.19891142998515587,0.31102514506769824,0.7408061654738325,0.7688463735008566,0.7646670190274841,0.8324232824924176,0.31678947114967054,0.7497781721384206,0.20828198175992113,0.32600308641975306,0.7602444060535055,0.7707106399685905,0.7691519936572958
IRSUICTHNK,Regresión Logística,3,1.447807788848877,0.8159407896602144,0.2987074874682723,0.7127659574468085,0.2020100502512563,0.31480031323414254,0.743019186604615,0.7732724157624215,0.7687632135306554,0.8307423091677859,0.3184790256155081,0.7524401064773736,0.2093568695222812,0.3275712216320618,0.7619144530673623,0.7713887996573509,0.7699778666050014
IRSUICTHNK,Regresión Logística,4,1.8938815593719482,0.8187691359762057,0.2869082969510572,0.7175843694493783,0.197361993160723,0.3095785440613027,0.7415188085648033,0.7654532476802284,0.7618921775898521,0.8299280756260914,0.3209175186136592,0.7490022172949002,0.2098136645962733,0.32780203784570594,0.7609766940272331,0.772951170759566,0.7711671236496977
IRSUICTHNK,Regresión Logística,5,1.7392051219940186,0.815364323659761,0.2855507135678029,0.7317939609236235,0.20245700245700246,0.317167051578137,0.7500346160985907,0.768275271273558,0.7655609885027091,0.8308494280515623,0.3215171397082832,0.7516629711751663,0.20835894283958206,0.3262752646775746,0.7609012646502951,0.7701395581254239,0.7687632135306554
IRSUICTHNK,Árbol de Decisión,1,0.7860174179077148,0.6939221154274557,0.1893411003883984,0.6276595744680851,0.18524332810047095,0.28606060606060607,0.7026790162460357,0.7776984580239863,0.7665169133192389,0.8767148013411428,0.4538582467384425,0.8158828748890861,0.24354390147000396,0.37511473737888834,0.8060033284392962,0.7961237819895064,0.7975950579762809
IRSUICTHNK,Árbol de Decisión,2,0.80753493309021,0.7154502138595574,0.23281292449030183,0.6666666666666666,0.1716111364673665,0.27295825771324866,0.7037645155149439,0.7408623643632211,0.7353329809725159,0.8769995505010759,0.4443024230257554,0.839396628216504,0.21767142199723885,0.3456970582861319,0.7983434224353392,0.7572902166541743,0.7634039179412639
IRSUICTHNK,Árbol de Decisión,3,0.8308241367340088,0.6925461286559655,0.19758614057011478,0.5975177304964538,0.18226068144943214,0.27932034811438045,0.6908205442887752,0.7841233580810966,0.7702167019027484,0.8808826900919169,0.4564030429390803,0.8158828748890861,0.24277227722772277,0.3741987994709533,0.8055750170569212,0.7952671592247564,0.7968022199464835
IRSUICTHNK,Árbol de Decisión,4,0.8368873596191406,0.6941871005612585,0.19560720466573336,0.6021314387211367,0.1825525040387722,0.2801652892561983,0.6927145416303757,0.7832976445396146,0.7698202959830867,0.8855050835696042,0.4732291860540958,0.825720620842572,0.2512142471667566,0.38522809558291093,0.81380976787417,0.8018989149057681,0.8036734828713951
