variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
RXZOHYMIS,Predictor principal,RC-ZOHYDRO ER - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.021
RXOXCOMIS,Predictor principal,RC-OXYCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.038
RXTRAMMIS,Predictor principal,RC-TRAMADOL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.047
RXCODEMIS,Predictor principal,RC-CODEINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.04
RXMORPMIS,Predictor principal,RC-MORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.027
RXBUPRMIS,Predictor principal,RC-BUPRENORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.03
RXOXYMMIS,Predictor principal,RC-OXYMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.023
RXDEMEMIS,Predictor principal,RC-DEMEROL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025
RXHYDMMIS,Predictor principal,RC-HYDROMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025
RXMTDNMIS,Predictor principal,RC-METHADONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.027
OTHRPNRMIS,Predictor principal,RC-OTHER PAIN RELIEVER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.129
RXBZOTMIS,Predictor principal,RC-BENZODIAZEPINE TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.011
RXALPRMIS,Predictor principal,RC-ALPRAZOLEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.011
RXLORAMIS,Predictor principal,RC-LORAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.013
RXCLONMIS,Predictor principal,RC-CLONAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.013
RXDIAZMIS,Predictor principal,RC-DIAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.013
RXMRLXMIS,Predictor principal,RC-MUSCLE RELAXANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.023
RXCYCLMIS,Predictor principal,RC-CYCLOBENZAPRINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.019
RXSOMAMIS,Predictor principal,RC-SOMA PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.017
OTHRTRQMIS,Predictor principal,RC-OTHER TRANQUILIZER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.042
RXAMMEMIS,Predictor principal,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.006
RXAMPHMIS,Predictor principal,RC-AMPHETAMINE - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.008
RXMTHPMIS,Predictor principal,RC-METHYLPHENIDATE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.004
RXANORMIS,Predictor principal,RC-ANORECTIC STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002
RXPROVMIS,Predictor principal,RC-PROVIGIL PRODUCTS- PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002
OTHRSTMMIS,Predictor principal,RC-OTHER STIMULANT PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.025
RXZOLPMIS,Predictor principal,RC-ZOLPIDEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
RXESZOMIS,Predictor principal,RC-ESZOPICLONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002
OTHRSEDMIS2,Predictor principal,RC-OTHER SEDATIVE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.034
RXBZOSMIS,Predictor principal,RC-BENZODIAZEPINE SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.002
RXBARBMIS,Predictor principal,RC-BARBITURATES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.004
ALCYDAYS,Predictor principal,RC-# OF DAYS USED ALCOHOL IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
MRJYDAYS,Predictor principal,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
COCYDAYS,Predictor principal,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
CRKYDAYS,Predictor principal,RC-# OF DAYS USED CRACK IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
HERYDAYS,Predictor principal,RC-# OF DAYS USED HEROIN IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
HALLNDAYYR,Predictor principal,RC-# OF DAYS USED HALLUCINOGENS IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
INHNDAYYR2,Predictor principal,RC-# OF DAYS USED INHALANTS IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
METHNDAYYR,Predictor principal,RC-# OF DAYS USED METHAMPHETAMINE IN PAST YEAR,RECODED DRUG USE,Recodificada,6,0.0
CIGMDAYS,Predictor principal,RC-# OF DAYS USED CIGARETTES IN PAST MONTH,RECODED DRUG USE,Recodificada,6,0.0
CGRMDAYS,Predictor principal,RC-# OF DAYS USED CIGARS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
SMKLSMDAYS,Predictor principal,RC-# OF DAYS USED SMOKELESS TOBACCO IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
NICVPMDAYS,Predictor principal,RC-# OF DAYS VAPED NICOTINE IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
ALCMDAYS,Predictor principal,RC-# OF DAYS USED ALCOHOL IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
MRJMDAYS,Predictor principal,RC-# OF DAYS USED MARIJUANA IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
COCMDAYS,Predictor principal,RC-# OF DAYS USED COCAINE IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
CRKMDAYS,Predictor principal,RC-# OF DAYS USED CRACK IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
HERMDAYS,Predictor principal,RC-# OF DAYS USED HEROIN IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
HALLNDAYPM,Predictor principal,RC-# OF DAYS USED HALLUCINOGENS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
INHNDAYPM2,Predictor principal,RC-# OF DAYS USED INHALANTS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
METHNDAYPM,Predictor principal,RC-# OF DAYS USED METHAMPHETAMINE IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
PNRNDAYPM,Predictor principal,RC-# OF DAYS MISUSED PAIN RELIEVERS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
TRQNDAYPM,Predictor principal,RC-# OF DAYS MISUSED TRANQUILIZERS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
STMNDAYPM,Predictor principal,RC-# OF DAYS MISUSED STIMULANTS IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
SEDNDAYPM,Predictor principal,RC-# OF DAYS MISUSED SEDATIVES IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
BNGDRMDAYS,Predictor principal,RC-# OF DAYS BINGE USED ALCOHOL IN PAST MONTH,RECODED DRUG USE,Recodificada,5,0.0
CIGPDAY,Predictor principal,RC-# OF CIGARETTES SMOKED PER DAY AMONG DAILY SMOKERS,RECODED DRUG USE,Recodificada,6,0.0
CIG1PACK,Predictor principal,RC-SMKED 1+ PCK OF CIGS PER DAY AMNG DLY SMKERS (1/0),RECODED DRUG USE,Recodificada,2,92.835
CIGAVGD,Predictor principal,RC-AVG NUMBER OF CIGARETTES SMOKED PER DAY,RECODED DRUG USE,Recodificada,7,86.182
CIGAVGM,Predictor principal,RC-NUMBER OF CIGARETTES SMOKED PER USER IN PAST MONTH,RECODED DRUG USE,Recodificada,142,86.182
ALCNUMDKPM,Predictor principal,RC-NUMBER OF ALC BEVS DRANK PER USER IN PAST MONTH,RECODED DRUG USE,Recodificada,199,52.248
FUCIG18,Predictor principal,RC-FIRST USED CIGARETTES PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUCIG21,Predictor principal,RC-FIRST USED CIGARETTES PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUCD218,Predictor principal,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUCD221,Predictor principal,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUCGR18,Predictor principal,RC-FIRST USED CIGARS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUCGR21,Predictor principal,RC-FIRST USED CIGARS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUSMKLSS18,Predictor principal,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUSMKLSS21,Predictor principal,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUNICVAP18,Predictor principal,RC-FIRST VAPED NICOTINE PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUNICVAP21,Predictor principal,RC-FIRST VAPED NICOTINE PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUALC18,Predictor principal,RC-FIRST USED ALCOHOL PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUALC21,Predictor principal,RC-FIRST USED ALCOHOL PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUMJ18,Predictor principal,RC-FIRST USED MARIJUANA PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUMJ21,Predictor principal,RC-FIRST USED MARIJUANA PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUCOC18,Predictor principal,RC-FIRST USED COCAINE PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUCOC21,Predictor principal,RC-FIRST USED COCAINE PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUCRK18,Predictor principal,RC-FIRST USED CRACK PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUCRK21,Predictor principal,RC-FIRST USED CRACK PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUHER18,Predictor principal,RC-FIRST USED HEROIN PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUHER21,Predictor principal,RC-FIRST USED HEROIN PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUHALLUC18,Predictor principal,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUHALLUC21,Predictor principal,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FULSD18,Predictor principal,RC-FIRST USED LSD PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FULSD21,Predictor principal,RC-FIRST USED LSD PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUPCP18,Predictor principal,RC-FIRST USED PCP PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUPCP21,Predictor principal,RC-FIRST USED PCP PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUECSTMO18,Predictor principal,RC-FIRST USED ECSTASY PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUECSTMO21,Predictor principal,RC-FIRST USED ECSTASY PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUINHAL182,Predictor principal,RC-FIRST USED INHALANTS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUINHAL212,Predictor principal,RC-FIRST USED INHALANTS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUMETHAM18,Predictor principal,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUMETHAM21,Predictor principal,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUPNRNM18,Predictor principal,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUPNRNM21,Predictor principal,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUTRQNM18,Predictor principal,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUTRQNM21,Predictor principal,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUSTMNM18,Predictor principal,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,2,0.0
FUSTMNM21,Predictor principal,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
FUSEDNM21,Predictor principal,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,2,0.0
PNRMAINRSN,Predictor principal,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,RECODED DRUG USE,Recodificada,10,0.488
TRQMAINRSN,Predictor principal,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,RECODED DRUG USE,Recodificada,9,0.383
STMMAINRSN,Predictor principal,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,RECODED DRUG USE,Recodificada,10,0.457
SEDMAINRSN,Predictor principal,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,RECODED DRUG USE,Recodificada,7,0.537
SRCPNRNM2,Predictor principal,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,8,97.139
SRCTRQNM2,Predictor principal,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,8,98.448
SRCSTMNM2,Predictor principal,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,8,98.243
SRCSEDNM2,Predictor principal,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,RECODED DRUG USE,Recodificada,8,99.698
SRCFRPNRNM,Predictor principal,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,8,99.152
SRCFRTRQNM,Predictor principal,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,8,99.372
SRCFRSTMNM,Predictor principal,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,6,99.076
SRCFRSEDNM,Predictor principal,RC-SOURCE OF FRIEND/RELATIVE SEDATIVES FOR LAST MISUSE,RECODED DRUG USE,Recodificada,3,99.884
SRCCLFRPNR,Predictor principal,RC-COLLAPSED SOURCE OF FRND/REL PAIN RLVRS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,3,99.152
SRCCLFRTRQ,Predictor principal,RC-COLLAPSED SOURCE OF FRND/REL TRANQLZRS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,3,99.372
SRCCLFRSTM,Predictor principal,RC-COLLAPSED SOURCE OF FRND/REL STIMULANTS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,3,99.076
SRCCLFRSED,Predictor principal,RC-COLLAPSED SOURCE OF FRND/REL SEDATIVES FOR LAST MISUSE,RECODED DRUG USE,Recodificada,2,99.884
RXOPPRNMMON,Predictor principal,RC-PRESCRIPTION OPIOIDS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0
NOOPPRANYYR,Predictor principal,RC-NONOPIOID PRESCRIPTION PNR - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0
NOOPPRNMYR,Predictor principal,RC-NONOPIOID PRESCRIPTION PNR - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0
IRNPCOLDREC,Predictor principal,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION REV,IMPUTED SPECIAL DRUGS,Imputada,4,0.0
IINPCOLDREC,Predictor principal,NONPRESCRIPTION COUGH OR COLD MEDS RECENCY - IMPUTATION IND,IMPUTED SPECIAL DRUGS,Imputada,3,0.0
IRGHBREC,Predictor principal,GHB RECENCY - IMPUTATION REVISED,IMPUTED SPECIAL DRUGS,Imputada,4,0.0
ANYNDLREC,Predictor principal,RC-MOST RECENT USE OF ANY DRUG WITH A NEEDLE,RECODED SPECIAL DRUGS,Recodificada,7,0.0
CHMNDLREC,Predictor principal,RC-MOST RECENT USE OF COC/HER/METH WITH A NEEDLE,RECODED SPECIAL DRUGS,Recodificada,8,0.0
HERNEDEVER,Predictor principal,RC-EVER USED A NEEDLE TO INJECT HEROIN,RECODED SPECIAL DRUGS,Recodificada,2,0.021
COCNEDEVER,Predictor principal,RC-EVER USED A NEEDLE TO INJECT COCAINE,RECODED SPECIAL DRUGS,Recodificada,2,0.093
MTHNEDEVER,Predictor principal,RC-EVER USED NEEDLE TO INJECT METHAMPHETAMINE,RECODED SPECIAL DRUGS,Recodificada,2,0.042
HERSMOEVER,Predictor principal,RC-EVER SMOKED HEROIN,RECODED SPECIAL DRUGS,Recodificada,2,0.023
HERSNIEVER,Predictor principal,RC-EVER SNIFFED HEROIN,RECODED SPECIAL DRUGS,Recodificada,2,0.023
NPCOLDFLAG,Predictor principal,RC-NONPRESCRIPTION COUGH OR COLD MEDS - EVER USED,RECODED SPECIAL DRUGS,Recodificada,2,0.0
NPCOLDYR,Predictor principal,RC-NONPRESCRIPTION COUGH OR COLD MEDS - PAST YEAR USE,RECODED SPECIAL DRUGS,Recodificada,2,0.0
NPCOLDMON,Predictor principal,RC-NONPRESCRIPTION COUGH OR COLD MEDS - PAST MONTH USE,RECODED SPECIAL DRUGS,Recodificada,2,0.0
GHBFLAG,Predictor principal,RC-GHB - EVER USED,RECODED SPECIAL DRUGS,Recodificada,2,0.0
GHBYR,Predictor principal,RC-GHB - PAST YEAR USE,RECODED SPECIAL DRUGS,Recodificada,2,0.0
GHBMON,Predictor principal,RC-GHB - PAST MONTH USE,RECODED SPECIAL DRUGS,Recodificada,2,0.0
IRPYUD5ALC,Predictor principal,ALCOHOL USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYUD5MRJ,Predictor principal,MARIJUANA USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYUD5COC,Predictor principal,COCAINE USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYUD5HER,Predictor principal,HEROIN USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYUD5HAL,Predictor principal,HALLUCINOGEN USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYUD5INH,Predictor principal,INHALANT USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYUD5MTH,Predictor principal,METHAMPHETAMINE USE DISORDER IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5PNRMIS,Predictor principal,"PAIN RELIEVER USE DISORDER, PY MISUERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5PNRUNM2,Predictor principal,"PAIN RELIEVER USE DISORD, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5TRQMIS,Predictor principal,"TRANQUILIZER USE DISORDER, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5TRQUNM,Predictor principal,"TRANQUILIZER USE DISORDER, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5STMMIS,Predictor principal,"STIMULANT USE DISORDER, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5STMUNM,Predictor principal,"STIMULANT USE DISORDER, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5SEDMIS,Predictor principal,"SEDATIVE USE DISORDER, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRUD5SEDUNM,Predictor principal,"SEDATIVE USE DISORDER, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,2,0.0
IRPYSEV5ALC,Predictor principal,ALCOHOL USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRPYSEV5MRJ,Predictor principal,MARIJUANA USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRPYSEV5COC,Predictor principal,COCAINE USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRPYSEV5HER,Predictor principal,HEROIN USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRPYSEV5HAL,Predictor principal,HALLUCINOGEN USE DISORDER SEVERITY IN THE PAST YR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRPYSEV5INH,Predictor principal,INHALANT USE DISORDER SEVERITY IN THE PAST YEAR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRPYSEV5MTH,Predictor principal,METHAMPHETAMINE USE DISORDER SEVERITY IN PAST YR - IMP REV,IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVPNRMIS,Predictor principal,"PAIN RELIEVER USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVPNRUNM2,Predictor principal,"PAIN RELIEVER USE DIS SEV, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVTRQMIS,Predictor principal,"TRANQUILIZER USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVTRQUNM,Predictor principal,"TRANQUILIZER USE DIS SEV, PY USERS BUT NOT MISUSERS-IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVSTMMIS,Predictor principal,"STIMULANT USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVSTMUNM,Predictor principal,"STIMULANT USE DIS SEV, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVSEDMIS,Predictor principal,"SEDATIVE USE DISORDER SEVERITY, PY MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
IRSEVSEDUNM,Predictor principal,"SEDATIVE USE DIS SEV, PY USERS BUT NOT MISUSERS - IMP REV",IMPUTED SUBSTANCE USE DISORDER,Imputada,4,0.0
UD5TRQSDANY,Predictor principal,RC-TRANQUILIZER OR SEDATIVE USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5PSYANY,Predictor principal,RC-PSYCHOTHERAPEUTIC USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5OPIANY2,Predictor principal,RC-OPIOID (RX OPI OR HEROIN) USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5HROPANY,Predictor principal,RC-HEROIN/RX OPIOID USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
UD5CNSANY,Predictor principal,RC-CNS STIMULANT USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5ILLANY,Predictor principal,RC-DRUG USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5IEMANY,Predictor principal,RC-DRUG OTHER THAN MRJ USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5ILALANY,Predictor principal,RC-DRUG OR ALCOHOL USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5ILAALANY,Predictor principal,RC-DRUG AND ALCOHOL USE DISORDER - PAST YEAR USERS,RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5ILNALANY,Predictor principal,"RC-DRUG USE DISORDER, NO ALC USE DISORDER - PAST YEAR USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5ALNILANY,Predictor principal,"RC-ALC USE DISORDER, NO DRUG USE DISORDER - PAST YEAR USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UDYR5OPPRANY,Predictor principal,"RC-RX OPIOID USE DISORDER, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UDYR5PNRANY2,Predictor principal,"RC-PAIN RELIEVER USE DISORDER, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UDYR5SEDANY,Predictor principal,"RC-SEDATIVE USE DISORDER, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UDYR5STMANY,Predictor principal,"RC-STIMULANT USE DISORDER, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UDYR5TRQANY,Predictor principal,"RC-TRANQUILIZER USE DISORDER, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,2,0.0
UD5CNSGRP,Predictor principal,"RC-CNS STM USE DISORDER - PY USE, MISUSE, USE/NOT MISUSE",RECODED SUBSTANCE USE DISORDER,Recodificada,3,0.0
UD5OPIGRP,Predictor principal,"RC-OPIOID USE DISORDER - PY USE, MISUSE, USE/NOT MISUSE",RECODED SUBSTANCE USE DISORDER,Recodificada,3,0.0
UD5TRQSDGRP,Predictor principal,"RC-TRQ/STM USE DISORDER - PY USE, MISUSE, USE/NOT MISUSE",RECODED SUBSTANCE USE DISORDER,Recodificada,3,0.0
SEVYRPNRANY2,Predictor principal,"RC-PAIN RELIEVER USE DISORDER SEVERITY, PY USERS",RECODED SUBSTANCE USE DISORDER,Recodificada,4,0.0
