variable,rol_base,etiqueta_codebook,modulo,tipo_version,n_unicos,pct_nan
BKSRVIOL,Predictor principal,ARRSTD & BOOKED SERIOUS VIOL OFFENSE PST 12 MOS,SPECIAL TOPICS,Original u otra,9,0.0
BKSMASLT,Predictor principal,ARRSTD & BOOKED FOR OTHER ASSAULT PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,9,0.0
BKROB,Predictor principal,ARRSTD & BOOKED FOR ROBBERY PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,7,0.0
BKARSON,Predictor principal,ARRSTD & BOOKED FOR ARSON PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,7,0.0
BKDRVINF,Predictor principal,ARRSTD & BOOKED FOR DUI PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,8,0.0
BKDRUNK,Predictor principal,ARRSTD & BOOKED FOR DRUNKENNESS PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,8,0.0
BKDRUG,Predictor principal,ARRSTD & BOOKED FOR POSSES/SALE DRUGS PAST 12 MOS,SPECIAL TOPICS,Original u otra,8,0.0
BKSEXNR,Predictor principal,ARRSTD & BOOKED SEX OFFENSE EXCL RAPE PST 12 MOS,SPECIAL TOPICS,Original u otra,7,0.0
BKFRAUD,Predictor principal,ARRSTD & BOOKED FOR FRAUD/STOL GOODS PAST 12 MOS,SPECIAL TOPICS,Original u otra,9,0.0
BKOTH,Predictor principal,ARRSTD & BOOKED FOR SOME OTHER OFF PAST 12 MOS,SPECIAL TOPICS,Original u otra,9,0.0
PROBATON,Predictor principal,ON PROBATION AT ANY TIME PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,6,0.0
PAROLREL,Predictor principal,ON PAROLE/SUPRV RELEASE PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,6,0.0
DRVINALCO,Predictor principal,DROVE UNDER INFLUENCE OF ALCOHOL PST 12 MOS,SPECIAL TOPICS,Original u otra,7,0.0
DRVINMARJ,Predictor principal,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,SPECIAL TOPICS,Original u otra,7,0.0
DRVINCOCN,Predictor principal,DROVE UNDER INFLU OF COCAINE PST 12 MOS,SPECIAL TOPICS,Original u otra,8,0.0
DRVINHERN,Predictor principal,DROVE UNDER INFLUENCE OF HEROIN PAST 12 MOS,SPECIAL TOPICS,Original u otra,8,0.0
DRVINHALL,Predictor principal,DROVE UNDER INFLU OF HALLUCINOGENS PAST 12 MOS,SPECIAL TOPICS,Original u otra,8,0.0
DRVININHL,Predictor principal,DROVE UNDER INFLUENCE OF INHALANTS PAST 12 MOS,SPECIAL TOPICS,Original u otra,6,0.0
DRVINMETH,Predictor principal,DROVE UNDER INFLU OF METHAMPHETAMINE PAST 12 MOS,SPECIAL TOPICS,Original u otra,7,0.0
DRVINALON,Predictor principal,DROVE UNDER INFLUENCE OF ONLY ALCOHOL PST 12 MOS,SPECIAL TOPICS,Original u otra,6,0.0
MXMJPNLT,Predictor principal,MAX PENALTY FOR 1ST MJ POSS < OUNCE IN YOUR STATE,SPECIAL TOPICS,Original u otra,10,0.0
DRVINALCO2,Predictor principal,RC-DROVE UNDER INFLUENCE OF ALCOHOL IN PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,2,1.106
DRVINMARJ2,Predictor principal,RC-DROVE UNDER INFLUENCE OF MARIJUANA IN PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,2,0.668
DRVINDRG,Predictor principal,RC-DROVE UNDER INFLUENCE OF SELECTED ILL DRUGS IN PAST YR,RECODED SPECIAL TOPICS,Recodificada,2,1.438
DRVINDROTMJ,Predictor principal,RC-DROVE UNDER INFLUENCE OF SELECTED ILL DRG OTH MRJ IN PY,RECODED SPECIAL TOPICS,Recodificada,2,1.03
DRVINALDRG,Predictor principal,RC-DROVE UNDER INFLUENCE OF ALC OR SELECTED ILL DRG IN PY,RECODED SPECIAL TOPICS,Recodificada,2,2.08
PAROL,Predictor principal,RC-PAROLE/SUPERVISED RELEASE STATUS IN THE PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,2,1.355
PROB,Predictor principal,RC-PROBATION STATUS IN THE PAST YEAR,RECODED SPECIAL TOPICS,Recodificada,2,1.349
CIGIRTBL,Predictor principal,NEED TO SMOKE TO FEEL LESS IRRITABLE,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGCRAVE,Predictor principal,START TO CRAVE CIGS WHEN DON'T SMOKE FOR FEW HRS,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGCRAGP,Predictor principal,CRAVING OF CIGS LIKE STRONG FORCE CAN'T CONTROL,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGINCTL,Predictor principal,FEEL A SENSE OF CONTROL OVER YOUR SMOKING,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGAVOID,Predictor principal,TEND TO AVOID PLACES THAT DON'T ALLOW SMOKING,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGFNSMK,Predictor principal,HAVE FRIENDS WHO DO NOT SMOKE CIGARETTES,NICOTINE DEPENDENCE,Original u otra,7,0.0
CIGFNLKE,Predictor principal,CHOOSE NOT TO BE AROUND FRIENDS WHO DON'T SMOKE,NICOTINE DEPENDENCE,Original u otra,11,0.0
CIGPLANE,Predictor principal,RATHER NOT TRAVEL BY AIRPLANE B/C NO SMOKING,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGRNOUT,Predictor principal,SOMETIMES WORRY THAT YOU WILL RUN OUT OF CIGS,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGREGDY,Predictor principal,SMOKE CIGS FAIRLY REGULARLY THROUGHOUT THE DAY,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGREGWK,Predictor principal,SMOKE SAME AMOUNT ON WEEKENDS AS ON WEEKDAYS,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGREGNM,Predictor principal,SMOKE SAME NUMBER OF CIGS FROM DAY TO DAY,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGNMCHG,Predictor principal,NUMBER OF CIGS SMOKE PER DAY OFTEN CHANGES,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGSVLHR,Predictor principal,"HAVE MANY CIGS IN HR, THEN NO CIGS TIL HRS LATER",NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGINFLU,Predictor principal,# OF CIGS SMOKE PER DAY INFLUENCED BY OTHER THINGS,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGNOINF,Predictor principal,SMOKING NOT AFFECTED BY OTHER THINGS,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGINCRS,Predictor principal,AMOUNT OF SMOKING HAS INCR. SINCE STARTED SMOKING,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGSATIS,Predictor principal,NEED TO SMOKE A LOT MORE TO BE SATISFIED,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGLOTMR,Predictor principal,SMOKE MUCH MORE NOW BEFORE FEEL ANYTHING,NICOTINE DEPENDENCE,Original u otra,10,0.0
CIGWAKE,Predictor principal,HOW SOON AFTER WAKING DO YOU HAVE YOUR FIRST CIG,NICOTINE DEPENDENCE,Original u otra,9,0.0
NDSSDEPND,Predictor principal,NICOTINE DEPENDENCE BASED ON NDSS SCORE,NICOTINE DEPENDENCE,Original u otra,3,0.275
FTNDDEPND,Predictor principal,NICOTINE DEPENDENCE BASED ON FTND SCALE,NICOTINE DEPENDENCE,Original u otra,3,0.526
PMNICDEP,Predictor principal,NICOTINE DEPENDENCE IN PAST MONTH,NICOTINE DEPENDENCE,Original u otra,3,0.529
IRPMNICDEP,Predictor principal,NICOTINE DEPENDENCE IN PAST MONTH - IMPUTATION REVISED,IMPUTED NICOTINE DEPENDENCE,Imputada,2,0.0
UADPEOP,Predictor principal,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,4,0.211
UADCAR,Predictor principal,RC-MOST RECENT ALCOHOL USE IN A CAR,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADHOME,Predictor principal,RC-MOST RECENT ALCOHOL USE AT HOME,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADOTHM,Predictor principal,RC-MOST RECENT ALCOHOL USE AT SOMEONE ELSE'S HOME,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADPUBL,Predictor principal,"RC-MOST RECENT ALCOHOL USE AT A PARK, BEACH, OR LOT",RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADBAR,Predictor principal,"RC-MOST RECENT ALCOHOL USE AT RESTAURANT, BAR, OR CLUB",RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADEVNT,Predictor principal,RC-MOST RECENT ALCOHOL USE AT CONCERT OR SPORTS GAME,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADSCHL,Predictor principal,RC-MOST RECENT ALCOHOL USE AT SCHOOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.285
UADROTH,Predictor principal,RC-MOST RECENT ALCOHOL USE AT SOME OTHER PLACE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,97.319
UADOTSP2,Predictor principal,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,6,0.264
UADPAID,Predictor principal,RC-UNDERAGE DRINKER PAID FOR MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,3,0.228
UADMONY,Predictor principal,RC-UNDERAGE DRINKER PURCHASED MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,3,0.237
UADBWHO,Predictor principal,RC-HOW UNDERAGE DRINKER PURCHASED MOST RECNT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,3,0.237
UADPLACE,Predictor principal,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,4,0.243
UADBUND,Predictor principal,RC-AGE PERSON WHO PURCHASED ALC FOR UNDERAGE DRINKER,RECODED CONSUMPTION OF ALCOHOL,Recodificada,3,0.237
UADCAG,Predictor principal,RC-WHO PURCHASED UNDERAGE DRINKER MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,5,0.252
UADFWHO,Predictor principal,RC-WHO GAVE UNDERAGE DRINKER MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,Recodificada,8,0.319
UADFRD,Predictor principal,"RC-MOST RECENT ALCOHOL FROM FRIEND, UNSPEC AGE/METHOD",RECODED CONSUMPTION OF ALCOHOL,Recodificada,3,0.319
CADRKMARJ2,Predictor principal,RC-USED MARIJUANA WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,0.753
CADRKCOCN2,Predictor principal,RC-USED COCAINE WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,0.099
CADRKHERN2,Predictor principal,RC-USED HEROIN WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,0.027
CADRKHALL2,Predictor principal,RC-USED HALLUCINOGENS WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,0.285
CADRKINHL2,Predictor principal,RC-USED INHALANTS WITH LAST ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,Recodificada,2,0.104
