variable,n_estados_train,n_nan_train,pct_nan_train,pct_mas_frecuente_train,modulo,tipo_variable
CIGINCRS,10,0,0.0,48.69050450593303,NICOTINE DEPENDENCE,Categórica con pocas categorías
CIGSATIS,10,0,0.0,48.69050450593303,NICOTINE DEPENDENCE,Categórica con pocas categorías
CIGLOTMR,10,0,0.0,48.69050450593303,NICOTINE DEPENDENCE,Categórica con pocas categorías
CIGWAKE,9,0,0.0,48.69050450593303,NICOTINE DEPENDENCE,Categórica con pocas categorías
NDSSDEPND,4,100,0.26427759718808636,86.15713945928803,NICOTINE DEPENDENCE,Categórica con pocas categorías
FTNDDEPND,4,195,0.5153413145167685,86.15713945928803,NICOTINE DEPENDENCE,Categórica con pocas categorías
PMNICDEP,4,195,0.5153413145167685,86.15713945928803,NICOTINE DEPENDENCE,Categórica con pocas categorías
IRPMNICDEP,2,0,0.0,92.07167208435742,IMPUTED NICOTINE DEPENDENCE,Binaria
UADPEOP,5,77,0.20349374983482652,97.09558920690293,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADCAR,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADHOME,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADOTHM,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADPUBL,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADBAR,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADEVNT,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADSCHL,3,36824,97.31758238854093,97.31758238854093,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADROTH,3,36838,97.35458125214726,97.35458125214726,RECODED CONSUMPTION OF ALCOHOL,Binaria
UADOTSP2,7,98,0.2589920452443246,99.65643912365549,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADPAID,4,84,0.22199318163799256,97.09558920690293,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADMONY,4,88,0.23256428552551597,98.82925024445677,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADBWHO,4,88,0.23256428552551597,99.34459155897355,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADPLACE,5,90,0.23784983746927774,99.38423319855177,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADBUND,4,88,0.23256428552551597,99.72779407489627,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADCAG,6,94,0.24842094135680118,99.25209439995771,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADFWHO,9,119,0.31449034065382275,98.04434578080816,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
UADFRD,4,119,0.31449034065382275,98.04434578080816,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías
CADRKMARJ2,3,292,0.7716905837892122,92.37294854515183,RECODED CONSUMPTION OF ALCOHOL,Binaria
CADRKCOCN2,3,38,0.10042548693147282,99.75422183461508,RECODED CONSUMPTION OF ALCOHOL,Binaria
CADRKHERN2,3,10,0.026427759718808636,99.95507280847804,RECODED CONSUMPTION OF ALCOHOL,Binaria
CADRKHALL2,3,109,0.28806258093501413,99.62208303602104,RECODED CONSUMPTION OF ALCOHOL,Binaria
CADRKINHL2,3,37,0.09778271095959194,99.8493617696028,RECODED CONSUMPTION OF ALCOHOL,Binaria
CADRKMETH2,3,24,0.06342662332514074,99.7647929385026,RECODED CONSUMPTION OF ALCOHOL,Binaria
CIGFLAG,2,0,0.0,51.30949549406697,RECODED DRUG USE,Binaria
CIGYR,2,0,0.0,81.50585374877771,RECODED DRUG USE,Binaria
CIGMON,2,0,0.0,86.15713945928803,RECODED DRUG USE,Binaria
CGRFLAG,2,0,0.0,69.38608314173209,RECODED DRUG USE,Binaria
CGRYR,2,0,0.0,92.07695763630117,RECODED DRUG USE,Binaria
CGRMON,2,0,0.0,95.95655276302227,RECODED DRUG USE,Binaria
PIPFLAG,2,0,0.0,91.50083247443114,RECODED DRUG USE,Binaria
PIPMON,2,0,0.0,99.22038108829514,RECODED DRUG USE,Binaria
SMKLSSFLAG,2,0,0.0,85.88757631015619,RECODED DRUG USE,Binaria
SMKLSSYR,2,0,0.0,95.75834456513121,RECODED DRUG USE,Binaria
SMKLSSMON,2,0,0.0,97.0030920478871,RECODED DRUG USE,Binaria
TOBCIGONL,4,0,0.0,82.00269563149132,RECODED DRUG USE,Categórica con pocas categorías
TOBFLAG,2,0,0.0,57.73936943365311,RECODED DRUG USE,Binaria
TOBYR,2,0,0.0,75.92166812019346,RECODED DRUG USE,Binaria
TOBMON,2,0,0.0,82.00269563149132,RECODED DRUG USE,Binaria
NICVAPFLAG,2,0,0.0,65.59634239805492,RECODED DRUG USE,Binaria
NICVAPYR,2,0,0.0,80.3351039932345,RECODED DRUG USE,Binaria
NICVAPMON,2,0,0.0,85.59951372922117,RECODED DRUG USE,Binaria
TOBVNICFLAG,2,0,0.0,63.57197600359418,RECODED DRUG USE,Binaria
TOBVNICYR,2,0,0.0,67.52556885752796,RECODED DRUG USE,Binaria
TOBVNICMON,2,0,0.0,73.77044847908243,RECODED DRUG USE,Binaria
TOBVAPONL2,4,0,0.0,73.77044847908243,RECODED DRUG USE,Categórica con pocas categorías
TOBCIGVAP2,4,0,0.0,93.83176088163006,RECODED DRUG USE,Categórica con pocas categorías
ALCFLAG,2,0,0.0,82.79024287111181,RECODED DRUG USE,Binaria
ALCYR,2,0,0.0,67.6550648801501,RECODED DRUG USE,Binaria
ALCMON,2,0,0.0,50.91572187425671,RECODED DRUG USE,Binaria
CBDHMPFLAG,2,0,0.0,63.21520124739026,RECODED DRUG USE,Binaria
CBDHMPYR,2,0,0.0,80.32717566531885,RECODED DRUG USE,Binaria
CBDHMPMON,2,0,0.0,89.14347630751341,RECODED DRUG USE,Binaria
MRJFLAG,2,0,0.0,52.5753851845979,RECODED DRUG USE,Binaria
MRJYR,2,0,0.0,71.89936309099078,RECODED DRUG USE,Binaria
MRJMON,2,0,0.0,80.56766827876001,RECODED DRUG USE,Binaria
MJSMKYR,2,0,0.0,78.50101746874918,RECODED DRUG USE,Binaria
MJVAPFLAG,2,0,0.0,73.89730172573272,RECODED DRUG USE,Binaria
MJVAPYR,2,0,0.0,87.71109173075399,RECODED DRUG USE,Binaria
MJDABYR,2,0,0.0,94.74087581595708,RECODED DRUG USE,Binaria
MJEATYR,2,0,0.0,85.61801316102434,RECODED DRUG USE,Binaria
MJMTHYR,2,0,0.0,98.49361769602791,RECODED DRUG USE,Binaria
MJSKNYR,2,0,0.0,97.68757102460425,RECODED DRUG USE,Binaria
MJPLLYR,2,0,0.0,99.31287824731098,RECODED DRUG USE,Binaria
MJOTHYR,2,0,0.0,99.80179180210894,RECODED DRUG USE,Binaria
MJCMOTHYR,2,0,0.0,96.11776209730701,RECODED DRUG USE,Binaria
MJSMKMON,2,0,0.0,85.17666957372023,RECODED DRUG USE,Binaria
MJVAPMON,2,0,0.0,91.96596104548217,RECODED DRUG USE,Binaria
MRJMONVAP2,3,0,0.0,80.56766827876001,RECODED DRUG USE,Categórica con pocas categorías
MJDABMON,2,0,0.0,96.71767224292397,RECODED DRUG USE,Binaria
MJEATMON,2,0,0.0,92.30159359391105,RECODED DRUG USE,Binaria
MJMTHMON,2,0,0.0,99.26795105578901,RECODED DRUG USE,Binaria
MJSKNMON,2,0,0.0,98.88739131583816,RECODED DRUG USE,Binaria
MJPLLMON,2,0,0.0,99.70665186712122,RECODED DRUG USE,Binaria
MJCMOTHMON,2,0,0.0,98.09984407621766,RECODED DRUG USE,Binaria
COCFLAG,2,0,0.0,85.92193239779064,RECODED DRUG USE,Binaria
COCYR,2,0,0.0,97.98091915748302,RECODED DRUG USE,Binaria
COCMON,2,0,0.0,99.28909326356404,RECODED DRUG USE,Binaria
CRKFLAG,2,0,0.0,96.56703401252675,RECODED DRUG USE,Binaria
CRKYR,2,0,0.0,99.67758133143053,RECODED DRUG USE,Binaria
CRKMON,2,0,0.0,99.86786120140596,RECODED DRUG USE,Binaria
HERFLAG,2,0,0.0,97.49200560268505,RECODED DRUG USE,Binaria
HERYR,2,0,0.0,99.73043685086816,RECODED DRUG USE,Binaria
HERMON,2,0,0.0,99.85464732154655,RECODED DRUG USE,Binaria
HALLUCFLAG,2,0,0.0,80.20032241866856,RECODED DRUG USE,Binaria
HALLUCYR,2,0,0.0,94.98929675731388,RECODED DRUG USE,Binaria
HALLUCMON,2,0,0.0,98.65746980628452,RECODED DRUG USE,Binaria
LSDFLAG,2,0,0.0,89.09590634001955,RECODED DRUG USE,Binaria
LSDYR,2,0,0.0,99.19395332857633,RECODED DRUG USE,Binaria
LSDMON,2,0,0.0,99.86786120140596,RECODED DRUG USE,Binaria
PCPFLAG,2,0,0.0,98.29012394619309,RECODED DRUG USE,Binaria
PCPYR,2,0,0.0,99.92600227278734,RECODED DRUG USE,Binaria
PCPMON,2,0,0.0,99.9867861201406,RECODED DRUG USE,Binaria
PSILCYFLAG,2,0,0.0,85.98007346917201,RECODED DRUG USE,Binaria
PSILCYYR,2,0,0.0,96.18383149660403,RECODED DRUG USE,Binaria
PSILCYMON,2,0,0.0,99.16752556885753,RECODED DRUG USE,Binaria
ECSTMOFLAG,2,0,0.0,90.53357646872274,RECODED DRUG USE,Binaria
ECSTMOYR,2,0,0.0,99.02745844234784,RECODED DRUG USE,Binaria
ECSTMOMON,2,0,0.0,99.76215016253073,RECODED DRUG USE,Binaria
DAMTFXFLAG,2,0,0.0,98.06813076455508,RECODED DRUG USE,Binaria
DAMTFXYR,2,0,0.0,99.74629350669943,RECODED DRUG USE,Binaria
DAMTFXMON,2,0,0.0,99.95507280847804,RECODED DRUG USE,Binaria
KETMINFLAG,2,0,0.0,97.46293506699438,RECODED DRUG USE,Binaria
KETMINYR,2,0,0.0,99.47144480562383,RECODED DRUG USE,Binaria
KETMINMON,2,0,0.0,99.85464732154655,RECODED DRUG USE,Binaria
SALVIAFLAG,2,0,0.0,97.58450276170089,RECODED DRUG USE,Binaria
SALVIAYR,2,0,0.0,99.96300113639367,RECODED DRUG USE,Binaria
SALVIAMON,2,0,0.0,99.98414334416871,RECODED DRUG USE,Binaria
INHALFLAG2,2,0,0.0,88.79462987922514,RECODED DRUG USE,Binaria
INHALYR2,2,0,0.0,98.78432305293481,RECODED DRUG USE,Binaria
INHALMON2,2,0,0.0,99.52430032506145,RECODED DRUG USE,Binaria
METHAMFLAG,2,0,0.0,94.476598218769,RECODED DRUG USE,Binaria
METHAMYR,2,0,0.0,98.87417743597875,RECODED DRUG USE,Binaria
METHAMMON,2,0,0.0,99.32609212717038,RECODED DRUG USE,Binaria
PNRANYFLAG2,2,0,0.0,51.6371997145802,RECODED DRUG USE,Binaria
