variable,tipo_variable,valor_mas_frecuente,freq_valor_mas_frecuente,freq_resto,pct_valor_mas_frecuente
OTHAEREVER2,Binaria,0.0,37593,246,99.3498771109173
UADBWHO,Categórica con pocas categorías,3.0,37591,248,99.34459155897355
METHAMMON,Binaria,0.0,37584,255,99.32609212717038
METHNDAYPM,Categórica con pocas categorías,5.0,37584,255,99.32609212717038
MJPLLYR,Binaria,0.0,37579,260,99.31287824731098
CLEFLUEVER2,Binaria,0.0,37579,260,99.31287824731098
COCMON,Binaria,0.0,37570,269,99.28909326356404
COCMDAYS,Categórica con pocas categorías,5.0,37570,269,99.28909326356404
RXMTDNANY2,Binaria,0.0,37565,274,99.27587938370465
MJMTHMON,Binaria,0.0,37562,277,99.26795105578901
UDYR5TRQANY,Binaria,0.0,37562,277,99.26795105578901
SEVYRTRQANY,Categórica con pocas categorías,9.0,37562,277,99.26795105578901
UADCAG,Categórica con pocas categorías,5.0,37556,283,99.25209439995771
RXOPPRNMMON,Binaria,0.0,37547,292,99.22830941621079
RXCODEMIS,Binaria,0.0,37545,294,99.22302386426702
PIPMON,Binaria,0.0,37544,295,99.22038108829514
IRPYUD5MTH,Binaria,0.0,37539,300,99.20716720843575
IRPYSEV5MTH,Categórica con pocas categorías,9.0,37539,300,99.20716720843575
KRATOMYR,Binaria,0.0,37538,301,99.20452443246386
IRUD5PNRMIS,Binaria,0.0,37536,303,99.1992388805201
IRSEVPNRMIS,Categórica con pocas categorías,9.0,37536,303,99.1992388805201
SVYROPIUNM,Categórica con pocas categorías,4.0,37536,303,99.1992388805201
LSDYR,Binaria,0.0,37534,305,99.19395332857633
IINPCOLDREC,Categórica con pocas categorías,1.0,37530,309,99.18338222468881
PNRNMMON,Binaria,0.0,37525,314,99.1701683448294
PNRNDAYPM,Categórica con pocas categorías,5.0,37525,314,99.1701683448294
PSILCYMON,Binaria,0.0,37524,315,99.16752556885753
RXHYDMANY2,Binaria,0.0,37523,316,99.16488279288565
SEDMAINRSN,Categórica con pocas categorías,9.0,37523,316,99.16488279288565
IRIMFREC,Categórica con pocas categorías,9.0,37516,323,99.14638336108248
IMFFLAG,Binaria,0.0,37516,323,99.14638336108248
SPAINTEVER2,Binaria,0.0,37512,327,99.13581225719496
OPINMMON2,Binaria,0.0,37507,332,99.12259837733556
IRUD5PNRUNM2,Binaria,0.0,37505,334,99.11731282539179
IRSEVPNRUNM2,Categórica con pocas categorías,9.0,37505,334,99.11731282539179
SRCFRPNRNM,Categórica con pocas categorías,,37503,336,99.11202727344804
SRCCLFRPNR,Categórica con pocas categorías,,37503,336,99.11202727344804
NPCOLDYR,Binaria,0.0,37495,344,99.09088506567298
SRCFRSTMNM,Categórica con pocas categorías,,37493,346,99.08559951372922
SRCCLFRSTM,Categórica con pocas categorías,,37493,346,99.08559951372922
OTHRSTMANY,Binaria,0.0,37487,352,99.06974285789794
SVYROPIMIS,Categórica con pocas categorías,4.0,37482,357,99.05652897803853
OPIIMFNMMN2,Binaria,0.0,37479,360,99.04860065012289
UD5TRQSDANY,Binaria,0.0,37475,364,99.03802954623536
UDYR5STMANY,Binaria,0.0,37475,364,99.03802954623536
UD5TRQSDGRP,Categórica con pocas categorías,3.0,37475,364,99.03802954623536
SEVYRSTMANY,Categórica con pocas categorías,9.0,37475,364,99.03802954623536
SVYRTQSDANY,Categórica con pocas categorías,4.0,37475,364,99.03802954623536
ECSTMOYR,Binaria,0.0,37471,368,99.02745844234784
