fold,accuracy,roc_auc,average_precision,recall,precision,f1,balanced_accuracy,specificity,tn,fp,fn,tp,target,modelo
5,0.7552530725518699,0.8169825311697048,0.29139409864229354,0.7513321492007105,0.19812646370023418,0.31356560415122314,0.7534501979584363,0.7555682467161622,5292,1712,140,423,IRSUICTHNK,XGBoost
1,0.7843551797040169,0.8611482177005961,0.17082755155022059,0.8148148148148148,0.08794974300399772,0.15876288659793814,0.7991949124893969,0.7835750101639789,5782,1597,35,154,IRSUIPLANYR,Regresión Logística
2,0.7904334038054969,0.8412770116252972,0.15841281838507976,0.746031746031746,0.08397855866587255,0.15096359743040685,0.7688012097823725,0.791570673532999,5841,1538,48,141,IRSUIPLANYR,Regresión Logística
3,0.7917547568710359,0.8418542252395078,0.15795922110843866,0.7566137566137566,0.08547519426180514,0.1535982814178303,0.7746342939458537,0.7926548312779509,5849,1530,46,143,IRSUIPLANYR,Regresión Logística
4,0.7953224101479915,0.8198495070057084,0.13901024730257833,0.7074468085106383,0.08174554394591273,0.1465564738292011,0.7525038920601972,0.7975609756097561,5886,1494,55,133,IRSUIPLANYR,Regresión Logística
5,0.788952028544998,0.8462644133870415,0.1630730310053103,0.7606382978723404,0.08436578171091445,0.15188528943175783,0.7751558476758369,0.7896733974793333,5827,1552,45,143,IRSUIPLANYR,Regresión Logística
1,0.7846194503171248,0.8551616879303557,0.15992117642526635,0.8253968253968254,0.0889903023388477,0.16065911431513905,0.8044859177804021,0.7835750101639789,5782,1597,33,156,IRSUIPLANYR,XGBoost
2,0.7848837209302325,0.8419987079019469,0.14373197118160602,0.7566137566137566,0.08289855072463768,0.14942528735632185,0.7711107812747602,0.7856078059357636,5797,1582,46,143,IRSUIPLANYR,XGBoost
3,0.7917547568710359,0.8474618017238968,0.17139459160795859,0.7619047619047619,0.08597014925373134,0.15450643776824036,0.7772120367322969,0.7925193115598319,5848,1531,45,144,IRSUIPLANYR,XGBoost
4,0.7905655391120507,0.8146882027330912,0.14604891680984897,0.7021276595744681,0.07947019867549669,0.1427798810167658,0.747473043879375,0.7928184281842818,5851,1529,56,132,IRSUIPLANYR,XGBoost
5,0.789216334082199,0.8444940068567212,0.18608480881271558,0.7553191489361702,0.08397397989355411,0.15114422565194252,0.7726995527849303,0.7900799566336902,5830,1549,46,142,IRSUIPLANYR,XGBoost
1,0.8027219873150105,0.8516438242854598,0.10734465667779773,0.7380952380952381,0.04044357469015003,0.0766852195423624,0.7707712962255988,0.8034473543559594,6013,1471,22,62,IRSUITRYYR,Regresión Logística
2,0.8019291754756871,0.8512230854394136,0.08997243497685656,0.8095238095238095,0.04384268214055448,0.08318042813455657,0.8056838716245451,0.8018439337252806,6001,1483,16,68,IRSUITRYYR,Regresión Logística
3,0.8081395348837209,0.8136683655290016,0.11621982966043005,0.6547619047619048,0.03721244925575101,0.07042253521126761,0.7323114708202896,0.8098610368786745,6061,1423,29,55,IRSUITRYYR,Regresión Logística
4,0.816992600422833,0.8212257578071315,0.0737461784440017,0.6666666666666666,0.039631988676574664,0.07481629926519706,0.7426732585070372,0.8186798503474078,6127,1357,28,56,IRSUITRYYR,Regresión Logística
5,0.8112858464384829,0.8557166084394469,0.11026027004075621,0.7619047619047619,0.043478260869565216,0.08226221079691516,0.7868724664795759,0.81184017105439,6075,1408,20,64,IRSUITRYYR,Regresión Logística
1,0.8258456659619451,0.853212249624596,0.10824738266780502,0.6904761904761905,0.04296296296296296,0.08089260808926081,0.7589206179532209,0.8273650454302512,6192,1292,26,58,IRSUITRYYR,XGBoost
2,0.8217494714587738,0.842304058181263,0.10123809388098295,0.7142857142857143,0.04332129963898917,0.08168822328114364,0.7686206764907995,0.8229556386958845,6159,1325,24,60,IRSUITRYYR,XGBoost
3,0.8255813953488372,0.7864181682828129,0.0818573666546822,0.5952380952380952,0.0374251497005988,0.07042253521126761,0.7117024254918429,0.8281667557455906,6198,1286,34,50,IRSUITRYYR,XGBoost
4,0.8298097251585623,0.8123393397979182,0.07570973196425333,0.6428571428571429,0.041158536585365856,0.07736389684813753,0.7373826067038254,0.8319080705505077,6226,1258,30,54,IRSUITRYYR,XGBoost
5,0.8301836923483547,0.8444458232310699,0.111639423626021,0.7261904761904762,0.04610733182161754,0.0867093105899076,0.7787707692993007,0.8313510624081251,6221,1262,23,61,IRSUITRYYR,XGBoost
