variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
CGRAGLST,WRKDHRSWK2,5747,0.12688897466601834,0.12688897466601834
CIGDLLST,NMNGTHS2,685,0.12424823164119539,0.12424823164119539
ASTHMAAGE,CGRAGLST,1128,0.12405138367422523,0.12405138367422523
CIGAGLST,NMNGTHS2,1045,0.12401692916455581,0.12401692916455581
HIGHBPAGE,MRJAGLST,1588,0.12391644551532636,0.12391644551532636
HIGHBPAGE,WRKDHRSWK2,1670,-0.12355451486985299,0.12355451486985299
BMI2,CGRAGLST,8944,0.1212480927892676,0.1212480927892676
LSDAGLST,WRKLASTYR2,1084,-0.12000600968078155,0.12000600968078155
HTINCHE2,INHLAGLST,3418,0.11978081061603707,0.11978081061603707
ALCAGLST,EDUSCKCOM,854,-0.11969765260529207,0.11969765260529207
HLCNOTMO,NMVSOPT2,1918,-0.11814202435445324,0.11814202435445324
HTINCHE2,LSDAGLST,3599,0.11624245569987554,0.11624245569987554
HTINCHE2,NMVSOPT2,34832,-0.11608700100051844,0.11608700100051844
COPDAGE,WTPOUND2,863,-0.11447683265844372,0.11447683265844372
CIGAVGM,CRKAGLST,508,0.11328775921185728,0.11328775921185728
CIGAVGM,WRKSKIPMO,574,0.1126294822315494,0.1126294822315494
ALCYLU,CIGAVGM,954,-0.11226207497922398,0.11226207497922398
INHLAGLST,WRKLASTYR2,887,-0.11092850183462447,0.11092850183462447
NMERTMT2,WRKSKIPMO,3281,0.10872131293491136,0.10872131293491136
ALCAGLST,WTPOUND2,11388,0.10837014558137967,0.10837014558137967
ALCNUMDKPM,CIGAGLST,8050,0.10526988833277712,0.10526988833277712
DIABETEAG,NMERTMT2,2895,-0.10517566682569081,0.10517566682569081
ALCNUMDKPM,COCAGLST,2830,0.10455507810784108,0.10455507810784108
CGRAGLST,NMVSOPT2,8648,0.10436089721365541,0.10436089721365541
BMI2,WRKDHRSWK2,20003,0.10104188242168076,0.10104188242168076
LSDAGLST,WTPOUND2,3599,0.09919351869210284,0.09919351869210284
CIGAGLST,NMVSOPT2,12745,0.0988930846487747,0.0988930846487747
HIGHBPAGE,WRKSICKMO,511,-0.09852010464664847,0.09852010464664847
EDUSCKCOM,NMVSOPT2,3245,0.09851810335973649,0.09851810335973649
ALCNUMDKPM,SMKAGLAST,2369,0.09814106607409266,0.09814106607409266
