orden,variable,etiqueta_variable,modulo,tipo_dato,usa_ml,usa_dl
137,HLNVOFFR,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,HEALTH INSURANCE,int64,False,True
138,HLNVREF,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,HEALTH INSURANCE,int64,False,True
139,HLNVNEED,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,HEALTH INSURANCE,int64,False,True
140,HLNVSOR,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,HEALTH INSURANCE,int64,False,True
141,IRMEDICR,MEDICARE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,int64,False,True
142,IRMCDCHP,MEDICAID/CHIP - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,int64,True,True
143,IRCHMPUS,CHAMPUS - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,int64,False,True
144,IRPRVHLT,PRIVATE HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,int64,True,True
145,IROTHHLT,OTHER HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,int64,False,True
146,HLCALL99,YES TO MEDICARE/MEDICAID/CHAMPUS/PRVHLTIN,RECODED HEALTH INSURANCE,int64,False,True
147,ANYHLTI2,COVERED BY ANY HEALTH INSURANCE - RECODE,RECODED HEALTH INSURANCE,int64,False,True
148,IRINSUR4,RC-OVERALL HEALTH INSURANCE - IMPUTATION REVISED,RECODED HEALTH INSURANCE,int64,False,True
149,OTHINS,"RC-HEALTH INSURANCE OTHER THAN PRIVATE, MEDICAID/CHIP",RECODED HEALTH INSURANCE,int64,False,True
150,CELLWRKNG,WORKING CELL PHONE,INCOME,int64,False,True
151,CELLNOTCL,NOT A CELL PHONE,INCOME,int64,False,True
152,IRFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
153,IRFAMSSI,FAM RECEIVE SSI - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
154,IRFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
155,IRFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
156,IRFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
157,IRPINC3,RECODE -RESP TOT INCOME - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
158,IRFAMIN3,RECODE - TOT FAM INCOME - IMPUTATION REVISED,IMPUTED INCOME,int64,False,True
159,GOVTPROG,RC-PARTICIPATED IN ONE OR MORE GOVT ASSIST PROGRAMS,RECODED INCOME,int64,False,True
160,INCOME,RC-TOTAL FAMILY INCOME RECODE,RECODED INCOME,int64,False,True
161,POVERTY3,RC-POVERTY LEVEL (% OF US CENSUS POVERTY THRESHOLD),RECODED INCOME,float64,False,True
162,BOOKED,EVER ARRESTED AND BOOKED FOR BREAKING THE LAW,SPECIAL TOPICS,int64,False,True
163,NOBOOKY2,# TIMES ARRESTED AND BOOKED PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
164,BKMVTHFT,ARRSTD & BOOKED FOR MOT VEH THEFT PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
165,BKLARCNY,ARRSTD & BOOKED FOR LARCENY/THEFT PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
166,BKBURGL,ARRSTD & BOOKED FOR BURGLARY/B & E PAST 12 MOS,SPECIAL TOPICS,int64,False,True
167,BKSRVIOL,ARRSTD & BOOKED SERIOUS VIOL OFFENSE PST 12 MOS,SPECIAL TOPICS,int64,False,True
168,BKSMASLT,ARRSTD & BOOKED FOR OTHER ASSAULT PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
169,BKROB,ARRSTD & BOOKED FOR ROBBERY PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
170,BKARSON,ARRSTD & BOOKED FOR ARSON PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
171,BKDRVINF,ARRSTD & BOOKED FOR DUI PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
172,BKDRUNK,ARRSTD & BOOKED FOR DRUNKENNESS PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
173,BKDRUG,ARRSTD & BOOKED FOR POSSES/SALE DRUGS PAST 12 MOS,SPECIAL TOPICS,int64,False,True
174,BKSEXNR,ARRSTD & BOOKED SEX OFFENSE EXCL RAPE PST 12 MOS,SPECIAL TOPICS,int64,False,True
175,BKFRAUD,ARRSTD & BOOKED FOR FRAUD/STOL GOODS PAST 12 MOS,SPECIAL TOPICS,int64,False,True
176,BKOTH,ARRSTD & BOOKED FOR SOME OTHER OFF PAST 12 MOS,SPECIAL TOPICS,int64,False,True
177,PROBATON,ON PROBATION AT ANY TIME PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
178,PAROLREL,ON PAROLE/SUPRV RELEASE PAST 12 MONTHS,SPECIAL TOPICS,int64,False,True
179,DRVINALCO,DROVE UNDER INFLUENCE OF ALCOHOL PST 12 MOS,SPECIAL TOPICS,int64,False,True
180,DRVINMARJ,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,SPECIAL TOPICS,int64,True,True
181,DRVINCOCN,DROVE UNDER INFLU OF COCAINE PST 12 MOS,SPECIAL TOPICS,int64,False,True
182,DRVINHERN,DROVE UNDER INFLUENCE OF HEROIN PAST 12 MOS,SPECIAL TOPICS,int64,False,True
183,DRVINHALL,DROVE UNDER INFLU OF HALLUCINOGENS PAST 12 MOS,SPECIAL TOPICS,int64,True,True
184,DRVININHL,DROVE UNDER INFLUENCE OF INHALANTS PAST 12 MOS,SPECIAL TOPICS,int64,False,True
185,DRVINMETH,DROVE UNDER INFLU OF METHAMPHETAMINE PAST 12 MOS,SPECIAL TOPICS,int64,False,True
186,DRVINALON,DROVE UNDER INFLUENCE OF ONLY ALCOHOL PST 12 MOS,SPECIAL TOPICS,int64,False,True
187,MXMJPNLT,MAX PENALTY FOR 1ST MJ POSS < OUNCE IN YOUR STATE,SPECIAL TOPICS,int64,False,True
188,DRVINALCO2,RC-DROVE UNDER INFLUENCE OF ALCOHOL IN PAST YEAR,RECODED SPECIAL TOPICS,float64,False,True
189,DRVINMARJ2,RC-DROVE UNDER INFLUENCE OF MARIJUANA IN PAST YEAR,RECODED SPECIAL TOPICS,float64,False,True
190,DRVINDRG,RC-DROVE UNDER INFLUENCE OF SELECTED ILL DRUGS IN PAST YR,RECODED SPECIAL TOPICS,float64,False,True
191,DRVINDROTMJ,RC-DROVE UNDER INFLUENCE OF SELECTED ILL DRG OTH MRJ IN PY,RECODED SPECIAL TOPICS,float64,False,True
192,DRVINALDRG,RC-DROVE UNDER INFLUENCE OF ALC OR SELECTED ILL DRG IN PY,RECODED SPECIAL TOPICS,float64,False,True
193,PAROL,RC-PAROLE/SUPERVISED RELEASE STATUS IN THE PAST YEAR,RECODED SPECIAL TOPICS,float64,False,True
194,PROB,RC-PROBATION STATUS IN THE PAST YEAR,RECODED SPECIAL TOPICS,float64,False,True
195,CIGIRTBL,NEED TO SMOKE TO FEEL LESS IRRITABLE,NICOTINE DEPENDENCE,int64,False,True
196,CIGCRAVE,START TO CRAVE CIGS WHEN DON'T SMOKE FOR FEW HRS,NICOTINE DEPENDENCE,int64,False,True
197,CIGCRAGP,CRAVING OF CIGS LIKE STRONG FORCE CAN'T CONTROL,NICOTINE DEPENDENCE,int64,False,True
198,CIGINCTL,FEEL A SENSE OF CONTROL OVER YOUR SMOKING,NICOTINE DEPENDENCE,int64,False,True
199,CIGAVOID,TEND TO AVOID PLACES THAT DON'T ALLOW SMOKING,NICOTINE DEPENDENCE,int64,False,True
200,CIGFNSMK,HAVE FRIENDS WHO DO NOT SMOKE CIGARETTES,NICOTINE DEPENDENCE,int64,False,True
201,CIGFNLKE,CHOOSE NOT TO BE AROUND FRIENDS WHO DON'T SMOKE,NICOTINE DEPENDENCE,int64,False,True
202,CIGPLANE,RATHER NOT TRAVEL BY AIRPLANE B/C NO SMOKING,NICOTINE DEPENDENCE,int64,False,True
203,CIGRNOUT,SOMETIMES WORRY THAT YOU WILL RUN OUT OF CIGS,NICOTINE DEPENDENCE,int64,False,True
204,CIGREGDY,SMOKE CIGS FAIRLY REGULARLY THROUGHOUT THE DAY,NICOTINE DEPENDENCE,int64,False,True
205,CIGREGWK,SMOKE SAME AMOUNT ON WEEKENDS AS ON WEEKDAYS,NICOTINE DEPENDENCE,int64,False,True
206,CIGREGNM,SMOKE SAME NUMBER OF CIGS FROM DAY TO DAY,NICOTINE DEPENDENCE,int64,False,True
207,CIGNMCHG,NUMBER OF CIGS SMOKE PER DAY OFTEN CHANGES,NICOTINE DEPENDENCE,int64,False,True
208,CIGSVLHR,"HAVE MANY CIGS IN HR, THEN NO CIGS TIL HRS LATER",NICOTINE DEPENDENCE,int64,False,True
209,CIGINFLU,# OF CIGS SMOKE PER DAY INFLUENCED BY OTHER THINGS,NICOTINE DEPENDENCE,int64,False,True
210,CIGNOINF,SMOKING NOT AFFECTED BY OTHER THINGS,NICOTINE DEPENDENCE,int64,False,True
211,CIGINCRS,AMOUNT OF SMOKING HAS INCR. SINCE STARTED SMOKING,NICOTINE DEPENDENCE,int64,False,True
212,CIGSATIS,NEED TO SMOKE A LOT MORE TO BE SATISFIED,NICOTINE DEPENDENCE,int64,False,True
213,CIGLOTMR,SMOKE MUCH MORE NOW BEFORE FEEL ANYTHING,NICOTINE DEPENDENCE,int64,False,True
214,CIGWAKE,HOW SOON AFTER WAKING DO YOU HAVE YOUR FIRST CIG,NICOTINE DEPENDENCE,int64,False,True
215,NDSSDEPND,NICOTINE DEPENDENCE BASED ON NDSS SCORE,NICOTINE DEPENDENCE,float64,False,True
216,FTNDDEPND,NICOTINE DEPENDENCE BASED ON FTND SCALE,NICOTINE DEPENDENCE,float64,False,True
217,PMNICDEP,NICOTINE DEPENDENCE IN PAST MONTH,NICOTINE DEPENDENCE,float64,False,True
218,IRPMNICDEP,NICOTINE DEPENDENCE IN PAST MONTH - IMPUTATION REVISED,IMPUTED NICOTINE DEPENDENCE,int64,False,True
219,UADPEOP,RC-SOCIAL CONTEXT OF MOST RECENT ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
220,UADCAR,RC-MOST RECENT ALCOHOL USE IN A CAR,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
221,UADHOME,RC-MOST RECENT ALCOHOL USE AT HOME,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
222,UADOTHM,RC-MOST RECENT ALCOHOL USE AT SOMEONE ELSE'S HOME,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
223,UADPUBL,"RC-MOST RECENT ALCOHOL USE AT A PARK, BEACH, OR LOT",RECODED CONSUMPTION OF ALCOHOL,float64,False,True
224,UADBAR,"RC-MOST RECENT ALCOHOL USE AT RESTAURANT, BAR, OR CLUB",RECODED CONSUMPTION OF ALCOHOL,float64,False,True
225,UADEVNT,RC-MOST RECENT ALCOHOL USE AT CONCERT OR SPORTS GAME,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
226,UADSCHL,RC-MOST RECENT ALCOHOL USE AT SCHOOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
227,UADROTH,RC-MOST RECENT ALCOHOL USE AT SOME OTHER PLACE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
228,UADOTSP2,RC-OTHER LOCATIONS OF MOST RECENT ALCOHOL USE,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
229,UADPAID,RC-UNDERAGE DRINKER PAID FOR MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
230,UADMONY,RC-UNDERAGE DRINKER PURCHASED MOST RECENT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
231,UADBWHO,RC-HOW UNDERAGE DRINKER PURCHASED MOST RECNT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
232,UADPLACE,RC-WHERE UNDERAGE DRINKER PURCHSD MOST RECNT ALCOHOL,RECODED CONSUMPTION OF ALCOHOL,float64,False,True
