variable,modulo,rol_provisional,n_unicos,pct_nan,uso_provisional,motivo_uso
KETMINREC,HALLUCINOGENS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
DAMTFXREC,HALLUCINOGENS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SALVIAREC,HALLUCINOGENS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
AMYLNIT3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
CLEFLU3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
GAS3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
GLUE3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
ETHER3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SOLVENT3,INHALANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
LGAS3,INHALANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
NITOXID3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
FELTMARKR3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
SPPAINT3,INHALANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
AIRDUSTER3,INHALANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
OTHAEROS3,INHALANTS,Predictor candidato,7,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALOTH2,INHALANTS,Predictor candidato,6,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALEVER2,INHALANTS,Predictor candidato,4,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALAGE2,INHALANTS,Predictor candidato,58,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALYFU2,INHALANTS,Predictor candidato,10,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALMFU2,INHALANTS,Predictor candidato,19,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALREC2,INHALANTS,Predictor candidato,9,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHALYFQ2,INHALANTS,Predictor candidato,57,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
INHTOTFG2,INHALANTS,Predictor candidato,2,0.0,Predictor candidato,Pendiente de revisión conceptual y estadística
