variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
EDUFULPAR,int64,47299,7,0,0.0,EDUCATION,,Predictor candidato,FULL OR PART TIME,QD19,1,True,Original u otra
EDUSCKMON,int64,47299,31,0,0.0,EDUCATION,,Predictor candidato,HOW MANY DAYS MISSED SCHOOL FROM SICK,QD20,1,True,Original u otra
EDUSCKEST,int64,47299,10,0,0.0,EDUCATION,,Predictor candidato,BEST ESTIMATE # DAYS MISSED BECAUSE SICK OR INURED,QD20DKRE,1,True,Original u otra
EDUSCKCOM,int64,47299,30,0,0.0,EDUCATION,,Predictor candidato,RC - HOW MANY DAYS MISSED SCHOOL FROM SICK (COMBINED),"QD20, QD20DKRE",2,True,Original u otra
EDUSKPMON,int64,47299,25,0,0.0,EDUCATION,,Predictor candidato,HOW MANY DAYS MISSED SCHOOL FROM SKIPPING,QD21,1,True,Original u otra
EDUSKPEST,int64,47299,9,0,0.0,EDUCATION,,Predictor candidato,BEST ESTIMATE # DAYS MISSED BECAUSE SKIPPED OR CUT,QD21DKRE,1,True,Original u otra
EDUSKPCOM,int64,47299,25,0,0.0,EDUCATION,,Predictor candidato,RC - HOW MANY DAYS MISSED SCHOOL FROM SKIPPING (COMBINED),"QD21, QD21DKRE",2,True,Original u otra
MILTFAMLY,int64,47299,6,0,0.0,EDUCATION,,Predictor candidato,ANY IMMEDIATE FAMILY CURRENTLY IN US MILITARY,QD10D,1,True,Original u otra
MILTSPPAR,int64,47299,7,0,0.0,EDUCATION,,Predictor candidato,SPOUSE OR PARTNER IN MILITARY,"QD10E1, QD10E2",2,True,Original u otra
MILTPARNT,int64,47299,7,0,0.0,EDUCATION,,Predictor candidato,FATHER OR MOTHER IN MILITARY,"QD10E3, QD10E4",2,True,Original u otra
MILTCHLDR,int64,47299,7,0,0.0,EDUCATION,,Predictor candidato,SON OR DAUGHTER IN MILITARY,"QD10E5, QD10E6",2,True,Original u otra
MILTSIBLN,int64,47299,7,0,0.0,EDUCATION,,Predictor candidato,SISTER OR BROTHER IN MILITARY,"QD10E7, QD10E8",2,True,Original u otra
ENRLCOLLFT2,int64,47299,3,0,0.0,RECODED EDUCATION,,Predictor candidato,RC-COLLEGE ENROLLMENT-FULL TIME,"AGE3, EDUFULPAR, EDUSCHGRD2, EDUSCHLGO",4,True,Recodificada
ENRLCOLLST2,int64,47299,5,0,0.0,RECODED EDUCATION,,Predictor candidato,RC-COLLEGE ENROLLMENT,"AGE3, EDUFULPAR, EDUSCHGRD2, EDUSCHLGO",4,True,Recodificada
WRKSTATWK2,int64,47299,10,0,0.0,EMPLOYMENT,,Predictor candidato,WORK SITUATION IN PAST WEEK - RECODE,"WRK35WKUS, WRKDPSTWK, WRKDPSTYR, WRKEFFORT, WRKRSNJOB, WRKRSNNOT",6,True,Original u otra
WRKDPSTWK,int64,47299,7,0,0.0,EMPLOYMENT,,Predictor candidato,WORK AT JOB LAST WEEK,QD26,1,True,Original u otra
WRKHADJOB,int64,47299,8,0,0.0,EMPLOYMENT,,Predictor candidato,DID YOU HAVE A JOB OR BUSINESS,QD27,1,True,Original u otra
WRKDHRSWK2,int64,47299,66,0,0.0,EMPLOYMENT,,Predictor candidato,HOW MANY HOURS WORKED LAST WEEK,QD28,1,True,Original u otra
WRK35WKUS,int64,47299,7,0,0.0,EMPLOYMENT,,Predictor candidato,USUALLY WORK 35 OR MORE HRS PER WEEK,QD29,1,True,Original u otra
WRKRSNNOT,int64,47299,11,0,0.0,EMPLOYMENT,,Predictor candidato,REASON FOR NOT WORKING AT JOB - PAST WK,QD30,1,True,Original u otra
WRKRSNJOB,int64,47299,13,0,0.0,EMPLOYMENT,,Predictor candidato,REASON FOR NOT HAVING A JOB - PAST WK,QD31,1,True,Original u otra
WRKEFFORT,int64,47299,6,0,0.0,EMPLOYMENT,,Predictor candidato,"PAST 30 DAYS, MAKE EFFORT TO FIND WORK",QD32,1,True,Original u otra
WRKDPSTYR,int64,47299,7,0,0.0,EMPLOYMENT,,Predictor candidato,"PAST 12 MOS, WORKED AT ANY JOB",QD33,1,True,Original u otra
WRKSELFEM,int64,47299,8,0,0.0,EMPLOYMENT,,Predictor candidato,"PAST 12 MOS, SELF EMPLOYED",QD34,1,True,Original u otra
WRKNUMJOB2,int64,47299,9,0,0.0,EMPLOYMENT,,Predictor candidato,"PAST 12 MOS, HOW MANY EMPLOYERS","QD35, QD36",2,True,Original u otra
WRKNJBPYR,int64,47299,7,0,0.0,EMPLOYMENT,,Predictor candidato,"PAST 12 MOS, TIME WITH NO JOB",QD37,1,True,Original u otra
WRKNJBWKS,int64,47299,57,0,0.0,EMPLOYMENT,,Predictor candidato,HOW MANY WKS W/O JOB IN PAST 12 MOS,QD38,1,True,Original u otra
WRKLASTYR2,int64,47299,46,0,0.0,EMPLOYMENT,,Predictor candidato,WHAT YEAR LAST WORKED,QD39A,1,True,Original u otra
WRKSICKMO,int64,47299,36,0,0.0,EMPLOYMENT,,Predictor candidato,# DAYS MISSED WORK FOR INJURY/ILLNESS PAST 30 DAYS,QD40,1,True,Original u otra
WRKSKIPMO,int64,47299,34,0,0.0,EMPLOYMENT,,Predictor candidato,# DAYS SKIPPED WORK PAST 30 DAYS,QD41,1,True,Original u otra
