variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,modulo,notas,rol_provisional,etiqueta_codebook,ref_fuente,n_ref,documentada_codebook,tipo_version
SEDNM30AL,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED SEDATIVE NOT DIRECTED BY DR W/ALC PST 30 DYS,SVM03,1,True,Original u otra
SEDWYNORX,int64,47299,9,0,0.0,SEDATIVES,,Predictor candidato,USED SEDATIVE W/O OWN RX PAST 12 MONTHS,SVYWAYS1,1,True,Original u otra
SEDWYGAMT,int64,47299,9,0,0.0,SEDATIVES,,Predictor candidato,USED SEDATIVE IN GREATER AMTS THAN RX PST 12 MOS,SVYWAYS2,1,True,Original u otra
SEDWYOFTN,int64,47299,8,0,0.0,SEDATIVES,,Predictor candidato,USED SEDATIVE MORE OFTEN THAN RX PAST 12 MONTHS,SVYWAYS3,1,True,Original u otra
SEDWYLNGR,int64,47299,8,0,0.0,SEDATIVES,,Predictor candidato,USED SEDATIVE LONGER THAN RX PAST 12 MONTHS,SVYWAYS4,1,True,Original u otra
SEDWYOTWY,int64,47299,8,0,0.0,SEDATIVES,,Predictor candidato,USED SEDATIVE OTHER WAY NOT DIRECTED PST 12 MOS,SVYWAYS5,1,True,Original u otra
SEDNMLAST,int64,47299,16,0,0.0,SEDATIVES,,Predictor candidato,LAST SEDATIVE USED NOT DIRECTED BY DR PST 12 MOS,RSVYLAST,1,True,Original u otra
SEDRSRELX,int64,47299,8,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) TO RELAX,SVYMOTV1,1,True,Original u otra
SEDRSEXPT,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) TO EXPERIMENT,SVYMOTV2,1,True,Original u otra
SEDRSHIGH,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) TO GET HIGH,SVYMOTV3,1,True,Original u otra
SEDRSSLEP,int64,47299,8,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) FOR SLEEP,SVYMOTV4,1,True,Original u otra
SEDRSEMOT,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) FOR EMOTIONS,SVYMOTV5,1,True,Original u otra
SEDRSDGFX,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) OTH DRUG EFFECT,SVYMOTV6,1,True,Original u otra
SEDRSHOOK,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) BECAUSE HOOKED,SVYMOTV7,1,True,Original u otra
SEDRSSOR,int64,47299,7,0,0.0,SEDATIVES,,Predictor candidato,USED LAST SEDATIVE (NOT DIRECTED) OTHER REASON,SVYMOTV8,1,True,Original u otra
SEDRSOTRS2,int64,47299,9,0,0.0,SEDATIVES,,Predictor candidato,REASON USED LAST SEDATIVE (NOT DIRECTED),SVMOTOT,1,True,Original u otra
SEDRSMAIN,int64,47299,10,0,0.0,SEDATIVES,,Predictor candidato,MAIN REASON USED LAST SEDATIVE (NOT DIRECTED),RSVYMOT1,1,True,Original u otra
SEDNORXFG,int64,47299,2,0,0.0,SEDATIVES,,Predictor candidato,ONLY PST YR MISUSE W/O RX BUT RX FOR LAST SED,,0,True,Original u otra
SVBZONMYR,float64,47080,2,219,0.463,SEDATIVES,,Predictor candidato,RC - BENZODIAZEPINES SEDATIVES - PAST YEAR MISUSE,,0,True,Original u otra
IRCIGRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CIGARETTE RECENCY - IMPUTATION REVISED,CIGREC,1,True,Original u otra
IICIGRC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CIGARETTE RECENCY - IMPUTATION INDICATOR,CIGREC,1,True,Original u otra
II2CIGRC,int64,47299,7,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CIGARETTE RECENCY - DETAILED IMPUTATION INDICATOR,CIGREC,1,True,Original u otra
IRCGRRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CIGAR RECENCY - IMPUTATION REVISED,CIGARREC,1,True,Original u otra
IICGRRC,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CIGAR RECENCY - IMPUTATION INDICATOR,CIGARREC,1,True,Original u otra
II2CGRRC,int64,47299,8,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CIGAR RECENCY - DETAILED IMPUTATION INDICATOR,CIGARREC,1,True,Original u otra
IRPIPLF,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,LIFETIME PIPE USE - IMPUTATION REVISED,PIPEVER,1,True,Original u otra
IIPIPLF,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,LIFETIME PIPE USE - IMPUTATION INDICATOR,PIPEVER,1,True,Original u otra
IRPIPMN,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PAST MONTH PIPE USE - IMPUTATION REVISED,PIPE30DY,1,True,Original u otra
IIPIPMN,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PAST MONTH PIPE USE - IMPUTATION INDICATOR,PIPE30DY,1,True,Original u otra
IRNICVAPREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,NICOTINE VAPING RECENCY - IMPUTATION REVISED,"NICVAPEVER, NICVAPREC",2,True,Original u otra
IINICVAPREC,int64,47299,8,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,NICOTINE VAPING RECENCY - IMPUTATION INDICATOR,"NICVAPEVER, NICVAPREC",2,True,Original u otra
IRSMKLSSREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,SMOKELESS TOBACCO RECENCY - IMPUTATION REVISED,SMKLSSREC,1,True,Original u otra
IISMKLSSREC,int64,47299,9,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,SMOKELESS TOBACCO RECENCY - IMPUTATION INDICATOR,SMKLSSREC,1,True,Original u otra
IRALCRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ALCOHOL RECENCY - IMPUTATION REVISED,ALCREC,1,True,Original u otra
IIALCRC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ALCOHOL RECENCY - IMPUTATION INDICATOR,ALCREC,1,True,Original u otra
II2ALCRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ALCOHOL RECENCY - DETAILED IMPUTATION INDICATOR,ALCREC,1,True,Original u otra
IRCBDHMPREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CBD OR HEMP RECENCY - IMPUTATION REVISED,"CBDHMPEVR, CBDHMPREC",2,True,Original u otra
IICBDHMPREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CBD OR HEMP RECENCY - IMPUTATION INDICATOR,"CBDHMPEVR, CBDHMPREC",2,True,Original u otra
IRMJRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA RECENCY - IMPUTATION REVISED,MJREC,1,True,Original u otra
IIMJRC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA RECENCY - IMPUTATION INDICATOR,MJREC,1,True,Original u otra
II2MJRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA RECENCY - DETAILED IMPUTATION INDICATOR,MJREC,1,True,Original u otra
IRMJEVERVAPE,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA VAPING LIFETIME - IMPUTATION REVISED,MJEVERVAPE,1,True,Original u otra
IIMJEVERVAPE,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA VAPING LIFETIME - IMPUTATION INDICATOR,MJEVERVAPE,1,True,Original u otra
IRMJYRSMOKE,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA SMOKING PAST YEAR - IMPUTATION REVISED,"IRMJRC, MJYRSMOKE",2,True,Original u otra
IIMJYRSMOKE,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA SMOKING PAST YEAR - IMPUTATION INDICATOR,"IRMJRC, MJYRSMOKE",2,True,Original u otra
IRMJYRVAPE,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA VAPING PAST YEAR - IMPUTATION REVISED,"IRMJRC, MJEVERVAPE, MJYRVAPE",3,True,Original u otra
IIMJYRVAPE,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA VAPING PAST YEAR - IMPUTATION INDICATOR,"IRMJRC, MJYRVAPE",2,True,Original u otra
IRMJYRDAB,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,"MARIJUANA DABBING WAXES, SHATTER, OR CONC PAST YEAR-IMP REV","IRMJRC, MJYRDAB",2,True,Original u otra
IIMJYRDAB,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,"MARIJUANA DABBING WAXES, SHATTER, OR CONC PAST YEAR-IMP IND","IRMJRC, MJYRDAB",2,True,Original u otra
IRMJYREAT,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA EATING OR DRINKING PAST YEAR - IMPUTATION REVISED,"IRMJRC, MJYREAT",2,True,Original u otra
IIMJYREAT,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA EATING OR DRINKING PAST YR - IMPUTATION INDICATOR,"IRMJRC, MJYREAT",2,True,Original u otra
IRMJYRMOUTH,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH PAST YR - IMP REV,"IRMJRC, MJYRMOUTH",2,True,Original u otra
IIMJYRMOUTH,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH PAST YR - IMP IND,"IRMJRC, MJYRMOUTH",2,True,Original u otra
IRMJYRSKIN,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA LOTION/CREAM/PATCH TO SKIN PAST YEAR - IMP REV,"IRMJRC, MJYRSKIN",2,True,Original u otra
IIMJYRSKIN,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA LOTION/CREAM/PATCH TO SKIN PAST YEAR - IMP IND,"IRMJRC, MJYRSKIN",2,True,Original u otra
IRMJYRPILL,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA PILLS PAST YEAR - IMPUTATION REVISED,"IRMJRC, MJYRPILL",2,True,Original u otra
IIMJYRPILL,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA PILLS PAST YEAR - IMPUTATION INDICATOR,"IRMJRC, MJYRPILL",2,True,Original u otra
IRMJYROTHER,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA OTHER WAY PAST YEAR - IMPUTATION REVISED,"IRMJRC, MJYROTHER",2,True,Original u otra
IIMJYROTHER,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA OTHER WAY PAST YEAR - IMPUTATION INDICATOR,"IRMJRC, MJYROTHER",2,True,Original u otra
IRMJMONSMOKE,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA SMOKING PAST MONTH - IMPUTATION REVISED,"IRMJRC, MJMONSMOKE",2,True,Original u otra
IIMJMONSMOKE,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA SMOKING PAST MONTH - IMPUTATION INDICATOR,"IRMJRC, MJMONSMOKE",2,True,Original u otra
IRMJMONVAPE,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA VAPING PAST MONTH - IMPUTATION REVISED,"IRMJRC, MJEVERVAPE, MJMONVAPE",3,True,Original u otra
IIMJMONVAPE,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA VAPING PAST MONTH - IMPUTATION INDICATOR,"IRMJRC, MJMONVAPE",2,True,Original u otra
IRMJMONDAB,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,"MARIJUANA DABBING WAXES, SHATTER, OR CONC PAST MONTH-IMP REV","IRMJRC, MJMONDAB",2,True,Original u otra
IIMJMONDAB,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,"MARIJUANA DABBING WAXES, SHATTER, OR CONC PAST MONTH-IMP IND","IRMJRC, MJMONDAB",2,True,Original u otra
IRMJMONEAT,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA EATING OR DRINKING PAST MONTH - IMPUTATION REVISED,"IRMJRC, MJMONEAT",2,True,Original u otra
IIMJMONEAT,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA EATING OR DRINKING PAST MONTH-IMPUTATION INDICATOR,"IRMJRC, MJMONEAT",2,True,Original u otra
IRMJMONMOUTH,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH PAST MONTH-IMP REV,"IRMJRC, MJMONMOUTH",2,True,Original u otra
IIMJMONMOUTH,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA DRPS/STRPS/LZNGS/SPRYS IN MOUTH PAST MONTH-IMP IND,"IRMJRC, MJMONMOUTH",2,True,Original u otra
IRMJMONSKIN,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA LOTION/CREAM/PATCH TO SKIN PAST MONTH - IMP REV,"IRMJRC, MJMONSKIN",2,True,Original u otra
IIMJMONSKIN,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA LOTION/CREAM/PATCH TO SKIN PAST MONTH - IMP IND,"IRMJRC, MJMONSKIN",2,True,Original u otra
IRMJMONPILL,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA PILLS PAST MONTH - IMPUTATION REVISED,"IRMJRC, MJMONPILL",2,True,Original u otra
IIMJMONPILL,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,MARIJUANA PILLS PAST MONTH - IMPUTATION INDICATOR,"IRMJRC, MJMONPILL",2,True,Original u otra
IRCOCRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,COCAINE RECENCY - IMPUTATION REVISED,COCREC,1,True,Original u otra
IICOCRC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,COCAINE RECENCY - IMPUTATION INDICATOR,COCREC,1,True,Original u otra
II2COCRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,COCAINE RECENCY - DETAILED IMPUTATION INDICATOR,COCREC,1,True,Original u otra
IRCRKRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CRACK RECENCY - IMPUTATION REVISED,CRAKREC,1,True,Original u otra
IICRKRC,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CRACK RECENCY - IMPUTATION INDICATOR,CRAKREC,1,True,Original u otra
II2CRKRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,CRACK RECENCY - DETAILED IMPUTATION INDICATOR,CRAKREC,1,True,Original u otra
IRHERRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,HEROIN RECENCY - IMPUTATION REVISED,HERREC,1,True,Original u otra
IIHERRC,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,HEROIN RECENCY - IMPUTATION INDICATOR,HERREC,1,True,Original u otra
II2HERRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,HEROIN RECENCY - DETAILED IMPUTATION INDICATOR,HERREC,1,True,Original u otra
IRHALLUCREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,HALLUCINOGEN RECENCY - IMPUTATION REVISED,HALLUCREC,1,True,Original u otra
IIHALLUCREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,HALLUCINOGEN RECENCY - IMPUTATION INDICATOR,HALLUCREC,1,True,Original u otra
IRLSDRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,LSD RECENCY - IMPUTATION REVISED,LSDREC,1,True,Original u otra
IILSDRC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,LSD RECENCY - IMPUTATION INDICATOR,LSDREC,1,True,Original u otra
II2LSDRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,LSD RECENCY - DETAILED IMPUTATION INDICATOR,LSDREC,1,True,Original u otra
IRPCPRC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PCP RECENCY - IMPUTATION REVISED,PCPREC,1,True,Original u otra
IIPCPRC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PCP RECENCY - IMPUTATION INDICATOR,PCPREC,1,True,Original u otra
II2PCPRC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PCP RECENCY - DETAILED IMPUTATION INDICATOR,PCPREC,1,True,Original u otra
IRPSILCYREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PSILOCYBIN RECENCY - IMPUTATION REVISED,PSILCYREC,1,True,Original u otra
IIPSILCYREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PSILOCYBIN RECENCY - IMPUTATION INDICATOR,PSILCYREC,1,True,Original u otra
IRECSTMOREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ECSTASY RECENCY - IMPUTATION REVISED,ECSTMOREC,1,True,Original u otra
IIECSTMOREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ECSTASY RECENCY - IMPUTATION INDICATOR,ECSTMOREC,1,True,Original u otra
IRKETMINREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,KETAMINE RECENCY - IMPUTATION REVISED,KETMINREC,1,True,Original u otra
IIKETMINREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,KETAMINE RECENCY - IMPUTATION INDICATOR,KETMINREC,1,True,Original u otra
IRDAMTFXREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,DMT/AMT/FOXY RECENCY - IMPUTATION REVISED,DAMTFXREC,1,True,Original u otra
IIDAMTFXREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,DMT/AMT/FOXY RECENCY - IMPUTATION INDICATOR,DAMTFXREC,1,True,Original u otra
IRSALVIAREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,SALVIA RECENCY - IMPUTATION REVISED,SALVIAREC,1,True,Original u otra
IISALVIAREC,int64,47299,5,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,SALVIA RECENCY - IMPUTATION INDICATOR,SALVIAREC,1,True,Original u otra
IRINHALREC2,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,INHALANT RECENCY - IMPUTATION REVISED,INHALREC2,1,True,Original u otra
IIINHALREC2,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,INHALANT RECENCY - IMPUTATION INDICATOR,INHALREC2,1,True,Original u otra
IRMETHAMREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,METHAMPHETAMINE RECENCY - IMPUTATION REVISED,METHAMREC,1,True,Original u otra
IIMETHAMREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,METHAMPHETAMINE USE RECENCY - IMPUTATION INDICATOR,METHAMREC,1,True,Original u otra
IRPNRANYREC2,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY PAIN RELIEVER RECENCY - IMPUTATION REVISED,PNRANYREC2,1,True,Original u otra
IIPNRANYREC2,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY PAIN RELIEVER RECENCY - IMPUTATION INDICATOR,PNRANYREC2,1,True,Original u otra
IROXCNANYYR2,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY OXYCONTIN RECENCY - IMPUTATION REVISED,OXCNANYYR2,1,True,Original u otra
IIOXCNANYYR2,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY OXYCONTIN RECENCY - IMPUTATION INDICATOR,OXCNANYYR2,1,True,Original u otra
IRFENTANYYR2,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,FENTANYL PRODUCTS - ANY PAST YEAR USE - IMP REV,FENTANYYR2,1,True,Original u otra
IIFENTANYYR2,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,FENTANYL PRODUCTS - ANY PAST YEAR USE - IMP IND,FENTANYYR2,1,True,Original u otra
IRRXOPANYYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PRESCRIPTION OPIOIDS - ANY PAST YEAR USE - IMP REV,"IRFENTANYYR2, IROXCNANYYR2, PNRANYYR2",3,True,Original u otra
IIRXOPANYYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PRESCRIPTION OPIOIDS - ANY PAST YEAR USE - IMP IND,"IRFENTANYYR2, IROXCNANYYR2, PNRANYYR2",3,True,Original u otra
IRTRQANYREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY TRANQUILIZERS RECENCY - IMPUTATION REVISED,TRQANYREC,1,True,Original u otra
IITRQANYREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY TRANQUILIZERS RECENCY - IMPUTATION INDICATOR,TRQANYREC,1,True,Original u otra
IRSTMANYREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY STIMULANTS RECENCY - IMPUTATION REVISED,STMANYREC,1,True,Original u otra
IISTMANYREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY STIMULANTS RECENCY - IMPUTATION INDICATOR,STMANYREC,1,True,Original u otra
IRSEDANYREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY SEDATIVES RECENCY - IMPUTATION REVISED,SEDANYREC,1,True,Original u otra
IISEDANYREC,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY SEDATIVES RECENCY - IMPUTATION INDICATOR,SEDANYREC,1,True,Original u otra
IRBZOANYYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY BENZODIAZEPINES - PAST YEAR USE - IMPUTATION REVISED,BZOANYYR,1,True,Original u otra
IIBZOANYYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY BENZODIAZEPINES - PAST YEAR USE - IMPUTATION INDICATOR,BZOANYYR,1,True,Original u otra
IRPNRNMREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PAIN RELIEVER MISUSE RECENCY - IMPUTATION REVISED,PNRNMREC,1,True,Original u otra
IIPNRNMREC,int64,47299,6,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PAIN RELIEVER MISUSE RECENCY - IMPUTATION INDICATOR,PNRNMREC,1,True,Original u otra
IROXCNNMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,OXYCONTIN PAST YEAR MISUSE - IMPUTATION REVISED,OXCNNMYR,1,True,Original u otra
IIOXCNNMYR,int64,47299,3,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,OXYCONTIN PAST YEAR MISUSE - IMPUTATION INDICATOR,OXCNNMYR,1,True,Original u otra
IRFENTNMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,FENTANYL PRODUCTS - PAST YEAR MISUSE - IMP REV,FENTNMYR,1,True,Original u otra
IIFENTNMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,FENTANYL PRODUCTS - PAST YEAR MISUSE - IMP IND,FENTNMYR,1,True,Original u otra
IRRXOPNMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PRESCRIPTION OPIOIDS - PAST YEAR MISUSE - IMP REV,IRRXOPANYYR,1,True,Original u otra
IIRXOPNMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,PRESCRIPTION OPIOIDS - PAST YEAR MISUSE - IMP IND,IRRXOPANYYR,1,True,Original u otra
IRTRQNMREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,TRANQUILIZER MISUSE RECENCY - IMPUTATION REVISED,TRQNMREC,1,True,Original u otra
IITRQNMREC,int64,47299,6,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,TRANQUILIZER MISUSE RECENCY - IMPUTATION INDICATOR,TRQNMREC,1,True,Original u otra
IRSTMNMREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,STIMULANT MISUSE RECENCY - IMPUTATION REVISED,STMNMREC,1,True,Original u otra
IISTMNMREC,int64,47299,6,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,STIMULANT MISUSE RECENCY - IMPUTATION INDICATOR,STMNMREC,1,True,Original u otra
IRSEDNMREC,int64,47299,4,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,SEDATIVE MISUSE RECENCY - IMPUTATION REVISED,SEDNMREC,1,True,Original u otra
IISEDNMREC,int64,47299,6,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,SEDATIVE MISUSE RECENCY - IMPUTATION INDICATOR,SEDNMREC,1,True,Original u otra
IRBZONMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY BENZODIAZEPINES - PAST YEAR MISUSE - IMPUTATION REVISED,BZONMYR,1,True,Original u otra
IIBZONMYR,int64,47299,2,0,0.0,RECENCY OF DRUG USE,,Predictor candidato,ANY BENZODIAZEPINES - PAST YEAR MISUSE - IMP IND,BZONMYR,1,True,Original u otra
IRALCFY,int64,47299,184,0,0.0,PAST YEAR FREQUENCY OF USE,,Predictor candidato,ALCOHOL FREQUENCY PAST YEAR - IMPUTATION REVISED,ALCYRTOT,1,True,Original u otra
IIALCFY,int64,47299,4,0,0.0,PAST YEAR FREQUENCY OF USE,,Predictor candidato,ALCOHOL FREQUENCY PAST YEAR - IMPUTATION INDICATOR,ALCYRTOT,1,True,Original u otra
II2ALCFY,int64,47299,5,0,0.0,PAST YEAR FREQUENCY OF USE,,Predictor candidato,ALCOHOL FREQ PAST YEAR - DETAILED IMPUTATION INDICATOR,ALCYRTOT,1,True,Original u otra
IRMJFY,int64,47299,207,0,0.0,PAST YEAR FREQUENCY OF USE,,Predictor candidato,MARIJUANA FREQUENCY PAST YEAR - IMPUTATION REVISED,MJYRTOT,1,True,Original u otra
IIMJFY,int64,47299,4,0,0.0,PAST YEAR FREQUENCY OF USE,,Predictor candidato,MARIJUANA FREQUENCY PAST YEAR - IMPUTATION INDICATOR,MJYRTOT,1,True,Original u otra
II2MJFY,int64,47299,5,0,0.0,PAST YEAR FREQUENCY OF USE,,Predictor candidato,MARIJUANA FREQ PAST YEAR - DETAILED IMPUTATION INDICATOR,MJYRTOT,1,True,Original u otra
