variable_1,variable_2,n_comunes,correlacion_spearman,correlacion_absoluta
ALCNUMDKPM,COCYLU,596,0.086,0.086
ECSTMOAGL,HTINCHE2,3833,0.086,0.086
CIGARYLU,COCAGLST,524,0.085,0.085
CIGAVGM,WRKDHRSWK2,2970,0.085,0.085
BMI2,CIGDLLST,8349,0.085,0.085
CRKAGLST,NMVSOPT2,1238,0.085,0.085
BMI2,NRCH17_2,41330,0.085,0.085
ALCYLU,WRKLASTYR2,2654,0.085,0.085
ECSTMOAGL,WRKSKIPMO,527,0.083,0.083
HIGHBPAGE,HTINCHE2,4871,-0.083,0.083
BMI2,NMNGTHS2,3220,0.083,0.083
BMI2,NMVSOPT2,43198,0.083,0.083
NMNGTHS2,WTPOUND2,3246,0.082,0.082
WRKNJBWKS,WRKSKIPMO,825,0.081,0.081
ASTHMAAGE,HALLAGLST,1114,0.081,0.081
HALLAGLST,HIGHBPAGE,782,-0.081,0.081
CIGAVGM,WRKSICKMO,1196,0.081,0.081
COCYLU,WRKDHRSWK2,501,0.08,0.08
IRWELMOS,NRCH17_2,1620,0.08,0.08
EDUSCKMON,HTINCHE2,1176,-0.08,0.08
NMERTMT2,PCPAGLST,651,0.08,0.08
EDUSKPCOM,NRCH17_2,4027,-0.08,0.08
CIGAGLST,WRKDHRSWK2,9882,0.079,0.079
CIGDLLST,WRKNJBWKS,627,0.079,0.079
ECSTMOAGL,WTPOUND2,3827,0.079,0.079
EDUSCKCOM,WRKNJBWKS,663,-0.079,0.079
HALLAGLST,WTPOUND2,7860,0.078,0.078
NMVSOPT2,PCPAGLST,617,-0.077,0.077
BMI2,CIGDLYLU,1119,-0.076,0.076
CGRAGLST,HTINCHE2,11192,0.076,0.076
HALLAGLST,WRKDHRSWK2,4921,0.075,0.075
EDUSKPCOM,WRKLASTYR2,1238,0.074,0.074
BMI2,SMKAGLAST,4616,0.074,0.074
NMVSOPT2,WRKSICKMO,7762,0.074,0.074
SMKAGLAST,WRKDHRSWK2,2955,0.074,0.074
CIGARYLU,CIGAVGM,592,0.073,0.073
MRJAGLST,WRKDHRSWK2,9003,0.072,0.072
INHLAGLST,MRJYLU,696,0.071,0.071
EDUSKPCOM,NMERTMT2,4137,0.071,0.071
MRJAGLST,WTPOUND2,14681,0.071,0.071
BMI2,MRJAGLST,14642,0.071,0.071
HALLAGLST,HTINCHE2,7872,0.071,0.071
CGRAGLST,CIGARYLU,2261,0.07,0.07
CIGAVGM,INHLAGLST,1022,0.07,0.07
EDUSKPMON,NMERTMT2,1014,0.07,0.07
BMI2,NMERTMT2,44705,0.07,0.07
CIGAVGM,NRCH17_2,5824,0.069,0.069
EDUSKPCOM,WRKSICKMO,697,0.069,0.069
ALCAGLST,WRKNJBWKS,1257,0.069,0.069
ALCNUMDKPM,DIABETEAG,1341,-0.068,0.068
CIGDLYLU,NRCH17_2,1064,-0.068,0.068
IRWELMOS,WRKDHRSWK2,695,-0.067,0.067
COCAGLST,WTPOUND2,5658,0.067,0.067
DIABETEAG,HALLAGLST,510,0.067,0.067
SMKAGLAST,SMKYRLAST,747,0.066,0.066
HLCNOTMO,MRJAGLST,841,0.066,0.066
HERAGLST,HTINCHE2,921,0.065,0.065
PCPAGLST,WTPOUND2,648,0.065,0.065
COCAGLST,NRCH17_2,5299,-0.065,0.065
COCAGLST,HTINCHE2,5666,0.065,0.065
CIGAGLST,HALLYRLST,975,0.064,0.064
MRJAGLST,NMNGTHS2,1193,0.063,0.063
ALCNUMDKPM,EDUSCKCOM,1666,0.063,0.063
ALCNUMDKPM,WRKSKIPMO,2312,0.063,0.063
ALCAGLST,NMNGTHS2,1346,0.062,0.062
BMI2,CIGAVGM,6162,0.062,0.062
BMI2,EDUSKPMON,996,-0.061,0.061
CIGDLLST,WTPOUND2,8381,0.061,0.061
ALCAGLST,IRWELMOS,751,0.061,0.061
ALCNUMDKPM,WRKDHRSWK2,14327,0.061,0.061
INHLAGLST,WRKSKIPMO,554,0.06,0.06
HTINCHE2,NMERTMT2,45055,-0.06,0.06
EDUSCKMON,NMVSOPT2,1146,0.06,0.06
HTINCHE2,WRKLASTYR2,13160,0.06,0.06
ALCNUMDKPM,HLCNOTMO,1154,0.06,0.06
BMI2,DIABETEAG,3549,-0.058,0.058
NMNGTHS2,NRCH17_2,2981,-0.058,0.058
MRJYLU,WRKLASTYR2,1218,0.057,0.057
ALCNUMDKPM,NMVSOPT2,21416,-0.056,0.056
MRJAGLST,WRKSKIPMO,1433,-0.056,0.056
DIABETEAG,NMVSOPT2,3359,0.056,0.056
HIGHBPAGE,LSDAGLST,517,-0.056,0.056
HIGHBPAGE,WRKSICKMO,640,-0.056,0.056
CIGARYLU,SMKAGLAST,632,0.056,0.056
INHLAGLST,WRKDHRSWK2,2689,0.056,0.056
ALCYLU,HLCNOTMO,562,-0.056,0.056
LSDAGLST,WRKDHRSWK2,2716,0.055,0.055
MRJAGLST,WRKSICKMO,2807,-0.055,0.055
CIGAVGM,NMNGTHS2,579,0.054,0.054
WRKNJBWKS,WTPOUND2,4098,-0.054,0.054
EDUSCKMON,WTPOUND2,1162,-0.053,0.053
NRCH17_2,SMKYRLAST,679,-0.053,0.053
HLCNOTMO,WRKSICKMO,577,0.053,0.053
BMI2,WRKLASTYR2,13063,-0.053,0.053
ALCNUMDKPM,CIGYLU,1721,0.053,0.053
HTINCHE2,SMKAGLAST,4635,0.052,0.052
HERAGLST,NRCH17_2,853,-0.052,0.052
HALLAGLST,HALLYRLST,1981,0.052,0.052
