variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
DIABETEVR2,EVER TOLD HAD DIABETES/SUGAR DIABETES,HEALTH,Original u otra,97.175,Predictor principal
HEPBCAGE,AGE HEPATITIS 1ST DIAGNOSED,HEALTH,Original u otra,0.949,Predictor principal
HEPBCEVER2,EVER TOLD HAD HEPATITIS B OR C,HEALTH,Original u otra,97.175,Predictor principal
HIGHBPAGE,AGE WHEN HIGH BLOOD PRESSURE 1ST DIAGNOSED,HEALTH,Original u otra,10.412,Predictor principal
HIGHBPEVR2,EVER TOLD HAD HIGH BLOOD PRESSURE,HEALTH,Original u otra,97.175,Predictor principal
HIGHBPMED,TAKING MEDS FOR HIGH BLOOD PRESSURE,HEALTH,Original u otra,13.747,Predictor principal
HIVAIDSAG,AGE 1ST FOUND OUT HAD HIV/AIDS,HEALTH,Original u otra,0.239,Predictor principal
HIVAIDSEV2,EVER TOLD HAD HIV OR AIDS,HEALTH,Original u otra,97.175,Predictor principal
HPALCAMT2,DOCTOR ASKED HOW MUCH YOU DRINK,HEALTH,Original u otra,84.748,Predictor principal
HPALCCUT2,DOCTOR ADVISED YOU TO CUT DOWN ON DRINKING,HEALTH,Original u otra,84.748,Predictor principal
HPALCFRQ2,DOCTOR ASKED HOW OFTEN YOU DRINK,HEALTH,Original u otra,84.748,Predictor principal
HPALCNOT2,DOCTOR DIDNT DISCUSS MY ALCOHOL USE WITH ME,HEALTH,Original u otra,84.748,Predictor principal
HPALCPRB2,DOCTOR ASKED IF ANY DRINKING PROBS,HEALTH,Original u otra,84.748,Predictor principal
HPALCTX2,DOCTOR OFFERED INFO ABOUT ALCOHOL TREATMT,HEALTH,Original u otra,84.748,Predictor principal
HPDRGTALK,HEALTH PROF DISCUSSED MY DRUG USE WITH ME,HEALTH,Original u otra,92.649,Predictor principal
HPQTTOB,HEALTH PROF ADVISED YOU TO QUIT TOBACCO USE,HEALTH,Original u otra,93.232,Predictor principal
HPUSEALC,HEALTH PROF ASKED PST 12 MOS: ALCOHOL USE,HEALTH,Original u otra,76.562,Predictor principal
HPUSEDRG,HEALTH PROF ASKED PST 12 MOS: DRUG USE,HEALTH,Original u otra,76.482,Predictor principal
HPUSETOB,HEALTH PROF ASKED PST 12 MOS: TOBACCO USE,HEALTH,Original u otra,76.551,Predictor principal
HRTCONDAG,AGE HEART CONDITION 1ST DIAGNOSED,HEALTH,Original u otra,7.419,Predictor principal
HRTCONDEV2,EVER TOLD HAD HEART CONDITION,HEALTH,Original u otra,97.175,Predictor principal
HRTCONDYR,HAD HEART CONDITION PAST 12 MONTHS,HEALTH,Original u otra,7.174,Predictor principal
HTANSWER,PREFERRED WAY TO REPORT HEIGHT,HEALTH,Original u otra,97.057,Predictor principal
HTINCHE2,HEIGHT IN INCHES WITHOUT SHOES - RECODE,HEALTH,Original u otra,96.091,Predictor principal
INHOSPYR,STAYED OVERNIGHT AS INPNT IN HOSP PAST 12 MOS,HEALTH,Original u otra,97.911,Predictor principal
KIDNYDSAG,AGE KIDNEY DISEASE 1ST DIAGNOSED,HEALTH,Original u otra,1.723,Predictor principal
KIDNYDSEV2,EVER TOLD HAD KIDNEY DISEASE,HEALTH,Original u otra,97.175,Predictor principal
NMERTMT2,# OF TIMES BEEN TREATED IN EMER ROOM PAST 12 MOS,HEALTH,Original u otra,96.994,Predictor principal
NMNGTHS2,# NIGHTS STAYED IN HOSPITAL OVERNIGHT OR LONGER,HEALTH,Original u otra,7.176,Predictor principal
NMVSOEST,# TIMES VISITED DR ABOUT OWN HEALTH PST YR,HEALTH,Original u otra,1.072,Predictor principal
NMVSOPT2,# OUTPATIENT VISITS PAST 12 MOS - RECODE,HEALTH,Original u otra,96.6,Predictor principal
NONABOVEV2,NEVER HAD ANY OF THESE CONDITIONS,HEALTH,Original u otra,97.175,Predictor principal
PREGSTAT,CURRENTLY PREGNANT (FEMALES AGED 12-50),HEALTH,Original u otra,41.944,Predictor principal
TELEAPTYR,TALK TO DOC ABOUT HEALTH OVER PHONE/EMAIL/VIDEO PST 12 MOS,HEALTH,Original u otra,97.829,Predictor principal
WTANSWER,PREFERRED WAY TO REPORT WEIGHT,HEALTH,Original u otra,96.86,Predictor principal
WTPOUND2,WEIGHT IN POUNDS - RECODE,HEALTH,Original u otra,96.042,Predictor principal
CAIDCHIP,COVERED BY MEDICAID/CHIP,HEALTH INSURANCE,Original u otra,95.746,Predictor principal
CHAMPUS,"COV BY TRICARE, CHAMPUS, CHAMPVA, VA, MILITARY",HEALTH INSURANCE,Original u otra,96.271,Predictor principal
GRPHLTIN,PRIVATE PLAN OFFERED THROUGH EMPLOYER OR UNION,HEALTH INSURANCE,Original u otra,56.479,Predictor principal
HLCLAST,TIME SINCE LAST HAD HEALTH CARE COVERAGE,HEALTH INSURANCE,Original u otra,10.252,Predictor principal
HLCNOTMO,"PAST 12 MOS, HOW MANY MOS W/O COVERAGE",HEALTH INSURANCE,Original u otra,5.281,Predictor principal
HLCNOTYR,ANYTIME DID NOT HAVE HEALTH INS/COVER PAST 12 MOS,HEALTH INSURANCE,Original u otra,85.014,Predictor principal
HLLOSRSN,MAIN REASON STOPPED COVERED BY HEALTH INSURANCE,HEALTH INSURANCE,Original u otra,7.808,Predictor principal
HLNVCOST,NEVER HAD HEALTH INSURANCE BECAUSE COST TOO HIGH,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVNEED,NEVER HAD HEALTH INSURANCE BECAUSE DON'T NEED IT,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVOFFR,NEVER HAD HEALTH INSURANCE BECAUSE EMPLOYER DOESN'T OFFER,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVREF,NEVER HAD HEALTH INSURANCE BC INS COMPANY REFUSED COVERAGE,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLNVSOR,NEVER HAD HEALTH INSURANCE BECAUSE OF SOME OTHER REASON,HEALTH INSURANCE,Original u otra,2.311,Predictor principal
HLTINALC,PRIVATE INSURANCE COVERS TRMT FOR ALCOHOL ABUSE/ALCOHOLISM,HEALTH INSURANCE,Original u otra,43.238,Predictor principal
HLTINDRG,PRIVATE INSURANCE COVERS TRMT FOR DRUG ABUSE,HEALTH INSURANCE,Original u otra,43.375,Predictor principal
HLTINMNT,PRIVATE INSURANCE COVERS TRMT FOR MENTAL/EMOTIONAL PROBLEMS,HEALTH INSURANCE,Original u otra,50.358,Predictor principal
HLTINNOS,COVERED BY HEALTH INSUR (NOT OTHERWISE SPECIFIED),HEALTH INSURANCE,Original u otra,12.899,Predictor principal
MEDICARE,COVERED BY MEDICARE,HEALTH INSURANCE,Original u otra,96.139,Predictor principal
PRVHLTIN,COVERED BY PRIVATE INSURANCE,HEALTH INSURANCE,Original u otra,95.852,Predictor principal
EDFAM18,RC-EDITED INDICATOR: FAMILY IN HH 18 OR OLDER,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,96.708,Predictor principal
NRCH17_2,RECODED # R's CHILDREN < 18 IN HOUSEHOLD,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,96.408,Predictor principal
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,Imputada,100.0,Predictor principal
IRMARIT,IMPUTATION REVISED MARITAL STATUS,IMPUTED DEMOGRAPHICS,Imputada,100.0,Predictor principal
IRSEX,RESPONDENT SEX - IMPUTATION REVISED,IMPUTED DEMOGRAPHICS,Imputada,100.0,Predictor principal
IRFLVVAPREC,ONLY FLAVORING VAPING RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,100.0,Predictor principal
IRIMFREC,ILLEGALLY MADE FENTANYL RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,100.0,Predictor principal
IRKRATREC,KRATOM RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,100.0,Predictor principal
IRSYNMRJREC,SYNTHETIC MARIJUANA RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,100.0,Predictor principal
IRSYNSTMREC,SYNTHETIC STIMULANTS RECENCY - IMPUTATION REVISED,IMPUTED EMERGING ISSUES,Imputada,100.0,Predictor principal
IRWRKSTAT,EMPLOYMENT STATUS - IMPUTATION REVISED,IMPUTED EMPLOYMENT,Imputada,100.0,Predictor principal
IRWRKSTAT18,EMPLOYMENT STATUS 18+ - IMPUTATION REVISED,IMPUTED EMPLOYMENT,Imputada,100.0,Predictor principal
IRCHMPUS,CHAMPUS - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IRMCDCHP,MEDICAID/CHIP - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IRMEDICR,MEDICARE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IROTHHLT,OTHER HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,13.734,Predictor principal
IRPRVHLT,PRIVATE HEALTH INSURANCE - IMPUTATION REVISED,IMPUTED HEALTH INSURANCE,Imputada,100.0,Predictor principal
IRHH65_2,REC - IMPUTATION-REVISED # OF PER IN HH AGED>=65,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Predictor principal
IRHHSIZ2,RECODE - IMPUTATION-REVISED # PERSONS IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Predictor principal
IRKI17_2,RECODE - IMPUTATION-REVISED # KIDS AGED<18 IN HH,IMPUTED HOUSEHOLD COMPOSITION (ROSTER),Imputada,100.0,Predictor principal
IRFAMIN3,RECODE - TOT FAM INCOME - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRFAMPMT,FAM RECEIVE PUBLIC ASSIST - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRFAMSOC,FAM RECEIVE SS OR RR PAYMENTS - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRFAMSSI,FAM RECEIVE SSI - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRFSTAMP,RESP/OTH FAM MEM REC FOOD STAMPS - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRPINC3,RECODE -RESP TOT INCOME - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
