variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook,frecuencia_adultos,pct_adultos,presente_adultos
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,410,0.70,410,0.867,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,11,0.02,11,0.023,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4066,6.93,4066,8.596,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01,6,0.013,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03,17,0.036,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70,1582,3.345,True
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61,41207,87.12,True
ADOCMDE,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable,True,49351,84.17,38017,80.376,True
ADOCMDE,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,0,No (ADSEEDOC=2 or ADFAMDOC=6),Categoría analítica,False,6893,11.76,6893,14.573,True
ADOCMDE,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,1,"Yes (ADFAMDOC=1,3)",Categoría analítica,False,2389,4.07,2389,5.051,True
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,370,0.63,370,0.782,True
