variable,n_nan_adultos,pct_nan_adultos,codigo_nan_doc,etiqueta_nan_doc,interpretacion_nan
RXBARBMIS,2,0.004,.,Unknown (Otherwise),Salto legítimo o no aplicable
CIG1PACK,43910,92.835,.,"No daily use/not reported (CIGPDAY=5,6)",Ausencia documental
CIGAVGD,40763,86.182,.,Not Used/Unknown (Otherwise),Salto legítimo o no aplicable
CIGAVGM,40763,86.182,.,"Not Used/Unknown (CIGAVGD=. or IRCIGFM=91,93)",Ausencia de exposición
ALCNUMDKPM,24713,52.248,.,Not Used/Unknown (See comment above),Ausencia de exposición
PNRMAINRSN,231,0.488,.,Unknown (See comment above),No respuesta o ausencia
TRQMAINRSN,181,0.383,.,Unknown (see comment above),No respuesta o ausencia
STMMAINRSN,216,0.457,.,Unknown (see comment above),No respuesta o ausencia
SEDMAINRSN,254,0.537,.,Unknown (see comment above),No respuesta o ausencia
SRCPNRNM2,45946,97.139,.,No Past Year Misuse/Unknown/Invalid Source,Ausencia de exposición
SRCTRQNM2,46565,98.448,.,No Past Year Misuse/Unknown/Invalid Source,Ausencia de exposición
SRCSTMNM2,46468,98.243,.,No Past Year Misuse/Unknown/Invalid Source,Ausencia de exposición
SRCSEDNM2,47156,99.698,.,No Past Year Misuse/Unknown/Invalid Source,Ausencia de exposición
SRCFRPNRNM,46898,99.152,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",Ausencia documental
SRCFRTRQNM,47002,99.372,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",Ausencia documental
SRCFRSTMNM,46862,99.076,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",Ausencia documental
SRCFRSEDNM,47244,99.884,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invalid Source",Ausencia documental
SRCCLFRPNR,46898,99.152,.,"No PY Misuse/Not from Fr,Rel/Unknwn/Invld (Otherwise)",Salto legítimo o no aplicable
