variable_objetivo,variable_vinculada,tipo_vinculo,nivel,modulo,rol_provisional,n_unicos,pct_nan,etiqueta_codebook,presente_eda,predictor_candidato
IRSUICTHNK,SMISUD5ANY,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP SMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,True,True
IRSUICTHNK,SMISUD5ANYO,Variable derivada,3,RECODED ADULT MENTAL HEALTH,Predictor candidato,4.0,0.0,"RC-ONLY IMP SMI, ONLY SUD, BOTH, OR NEITHER - PY-DSM-5-ANY",True,True
IRSUICTHNK,LMMIPY,Variable derivada,4,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP LMMI IND (1/0) BASED ON PREDICTED SMI PROB PY,True,True
IRSUICTHNK,LMMISUD5ANY,Variable derivada,5,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,RC-IMP LMMI AND SUB USE DISORDER - PAST YEAR-DSM-5 - ANY,True,True
IRSUIPLANYR,SUIPLANYR,Variable de origen,1,ADULT MENTAL HEALTH,Predictor candidato,6.0,0.0,ADULT MAKE PLANS TO KILL SELF PST 12 MOS,True,True
IRSUIPLANYR,SUI02,Variable de origen,2,,,,,,False,False
IRSUIPLANYR,ADSUITPACOM,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,8.0,0.0,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,True,True
IRSUIPLANYR,ADSUITPAYR,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY",True,True
IRSUITRYYR,ADSUITPACOM,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,8.0,0.0,RC-ADULT PY SUICIDE THOUGHTS/PLANS/ATTEMPTS COMBINATIONS,True,True
IRSUITRYYR,ADSUITPAYR,Variable derivada,1,RECODED ADULT MENTAL HEALTH,Predictor candidato,2.0,0.0,"RC-ADULT THOUGHT ABOUT, PLANNED, OR ATTEMPTED SUICIDE - PY",True,True
