variable,modulo,rango_documentado,limite_inferior,limite_superior,n_validos,pct_validos,n_unicos_validos,minimo_valido,maximo_valido,mediana,media,q1,q3,iqr,limite_iqr_inf,limite_iqr_sup,n_alejados_iqr,pct_alejados_iqr,tramo_valores_validos
NRCH17_2,HOUSEHOLD COMPOSITION (ROSTER),0 - 2,0.0,2.0,42714,90.306,3,0.0,2.0,0.0,0.3544973544973545,0.0,0.0,0.0,,,0,0.0,≥75 %
PCPAGLST,PRIOR SUBSTANCE USE,8 - 57,8.0,57.0,654,1.383,44,8.0,57.0,21.0,22.974006116207953,18.0,26.0,8.0,6.0,38.0,30,4.587,1-5 %
PCPYLU,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,24,0.051,3,2022.0,2024.0,2023.0,2023.2916666666667,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,<1 %
SMKAGLAST,PRIOR SUBSTANCE USE,2 - 80,2.0,80.0,4694,9.924,72,2.0,80.0,22.0,25.436301661695783,18.0,30.0,12.0,0.0,48.0,166,3.536,5-25 %
SMKYRLAST,PRIOR SUBSTANCE USE,2022 - 2024,2022.0,2024.0,749,1.584,3,2022.0,2024.0,2024.0,2023.4606141522029,2023.0,2024.0,1.0,2021.5,2025.5,0,0.0,1-5 %
WRKDHRSWK2,EMPLOYMENT,1 - 60,1.0,60.0,25692,54.318,60,1.0,60.0,40.0,35.860151019772694,30.0,40.0,10.0,15.0,55.0,2846,11.077,25-75 %
WRKLASTYR2,EMPLOYMENT,1986 - 2024,1986.0,2024.0,13444,28.423,39,1986.0,2024.0,2022.0,2018.2237429336508,2016.0,2023.0,7.0,2005.5,2033.5,1185,8.814,25-75 %
WRKNJBWKS,EMPLOYMENT,1 - 52,1.0,52.0,4156,8.787,52,1.0,52.0,8.0,13.215591915303175,4.0,20.0,16.0,-20.0,44.0,147,3.537,5-25 %
WRKSICKMO,EMPLOYMENT,1 - 30,1.0,30.0,8145,17.22,30,1.0,30.0,2.0,3.643216697360344,1.0,4.0,3.0,-3.5,8.5,676,8.3,5-25 %
WRKSKIPMO,EMPLOYMENT,1 - 30,1.0,30.0,4138,8.749,28,1.0,30.0,2.0,3.0611406476558725,1.0,3.0,2.0,-2.0,6.0,386,9.328,5-25 %
WTPOUND2,HEALTH,75 - 295,75.0,295.0,45427,96.042,221,75.0,295.0,175.0,180.70962203095075,145.0,210.0,65.0,47.5,307.5,0,0.0,≥75 %
