variable,modulo,tipo_variable,n_unicos,pct_nan,pct_dominante,n_categorias_observadas,n_categorias_minoritarias_1,n_categorias_minoritarias_01,pct_acum_minoritarias_1,pct_acum_minoritarias_01
RXZOHYANY2,RECODED DRUG USE,Binaria,2,0.169,99.666,3,2,0,0.334,0.0
RXZOHYMIS,RECODED DRUG USE,Binaria,2,0.021,99.964,3,2,2,0.036,0.036
RXZOLPANY,RECODED DRUG USE,Binaria,2,0.044,98.201,3,1,1,0.044,0.044
RXZOLPMIS,RECODED DRUG USE,Binaria,2,0.0,99.814,2,1,0,0.186,0.0
SALVIAFLAG,RECODED DRUG USE,Binaria,2,0.0,97.638,2,0,0,0.0,0.0
SALVIAMON,RECODED DRUG USE,Binaria,2,0.0,99.983,2,1,1,0.017,0.017
SALVIAYR,RECODED DRUG USE,Binaria,2,0.0,99.964,2,1,1,0.036,0.036
SEDANYFLAG,RECODED DRUG USE,Binaria,2,0.0,89.704,2,0,0,0.0,0.0
SEDANYYR,RECODED DRUG USE,Binaria,2,0.0,95.759,2,0,0,0.0,0.0
SEDMAINRSN,RECODED DRUG USE,Categórica con pocas categorías,7,0.537,99.159,8,7,5,0.84,0.128
SEDNDAYPM,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.894,5,4,4,0.105,0.105
SEDNMFLAG,RECODED DRUG USE,Binaria,2,0.0,97.932,2,0,0,0.0,0.0
SEDNMMON,RECODED DRUG USE,Binaria,2,0.0,99.894,2,1,0,0.106,0.0
SEDNMYR,RECODED DRUG USE,Binaria,2,0.0,99.683,2,1,0,0.317,0.0
SERVICE,DEMOGRAPHICS,Categórica con pocas categorías,5,0.0,94.972,5,3,3,0.052,0.052
SEVYROPPRANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,98.421,4,2,0,0.577,0.0
SEVYRPNRANY2,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,98.342,4,2,0,0.588,0.0
SEVYRSEDANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.662,4,3,2,0.338,0.131
SEVYRSTMANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.055,4,3,0,0.946,0.0
SEVYRTRQANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.298,4,3,0,0.702,0.0
SEXAGE,RECODED DEMOGRAPHICS,Categórica con pocas categorías,3,0.0,70.114,3,0,0,0.0,0.0
SEXRACE,RECODED DEMOGRAPHICS,Categórica con pocas categorías,7,0.0,31.912,7,0,0,0.0,0.0
SMKLSMDAYS,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,97.036,5,3,0,1.382,0.0
SMKLSSFLAG,RECODED DRUG USE,Binaria,2,0.0,86.029,2,0,0,0.0,0.0
SMKLSSMON,RECODED DRUG USE,Binaria,2,0.0,97.036,2,0,0,0.0,0.0
SMKLSSYR,RECODED DRUG USE,Binaria,2,0.0,95.799,2,0,0,0.0,0.0
SMKMOLAST,PRIOR SUBSTANCE USE,Categórica con número moderado de categorías,19,0.0,85.998,19,17,5,2.771,0.356
SNAFLMJTRY,SOCIAL ENVIRONMENT,Categórica con pocas categorías,9,0.0,42.804,9,3,1,1.015,0.04
SNRLDCSN,SOCIAL ENVIRONMENT,Categórica con pocas categorías,8,0.0,31.094,8,3,1,1.399,0.04
SNRLFRND,SOCIAL ENVIRONMENT,Categórica con pocas categorías,8,0.0,37.388,8,3,1,1.418,0.04
SNRLGIMP,SOCIAL ENVIRONMENT,Categórica con pocas categorías,8,0.0,30.407,8,3,1,1.474,0.04
SNYATTAK,SOCIAL ENVIRONMENT,Categórica con pocas categorías,9,0.0,96.613,9,7,3,1.408,0.133
SNYSELL,SOCIAL ENVIRONMENT,Categórica con pocas categorías,9,0.0,95.994,9,6,2,1.002,0.137
SNYSTOLE,SOCIAL ENVIRONMENT,Categórica con pocas categorías,9,0.0,96.336,9,7,3,1.691,0.207
SOLVENEVER2,RECODED DRUG USE,Binaria,2,0.013,99.404,3,2,1,0.597,0.013
SPAINTEVER2,RECODED DRUG USE,Binaria,2,0.008,99.159,3,2,1,0.841,0.008
SPEAKENGL,DEMOGRAPHICS,Categórica con pocas categorías,8,0.0,86.16,8,3,1,0.438,0.082
SRCCLFRPNR,RECODED DRUG USE,Categórica con pocas categorías,3,99.152,99.152,4,3,1,0.848,0.042
SRCCLFRSED,RECODED DRUG USE,Binaria,2,99.884,99.884,3,2,1,0.117,0.011
SRCCLFRSTM,RECODED DRUG USE,Categórica con pocas categorías,3,99.076,99.076,4,3,2,0.923,0.107
SRCCLFRTRQ,RECODED DRUG USE,Categórica con pocas categorías,3,99.372,99.372,4,3,2,0.628,0.11
SRCFRPNRNM,RECODED DRUG USE,Categórica con pocas categorías,8,99.152,99.152,9,8,7,0.848,0.171
SRCFRSEDNM,RECODED DRUG USE,Categórica con pocas categorías,3,99.884,99.884,4,3,2,0.116,0.01
SRCFRSTMNM,RECODED DRUG USE,Categórica con pocas categorías,6,99.076,99.076,7,6,5,0.924,0.116
SRCFRTRQNM,RECODED DRUG USE,Categórica con pocas categorías,8,99.372,99.372,9,8,7,0.628,0.131
SRCPNRNM2,RECODED DRUG USE,Categórica con pocas categorías,8,97.139,97.139,9,7,2,1.743,0.104
SRCSEDNM2,RECODED DRUG USE,Categórica con pocas categorías,8,99.698,99.698,9,8,6,0.301,0.065
SRCSTMNM2,RECODED DRUG USE,Categórica con pocas categorías,8,98.243,98.243,9,8,5,1.756,0.228
SRCTRQNM2,RECODED DRUG USE,Categórica con pocas categorías,8,98.448,98.448,9,8,4,1.552,0.155
STMANYFLAG,RECODED DRUG USE,Binaria,2,0.0,85.3,2,0,0,0.0,0.0
STMANYYR,RECODED DRUG USE,Binaria,2,0.0,91.262,2,0,0,0.0,0.0
STMMAINRSN,RECODED DRUG USE,Categórica con pocas categorías,10,0.457,97.767,11,10,5,2.233,0.257
STMNDAYPM,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.48,5,4,1,0.52,0.049
STMNMFLAG,RECODED DRUG USE,Binaria,2,0.0,95.051,2,0,0,0.0,0.0
STMNMMON,RECODED DRUG USE,Binaria,2,0.0,99.48,2,1,0,0.52,0.0
STMNMYR,RECODED DRUG USE,Binaria,2,0.0,98.197,2,0,0,0.0,0.0
SVYRCNSANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,97.894,4,3,0,2.106,0.0
SVYRCNSMIS,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,98.425,4,3,0,1.576,0.0
SVYRCNSUNM,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.469,4,3,2,0.531,0.104
SVYRDUDANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,87.154,4,0,0,0.0,0.0
SVYROPIANY2,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,98.292,4,3,0,1.708,0.0
SVYROPIMIS,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.078,4,3,0,0.922,0.0
SVYROPIUNM,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.214,4,3,2,0.786,0.133
SVYRPSYANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,97.078,4,2,0,1.042,0.0
SVYRSUDANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,78.976,4,0,0,0.0,0.0
SVYRTQSDANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.072,4,3,0,0.928,0.0
SVYRTQSDMIS,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.607,4,3,1,0.393,0.082
SVYRTQSDUNM,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,99.465,4,3,2,0.535,0.127
SYNMRJEVR,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,93.812,6,3,1,0.477,0.008
SYNMRJFLAG,RECODED EMERGING ISSUES,Binaria,2,0.0,96.871,2,0,0,0.0,0.0
SYNMRJMON,RECODED EMERGING ISSUES,Binaria,2,0.0,99.86,2,1,0,0.14,0.0
SYNMRJREC,EMERGING ISSUES,Categórica con pocas categorías,7,0.0,93.812,7,4,2,0.346,0.023
SYNMRJYR,RECODED EMERGING ISSUES,Binaria,2,0.0,99.66,2,1,0,0.34,0.0
SYNSTMEVR,EMERGING ISSUES,Categórica con pocas categorías,6,0.0,96.556,6,4,1,0.737,0.008
SYNSTMFLAG,RECODED EMERGING ISSUES,Binaria,2,0.0,99.655,2,1,0,0.345,0.0
SYNSTMMON,RECODED EMERGING ISSUES,Binaria,2,0.0,99.958,2,1,1,0.042,0.042
SYNSTMREC,EMERGING ISSUES,Categórica con pocas categorías,7,0.0,96.556,7,5,4,0.337,0.088
SYNSTMYR,RECODED EMERGING ISSUES,Binaria,2,0.0,99.918,2,1,1,0.082,0.082
TELEAPTYR,HEALTH,Categórica con pocas categorías,6,0.0,72.634,6,3,1,0.419,0.021
TELEAPTYR2,RECODED HEALTH,Binaria,2,2.171,72.634,3,0,0,0.0,0.0
TOBALCFLG,RECODED DRUG USE,Binaria,2,0.0,85.298,2,0,0,0.0,0.0
TOBALCMN,RECODED DRUG USE,Binaria,2,0.0,57.754,2,0,0,0.0,0.0
TOBALCYR,RECODED DRUG USE,Binaria,2,0.0,72.511,2,0,0,0.0,0.0
TOBCIGONL,RECODED DRUG USE,Categórica con pocas categorías,4,0.0,82.027,4,0,0,0.0,0.0
TOBCIGVAP2,RECODED DRUG USE,Categórica con pocas categorías,4,0.0,93.907,4,0,0,0.0,0.0
TOBFLAG,RECODED DRUG USE,Binaria,2,0.0,57.58,2,0,0,0.0,0.0
TOBMON,RECODED DRUG USE,Binaria,2,0.0,82.027,2,0,0,0.0,0.0
TOBVAPONL2,RECODED DRUG USE,Categórica con pocas categorías,4,0.0,73.807,4,0,0,0.0,0.0
TOBVNICFLAG,RECODED DRUG USE,Binaria,2,0.0,63.431,2,0,0,0.0,0.0
TOBVNICMON,RECODED DRUG USE,Binaria,2,0.0,73.807,2,0,0,0.0,0.0
TOBVNICYR,RECODED DRUG USE,Binaria,2,0.0,67.5,2,0,0,0.0,0.0
TOBYR,RECODED DRUG USE,Binaria,2,0.0,75.887,2,0,0,0.0,0.0
TQSDANYFLG,RECODED DRUG USE,Binaria,2,0.0,76.951,2,0,0,0.0,0.0
TQSDANYYR,RECODED DRUG USE,Binaria,2,0.0,86.672,2,0,0,0.0,0.0
TQSDNMFLAG,RECODED DRUG USE,Binaria,2,0.0,95.165,2,0,0,0.0,0.0
TQSDNMMON,RECODED DRUG USE,Binaria,2,0.0,99.44,2,1,0,0.56,0.0
TQSDNMYR,RECODED DRUG USE,Binaria,2,0.0,98.152,2,0,0,0.0,0.0
TRQANYFLAG,RECODED DRUG USE,Binaria,2,0.0,80.921,2,0,0,0.0,0.0
TRQANYYR,RECODED DRUG USE,Binaria,2,0.0,89.038,2,0,0,0.0,0.0
TRQMAINRSN,RECODED DRUG USE,Categórica con pocas categorías,9,0.383,98.051,10,9,4,1.951,0.155
TRQNDAYPM,RECODED DRUG USE,Categórica con pocas categorías,5,0.0,99.522,5,4,1,0.477,0.042
TRQNMFLAG,RECODED DRUG USE,Binaria,2,0.0,95.962,2,0,0,0.0,0.0
TRQNMMON,RECODED DRUG USE,Binaria,2,0.0,99.522,2,1,0,0.478,0.0
TRQNMYR,RECODED DRUG USE,Binaria,2,0.0,98.374,2,0,0,0.0,0.0
UADBAR,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,1,0,0.311,0.0
UADBUND,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,3,0.237,99.721,4,3,2,0.279,0.042
UADBWHO,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,3,0.237,99.321,4,3,1,0.679,0.042
UADCAG,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,5,0.252,99.266,6,5,3,0.735,0.155
UADCAR,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,1,1,0.093,0.093
UADEVNT,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,1,1,0.085,0.085
UADFRD,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,3,0.319,98.002,4,2,1,0.38,0.061
UADFWHO,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,8,0.319,98.002,9,8,1,1.999,0.036
UADHOME,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,0,0,0.0,0.0
UADMONY,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,3,0.237,98.824,4,3,0,1.176,0.0
UADOTHM,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,0,0,0.0,0.0
UADOTSP2,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,6,0.264,99.651,7,6,5,0.348,0.084
UADPAID,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,3,0.228,97.055,4,2,0,1.175,0.0
UADPEOP,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,4,0.211,97.055,5,3,0,1.046,0.0
UADPLACE,RECODED CONSUMPTION OF ALCOHOL,Categórica con pocas categorías,4,0.243,99.364,5,4,1,0.635,0.008
UADPUBL,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,1,0,0.106,0.0
UADROTH,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.319,97.319,3,1,0,0.129,0.0
UADSCHL,RECODED CONSUMPTION OF ALCOHOL,Binaria,2,97.285,97.285,3,1,1,0.042,0.042
UD5ALNILANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,91.822,2,0,0,0.0,0.0
UD5CNSANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,97.894,2,0,0,0.0,0.0
UD5CNSGRP,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,3,0.0,97.894,3,1,0,0.531,0.0
UD5HROPANY,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,4,0.0,98.292,4,2,0,0.25,0.0
UD5IEMANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,95.924,2,0,0,0.0,0.0
UD5ILAALANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,96.087,2,0,0,0.0,0.0
UD5ILALANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,78.976,2,0,0,0.0,0.0
UD5ILLANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,87.154,2,0,0,0.0,0.0
UD5ILNALANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,91.067,2,0,0,0.0,0.0
UD5OPIANY2,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,98.292,2,0,0,0.0,0.0
UD5OPIGRP,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,3,0.0,98.292,3,2,0,1.708,0.0
UD5PSYANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,97.078,2,0,0,0.0,0.0
UD5TRQSDANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.072,2,1,0,0.928,0.0
UD5TRQSDGRP,RECODED SUBSTANCE USE DISORDER,Categórica con pocas categorías,3,0.0,99.072,3,2,0,0.928,0.0
UDYR5OPPRANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,98.421,2,0,0,0.0,0.0
UDYR5PNRANY2,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,98.342,2,0,0,0.0,0.0
UDYR5SEDANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.662,2,1,0,0.338,0.0
UDYR5STMANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.055,2,1,0,0.945,0.0
UDYR5TRQANY,RECODED SUBSTANCE USE DISORDER,Binaria,2,0.0,99.298,2,1,0,0.702,0.0
WRK35WKUS,EMPLOYMENT,Categórica con pocas categorías,7,0.0,46.728,7,3,2,0.776,0.095
WRKDPSTWK,EMPLOYMENT,Categórica con pocas categorías,7,0.0,55.995,7,4,1,1.07,0.078
WRKDPSTYR,EMPLOYMENT,Categórica con pocas categorías,7,0.0,61.462,7,3,1,0.96,0.07
WRKEFFORT,EMPLOYMENT,Categórica con pocas categorías,6,0.0,88.725,6,2,1,0.827,0.013
WRKHADJOB,EMPLOYMENT,Categórica con pocas categorías,8,0.0,55.995,8,4,2,0.886,0.138
WRKNJBPYR,EMPLOYMENT,Categórica con pocas categorías,7,0.0,52.113,7,3,2,0.822,0.065
WRKNUMJOB2,EMPLOYMENT,Categórica con pocas categorías,9,0.0,49.783,9,3,1,1.34,0.008
WRKRSNJOB,EMPLOYMENT,Categórica con número moderado de categorías,13,0.0,61.462,13,4,1,1.918,0.07
WRKRSNNOT,EMPLOYMENT,Categórica con número moderado de categorías,11,0.0,90.577,11,7,1,2.539,0.044
WRKSELFEM,EMPLOYMENT,Categórica con pocas categorías,8,0.0,59.365,8,4,2,1.494,0.097
WRKSTATWK2,EMPLOYMENT,Categórica con pocas categorías,10,0.0,43.527,10,0,0,0.0,0.0
WTANSWER,HEALTH,Categórica con pocas categorías,6,0.0,93.541,6,3,1,1.429,0.019
