variable,modulo,tipo_variable,n_unicos,pct_nan,pct_dominante,n_categorias_observadas,n_categorias_minoritarias_1,n_categorias_minoritarias_01,pct_acum_minoritarias_1,pct_acum_minoritarias_01
HERRXOPYR,RECODED DRUG USE,Categórica con pocas categorías,4,0.0,96.953,4,2,0,0.279,0.0
HERSMOEVER,RECODED SPECIAL DRUGS,Binaria,2,0.023,98.677,3,1,1,0.023,0.023
HERSNIEVER,RECODED SPECIAL DRUGS,Binaria,2,0.023,98.188,3,1,1,0.023,0.023
HERYDAYS,RECODED DRUG USE,Categórica con pocas categorías,6,0.0,99.721,6,5,5,0.279,0.279
HERYR,RECODED DRUG USE,Binaria,2,0.0,99.721,2,1,0,0.279,0.0
HIGHBPEVR2,HEALTH,Categórica con pocas categorías,6,0.0,83.414,6,3,1,0.983,0.021
HIGHBPMED,HEALTH,Categórica con pocas categorías,7,0.0,83.414,7,3,3,0.027,0.027
HIVAIDSEV2,HEALTH,Categórica con pocas categorías,6,0.0,96.926,6,4,1,1.232,0.021
HLCALL99,RECODED HEALTH INSURANCE,Binaria,2,0.0,99.962,2,1,1,0.038,0.038
HLCLAST,HEALTH INSURANCE,Categórica con pocas categorías,9,0.0,85.194,9,2,0,0.423,0.0
HLCNOTYR,HEALTH INSURANCE,Categórica con pocas categorías,7,0.0,79.68,7,3,1,0.369,0.011
HLLOSRSN,HEALTH INSURANCE,Categórica con número moderado de categorías,17,0.0,87.526,17,12,4,4.392,0.233
HLNVCOST,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,93.211,6,3,1,1.135,0.008
HLNVNEED,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,93.211,6,3,1,0.773,0.008
HLNVOFFR,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,93.211,6,3,1,0.494,0.008
HLNVREF,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,93.211,6,3,2,0.293,0.069
HLNVSOR,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,93.211,6,3,1,0.94,0.008
HLTINALC,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,39.261,6,1,0,0.197,0.0
HLTINDRG,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,39.261,6,1,0,0.195,0.0
HLTINMNT,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,42.381,6,1,0,0.184,0.0
HLTINNOS,HEALTH INSURANCE,Categórica con pocas categorías,6,0.0,83.581,6,2,2,0.066,0.066
HPALCAMT2,HEALTH,Categórica con pocas categorías,8,0.0,26.373,8,2,0,0.786,0.0
HPALCCUT2,HEALTH,Categórica con pocas categorías,8,0.0,50.614,8,2,0,0.786,0.0
HPALCFRQ2,HEALTH,Categórica con pocas categorías,9,0.0,26.286,9,3,1,0.792,0.006
HPALCNOT2,HEALTH,Categórica con pocas categorías,8,0.0,32.485,8,2,0,0.786,0.0
HPALCPRB2,HEALTH,Categórica con pocas categorías,8,0.0,45.978,8,2,0,0.786,0.0
HPALCTX2,HEALTH,Categórica con pocas categorías,8,0.0,51.255,8,2,0,0.786,0.0
HPDRGTALK,HEALTH,Categórica con pocas categorías,9,0.0,44.517,9,3,3,0.072,0.072
HPQTTOB,HEALTH,Categórica con pocas categorías,9,0.0,42.398,9,4,3,0.979,0.04
HPUSEALC,HEALTH,Categórica con pocas categorías,7,0.0,52.908,7,3,2,0.315,0.087
HPUSEDRG,HEALTH,Categórica con pocas categorías,7,0.0,45.449,7,3,2,0.395,0.101
HPUSETOB,HEALTH,Categórica con pocas categorías,7,0.0,52.961,7,3,2,0.325,0.097
HRTCONDEV2,HEALTH,Categórica con pocas categorías,6,0.0,89.613,6,3,1,0.992,0.03
HRTCONDYR,HEALTH,Categórica con pocas categorías,8,0.0,89.613,8,4,3,0.41,0.059
HTANSWER,HEALTH,Categórica con pocas categorías,6,0.0,93.021,6,3,1,1.265,0.019
HVYDRKMON,RECODED DRUG USE,Binaria,2,0.0,93.886,2,0,0,0.0,0.0
IINPCOLDREC,IMPUTED SPECIAL DRUGS,Categórica con pocas categorías,3,0.0,99.165,3,2,1,0.835,0.095
ILIMFOTHFG,RECODED EMERGING ISSUES,Binaria,2,0.0,61.067,2,0,0,0.0,0.0
ILIMFOTHMN,RECODED EMERGING ISSUES,Binaria,2,0.0,75.835,2,0,0,0.0,0.0
ILIMFOTHYR,RECODED EMERGING ISSUES,Binaria,2,0.0,63.553,2,0,0,0.0,0.0
ILLALCFLG,RECODED DRUG USE,Binaria,2,0.0,85.272,2,0,0,0.0,0.0
ILLALCMON,RECODED DRUG USE,Binaria,2,0.0,57.251,2,0,0,0.0,0.0
