variable,tipo,n_presentes,n_unicos,n_nan,pct_nan
MEDICARE,int64,47299,5,0,0.0
CAIDCHIP,int64,47299,6,0,0.0
CHAMPUS,int64,47299,5,0,0.0
PRVHLTIN,int64,47299,5,0,0.0
GRPHLTIN,int64,47299,6,0,0.0
HLTINALC,int64,47299,6,0,0.0
HLTINDRG,int64,47299,6,0,0.0
HLTINMNT,int64,47299,6,0,0.0
HLTINNOS,int64,47299,6,0,0.0
HLCNOTYR,int64,47299,7,0,0.0
HLCNOTMO,int64,47299,16,0,0.0
HLCLAST,int64,47299,9,0,0.0
HLLOSRSN,int64,47299,17,0,0.0
HLNVCOST,int64,47299,6,0,0.0
HLNVOFFR,int64,47299,6,0,0.0
HLNVREF,int64,47299,6,0,0.0
HLNVNEED,int64,47299,6,0,0.0
HLNVSOR,int64,47299,6,0,0.0
IRMEDICR,int64,47299,2,0,0.0
IIMEDICR,int64,47299,2,0,0.0
IRMCDCHP,int64,47299,2,0,0.0
IIMCDCHP,int64,47299,2,0,0.0
IRCHMPUS,int64,47299,2,0,0.0
IICHMPUS,int64,47299,2,0,0.0
IRPRVHLT,int64,47299,2,0,0.0
IIPRVHLT,int64,47299,2,0,0.0
IROTHHLT,int64,47299,3,0,0.0
IIOTHHLT,int64,47299,3,0,0.0
HLCALLFG,int64,47299,2,0,0.0
HLCALL99,int64,47299,2,0,0.0
ANYHLTI2,int64,47299,5,0,0.0
IRINSUR4,int64,47299,2,0,0.0
IIINSUR4,int64,47299,2,0,0.0
OTHINS,int64,47299,2,0,0.0
CELLWRKNG,int64,47299,6,0,0.0
CELLNOTCL,int64,47299,6,0,0.0
IRFAMSOC,int64,47299,2,0,0.0
IIFAMSOC,int64,47299,2,0,0.0
IRFAMSSI,int64,47299,2,0,0.0
IIFAMSSI,int64,47299,2,0,0.0
IRFSTAMP,int64,47299,2,0,0.0
IIFSTAMP,int64,47299,2,0,0.0
IRFAMPMT,int64,47299,2,0,0.0
IIFAMPMT,int64,47299,2,0,0.0
IRFAMSVC,int64,47299,2,0,0.0
IIFAMSVC,int64,47299,2,0,0.0
IRWELMOS,int64,47299,13,0,0.0
IIWELMOS,int64,47299,3,0,0.0
IRPINC3,int64,47299,7,0,0.0
IRFAMIN3,int64,47299,7,0,0.0
IIPINC3,int64,47299,2,0,0.0
IIFAMIN3,int64,47299,2,0,0.0
GOVTPROG,int64,47299,2,0,0.0
INCOME,int64,47299,4,0,0.0
POVERTY3,float64,47163,3,136,0.288
BOOKED,int64,47299,7,0,0.0
NOBOOKY2,int64,47299,9,0,0.0
BKMVTHFT,int64,47299,8,0,0.0
BKLARCNY,int64,47299,9,0,0.0
BKBURGL,int64,47299,8,0,0.0
BKSRVIOL,int64,47299,9,0,0.0
BKSMASLT,int64,47299,9,0,0.0
BKROB,int64,47299,7,0,0.0
BKARSON,int64,47299,7,0,0.0
BKDRVINF,int64,47299,8,0,0.0
BKDRUNK,int64,47299,8,0,0.0
BKPOSTOB,int64,47299,1,0,0.0
BKDRUG,int64,47299,8,0,0.0
BKSEXNR,int64,47299,7,0,0.0
BKFRAUD,int64,47299,9,0,0.0
BKOTH,int64,47299,9,0,0.0
BKOTHOF2,int64,47299,25,0,0.0
PROBATON,int64,47299,6,0,0.0
PAROLREL,int64,47299,6,0,0.0
DRVINALCO,int64,47299,7,0,0.0
DRVINMARJ,int64,47299,7,0,0.0
DRVINCOCN,int64,47299,8,0,0.0
DRVINHERN,int64,47299,8,0,0.0
DRVINHALL,int64,47299,8,0,0.0
DRVININHL,int64,47299,6,0,0.0
DRVINMETH,int64,47299,7,0,0.0
DRVINALON,int64,47299,6,0,0.0
MXMJPNLT,int64,47299,10,0,0.0
DRVINALCO2,float64,46776,2,523,1.106
DRVINMARJ2,float64,46983,2,316,0.668
DRVINDRG,float64,46619,2,680,1.438
DRVINDROTMJ,float64,46812,2,487,1.03
DRVINALDRG,float64,46315,2,984,2.08
PAROL,float64,46658,2,641,1.355
PROB,float64,46661,2,638,1.349
CIGEVER,int64,47299,2,0,0.0
CIGTRY,int64,47299,57,0,0.0
CIGYFU,int64,47299,10,0,0.0
CIGMFU,int64,47299,19,0,0.0
CIGREC,int64,47299,11,0,0.0
CIG30USE,int64,47299,35,0,0.0
CG30EST,int64,47299,11,0,0.0
CIG30AV,int64,47299,12,0,0.0
CIGMENTH30,int64,47299,7,0,0.0
CIGROLL30,int64,47299,7,0,0.0
CIGDLYMO,int64,47299,6,0,0.0
CIGAGE,int64,47299,63,0,0.0
CIGDLYFU,int64,47299,10,0,0.0
CIGDLMFU,int64,47299,19,0,0.0
