variable,tipo,n_presentes,n_unicos,n_nan,pct_nan,pct_unicos_presentes
KETMINREC,int64,58633,9,0,0.0,0.015
DAMTFXREC,int64,58633,9,0,0.0,0.015
SALVIAREC,int64,58633,10,0,0.0,0.017
AMYLNIT3,int64,58633,7,0,0.0,0.012
CLEFLU3,int64,58633,7,0,0.0,0.012
GAS3,int64,58633,7,0,0.0,0.012
GLUE3,int64,58633,7,0,0.0,0.012
ETHER3,int64,58633,7,0,0.0,0.012
SOLVENT3,int64,58633,6,0,0.0,0.01
LGAS3,int64,58633,6,0,0.0,0.01
NITOXID3,int64,58633,7,0,0.0,0.012
FELTMARKR3,int64,58633,7,0,0.0,0.012
SPPAINT3,int64,58633,6,0,0.0,0.01
AIRDUSTER3,int64,58633,6,0,0.0,0.01
OTHAEROS3,int64,58633,7,0,0.0,0.012
INHALOTH2,int64,58633,6,0,0.0,0.01
INHALEVER2,int64,58633,4,0,0.0,0.007
INHALAGE2,int64,58633,58,0,0.0,0.099
INHALYFU2,int64,58633,10,0,0.0,0.017
INHALMFU2,int64,58633,19,0,0.0,0.032
INHALREC2,int64,58633,10,0,0.0,0.017
INHALYFQ2,int64,58633,78,0,0.0,0.133
INHTOTFG2,int64,58633,3,0,0.0,0.005
INHFQFLG2,int64,58633,2,0,0.0,0.003
INHEASWY2,int64,58633,12,0,0.0,0.02
INHDYSYR2,int64,58633,38,0,0.0,0.065
INHDYPMO2,int64,58633,27,0,0.0,0.046
INHDYPWK2,int64,58633,14,0,0.0,0.024
INHAL30N2,int64,58633,31,0,0.0,0.053
INHAL30ES2,int64,58633,9,0,0.0,0.015
METHAMEVR,int64,58633,5,0,0.0,0.009
METHAMAGE,int64,58633,66,0,0.0,0.113
METHAMYFU,int64,58633,10,0,0.0,0.017
METHAMMFU,int64,58633,19,0,0.0,0.032
METHAMREC,int64,58633,10,0,0.0,0.017
METHAMYFQ,int64,58633,87,0,0.0,0.148
METOTFG,int64,58633,2,0,0.0,0.003
MEFQFLG,int64,58633,2,0,0.0,0.003
METHEASWY,int64,58633,11,0,0.0,0.019
METHDYSYR,int64,58633,50,0,0.0,0.085
METHDYPMO,int64,58633,31,0,0.0,0.053
METHDYPWK,int64,58633,14,0,0.0,0.024
METHAM30N,int64,58633,35,0,0.0,0.06
METHAM30E,int64,58633,8,0,0.0,0.014
OXCNANYYR2,int64,58633,11,0,0.0,0.019
PNRANYLIF2,int64,58633,7,0,0.0,0.012
PNRANYREC2,int64,58633,7,0,0.0,0.012
FENTANYYR2,float64,58469,2,164,0.28,0.003
PNRNMLIF,int64,58633,8,0,0.0,0.014
OXCNNMYR,int64,58633,8,0,0.0,0.014
OXCNNMAGE,int64,58633,45,0,0.0,0.077
