variable,etiqueta_codebook,modulo,tipo_version,codigo_doc,etiqueta_codigo,tipo_codigo_doc,codigo_especial,frecuencia_codebook,pct_codebook
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,431,0.74
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1340,2.29
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,26,0.04
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,4,0.01
ACTD7590,MAY 1975 TO JULY 1990,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,416,0.71
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1357,2.31
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,7,0.01
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,1783,3.04
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,2,No,Categoría analítica,False,573,0.98
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,2,0.00
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1,0.00
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56253,95.94
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,73,0.12
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1698,2.90
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,25,0.04
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,5,0.01
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,1,Yes,Categoría analítica,False,487,0.83
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,2,No (not entered),Categoría analítica,False,1286,2.19
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,21,0.04
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,1,0.00
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,97,REFUSED,No respuesta o ausencia,True,5,0.01
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,7,0.01
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),DEMOGRAPHICS,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,56826,96.92
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,1589,2.71
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,5,0.01
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,2893,4.93
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADCOUNS,COUNSELOR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,14777,25.20
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,1235,2.11
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,6,0.01
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,9,0.02
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,4,0.01
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1320,2.25
ADDPDISC,FEEL DISCRGD ABOUT LIFE WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,41282,70.41
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,13649,23.28
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,2366,4.04
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,85,BAD DATA Logically assigned,Asignación lógica,True,6,0.01
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,8,0.01
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,1,0.00
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1321,2.25
ADDPLSIN,EVER LOSE INT IN THINGS WHEN SAD/EMPTY/DEPRESSED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,41282,70.41
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,1483,2.53
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,1278,2.18
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,5,0.01
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,2,0.00
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1350,2.30
ADDSLSIN,EVER LOSE INT IN THNGS WHEN FEELING DISCOURGAGED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,54515,92.98
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,2389,4.07
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,2098,3.58
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADFAMDOC,GEN/FAM DOC TALKED W/ABT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,209,0.36
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,1,0.00
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4277,7.29
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADHERBAL,HERBALIST TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,410,0.70
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,11,0.02
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4066,6.93
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADNURSE,NURSE ETC.TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADOCMDE,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,.,Aged 12-17/Unknown/Legitimate Skip (Otherwise),Salto legítimo o no aplicable,True,49351,84.17
ADOCMDE,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,0,No (ADSEEDOC=2 or ADFAMDOC=6),Categoría analítica,False,6893,11.76
ADOCMDE,RC-ADULT: SAW/TALK TO GEN PRAC/FAM MD ABT DEP FEELINGS IN PY,RECODED ADULT DEPRESSION,Recodificada,1,"Yes (ADFAMDOC=1,3)",Categoría analítica,False,2389,4.07
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,370,0.63
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,2,0.00
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4115,7.02
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADOTHDOC,OTH DR TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,174,0.30
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,4313,7.36
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADOTHHLP,OTH HELP PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,1,Response entered,Categoría analítica,False,565,0.96
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,3,Response entered LOGICALLY ASSIGNED,Asignación lógica,True,1,0.00
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,6,Response not entered,Categoría analítica,False,3921,6.69
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,6,0.01
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,17,0.03
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1582,2.70
ADOTHMHP,MENTAL PROF TALKED W/ABOUT FEELINGS PAST 12 MOS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,52541,89.61
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,985,BAD DATA Logically assigned,Asignación lógica,True,3,0.01
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,994,DON'T KNOW,No respuesta o ausencia,True,237,0.40
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,997,REFUSED,No respuesta o ausencia,True,16,0.03
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,998,BLANK (NO ANSWER),No respuesta o ausencia,True,1571,2.68
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,999,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47746,81.43
ADPBAGE,AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,RANGE,1 - 96,Rango válido,False,9060,15.45
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,1,Often,Categoría analítica,False,2873,4.90
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,2,Sometimes,Categoría analítica,False,4164,7.10
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,3,Rarely,Categoría analítica,False,1562,2.66
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,4,Never,Categoría analítica,False,497,0.85
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,10,0.02
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,10,0.02
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1555,2.65
ADPBDLYA,WHEN PRBLMS WORST UNABLE TO CARRY OUT DLY ACTVTS,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47962,81.80
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,1,Not at all,Categoría analítica,False,216,0.37
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,2,A little,Categoría analítica,False,1093,1.86
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,3,Some,Categoría analítica,False,2599,4.43
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,4,A lot,Categoría analítica,False,3269,5.58
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,5,Extremely,Categoría analítica,False,2131,3.63
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,16,0.03
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,10,0.02
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1553,2.65
ADPBINTF,WHEN PRBLMS WORST INTERFERE WITH WORK/ PRSNL LIFE,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47746,81.43
ADPBNUM,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,ADULT DEPRESSION,Original u otra,9994,DON'T KNOW,No respuesta o ausencia,True,496,0.85
ADPBNUM,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,ADULT DEPRESSION,Original u otra,9997,REFUSED,No respuesta o ausencia,True,55,0.09
ADPBNUM,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,ADULT DEPRESSION,Original u otra,9998,BLANK (NO ANSWER),No respuesta o ausencia,True,1560,2.66
ADPBNUM,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,ADULT DEPRESSION,Original u otra,9999,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47746,81.43
ADPBNUM,# TIMES FELT THIS WAY FOR 2 WKS/LNGR DURING LIFE,ADULT DEPRESSION,Original u otra,RANGE,1 - 1000,Rango válido,False,8776,14.97
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,1,Yes,Categoría analítica,False,5706,9.73
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,2,No,Categoría analítica,False,3554,6.06
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,94,DON'T KNOW,No respuesta o ausencia,True,57,0.10
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,97,REFUSED,No respuesta o ausencia,True,13,0.02
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,98,BLANK (NO ANSWER),No respuesta o ausencia,True,1557,2.66
ADPBRMBR,RMBR AGE WHEN FIRST 2+ WK PERIOD OF TIME STARTED,ADULT DEPRESSION,Original u otra,99,LEGITIMATE SKIP,Salto legítimo o no aplicable,True,47746,81.43
ADPSDAYS,# DYS UNABLE TO WORK/CARRY OUT DLY ACT PST 12 MOS,ADULT DEPRESSION,Original u otra,994,DON'T KNOW,No respuesta o ausencia,True,123,0.21
ADPSDAYS,# DYS UNABLE TO WORK/CARRY OUT DLY ACT PST 12 MOS,ADULT DEPRESSION,Original u otra,997,REFUSED,No respuesta o ausencia,True,14,0.02
