variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
PEYOTEEVER,RC-EVER USED PEYOTE,RECODED DRUG USE,Recodificada,99.973,Predictor principal
MESCEVER,RC-EVER USED MESCALINE,RECODED DRUG USE,Recodificada,99.958,Predictor principal
AMYLNIEVER2,"RC-EVER INHALED AMYL NITRITE, ""POPPERS"", RUSH, ETC.",RECODED DRUG USE,Recodificada,99.968,Predictor principal
CLEFLUEVER2,"RC-EVER INHALED CORRECTION FLUID, DEGREASER, ETC.",RECODED DRUG USE,Recodificada,99.989,Predictor principal
GASEVER2,RC-EVER INHALED GASOLINE OR LIGHTER FLUID,RECODED DRUG USE,Recodificada,99.996,Predictor principal
GLUEEVER2,"RC-EVER INHALED GLUE, SHOE POLISH, OR TOLUENE",RECODED DRUG USE,Recodificada,99.994,Predictor principal
ETHEREVER2,"RC-EVER INHALED HALOTHANE, ETHER, OR OTHER ANESTHETIC",RECODED DRUG USE,Recodificada,99.985,Predictor principal
SOLVENEVER2,"RC-EVER INHALED LACQUER THINNER, OTHER PAINT SOLVENTS",RECODED DRUG USE,Recodificada,99.987,Predictor principal
LGASEVER2,"RC-EVER INHALED LIGHTER GASES (BUTANE, PROPANE)",RECODED DRUG USE,Recodificada,99.992,Predictor principal
NITOXIEVER2,"RC-EVER INHALED NITROUS OXIDE OR ""WHIPPITS""",RECODED DRUG USE,Recodificada,99.977,Predictor principal
FLTMRKEVER2,RC-EVER USED FELT-TIP PENS/MARKERS TO GET HIGH,RECODED DRUG USE,Recodificada,99.985,Predictor principal
SPAINTEVER2,RC-EVER INHALED SPRAY PAINTS,RECODED DRUG USE,Recodificada,99.992,Predictor principal
AIRDUSEVER2,RC-EVER USED COMPUTER CLEANER/AIR DUSTER TO GET HIGH,RECODED DRUG USE,Recodificada,99.994,Predictor principal
OTHAEREVER2,RC-EVER USED OTHER AEROSOL SPRAY,RECODED DRUG USE,Recodificada,99.987,Predictor principal
RXHYDCANY2,RC-HYDROCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.833,Predictor principal
RXZOHYANY2,RC-ZOHYDRO ER - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.831,Predictor principal
RXOXCOANY2,RC-OXYCODONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.822,Predictor principal
RXTRAMANY2,RC-TRAMADOL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.799,Predictor principal
RXCODEANY2,RC-CODEINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.827,Predictor principal
RXMORPANY2,RC-MORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.801,Predictor principal
RXBUPRANY2,RC-BUPRENORPHINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.827,Predictor principal
RXOXYMANY2,RC-OXYMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.82,Predictor principal
RXDEMEANY2,RC-DEMEROL PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.803,Predictor principal
RXHYDMANY2,RC-HYDROMORPHONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.803,Predictor principal
RXMTDNANY2,RC-METHADONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.803,Predictor principal
OTHRPNRANY2,RC-OTHER PAIN RELIEVER PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.0,Predictor principal
RXBZOTANY,RC-BENZODIAZEPINE TRANQUILIZERS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.949,Predictor principal
RXALPRANY,RC-ALPRAZOLEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.928,Predictor principal
RXLORAANY,RC-LORAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.922,Predictor principal
RXCLONANY,RC-CLONAZEP AM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.922,Predictor principal
RXDIAZANY,RC-DIAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.918,Predictor principal
RXMRLXANY,RC-MUSCLE RELAXANTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.903,Predictor principal
RXCYCLANY,RC-CYCLOBENZAPRINE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.903,Predictor principal
RXSOMAANY,RC-SOMA PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.903,Predictor principal
OTHRTRQANY,RC-OTHER TRANQUILIZER- ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.896,Predictor principal
RXAMMEANY,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.964,Predictor principal
RXAMPHANY,RC-AMPHETAMINE - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.956,Predictor principal
RXMTHPANY,RC-METHYLPHENIDATE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.951,Predictor principal
RXANORANY,RC-ANORECTIC STIMULANTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.947,Predictor principal
RXPROVANY,RC-PROVIGIL PRODUCTS- ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.947,Predictor principal
OTHRSTMANY,RC-OTHER STIMULANT - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.932,Predictor principal
RXZOLPANY,RC-ZOLPIDEM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.956,Predictor principal
RXESZOANY,RC-ESZOPICLONE PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.951,Predictor principal
RXZALEANY,RC-ZALEPLON PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.951,Predictor principal
RXBZOSANY,RC-BENZODIAZEPINE SEDATIVES - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.964,Predictor principal
RXTRIAANY,RC-TRIAZOLAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.964,Predictor principal
RXTEMAANY,RC-TEMAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.964,Predictor principal
RXFLURANY,RC-FLURAZEPAM PRODUCTS - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.964,Predictor principal
RXBARBANY,RC-BARBITUATES - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.949,Predictor principal
OTHRSEDANY,RC-OTHER SEDATIVE - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,99.943,Predictor principal
RXHYDCMIS,RC-HYDROCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.975,Predictor principal
RXZOHYMIS,RC-ZOHYDRO ER - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.979,Predictor principal
RXOXCOMIS,RC-OXYCODONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.962,Predictor principal
RXTRAMMIS,RC-TRAMADOL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.953,Predictor principal
RXCODEMIS,RC-CODEINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.96,Predictor principal
RXMORPMIS,RC-MORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.973,Predictor principal
RXBUPRMIS,RC-BUPRENORPHINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.97,Predictor principal
RXOXYMMIS,RC-OXYMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.977,Predictor principal
RXDEMEMIS,RC-DEMEROL PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.975,Predictor principal
RXHYDMMIS,RC-HYDROMORPHONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.975,Predictor principal
RXMTDNMIS,RC-METHADONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.973,Predictor principal
OTHRPNRMIS,RC-OTHER PAIN RELIEVER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.871,Predictor principal
RXBZOTMIS,RC-BENZODIAZEPINE TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.989,Predictor principal
RXALPRMIS,RC-ALPRAZOLEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.989,Predictor principal
RXLORAMIS,RC-LORAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.987,Predictor principal
RXCLONMIS,RC-CLONAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.987,Predictor principal
RXDIAZMIS,RC-DIAZEPAM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.987,Predictor principal
RXMRLXMIS,RC-MUSCLE RELAXANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.977,Predictor principal
RXCYCLMIS,RC-CYCLOBENZAPRINE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.981,Predictor principal
RXSOMAMIS,RC-SOMA PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.983,Predictor principal
OTHRTRQMIS,RC-OTHER TRANQUILIZER PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.958,Predictor principal
RXAMMEMIS,RC-AMPHETAMINE OR METHYLPHENIDATE PRODS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.994,Predictor principal
RXAMPHMIS,RC-AMPHETAMINE - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.992,Predictor principal
RXMTHPMIS,RC-METHYLPHENIDATE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.996,Predictor principal
RXANORMIS,RC-ANORECTIC STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.998,Predictor principal
RXPROVMIS,RC-PROVIGIL PRODUCTS- PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.998,Predictor principal
OTHRSTMMIS,RC-OTHER STIMULANT PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.975,Predictor principal
RXZOLPMIS,RC-ZOLPIDEM PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,100.0,Predictor principal
RXESZOMIS,RC-ESZOPICLONE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.998,Predictor principal
OTHRSEDMIS2,RC-OTHER SEDATIVE PRODUCTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.966,Predictor principal
RXBZOSMIS,RC-BENZODIAZEPINE SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.998,Predictor principal
RXBARBMIS,RC-BARBITURATES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,99.996,Predictor principal
ALCYDAYS,RC-# OF DAYS USED ALCOHOL IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
MRJYDAYS,RC-# OF DAYS USED MARIJUANA IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
COCYDAYS,RC-# OF DAYS USED COCAINE IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
CRKYDAYS,RC-# OF DAYS USED CRACK IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
HERYDAYS,RC-# OF DAYS USED HEROIN IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
HALLNDAYYR,RC-# OF DAYS USED HALLUCINOGENS IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
INHNDAYYR2,RC-# OF DAYS USED INHALANTS IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
METHNDAYYR,RC-# OF DAYS USED METHAMPHETAMINE IN PAST YEAR,RECODED DRUG USE,Recodificada,100.0,Predictor principal
CIGMDAYS,RC-# OF DAYS USED CIGARETTES IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
CGRMDAYS,RC-# OF DAYS USED CIGARS IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
SMKLSMDAYS,RC-# OF DAYS USED SMOKELESS TOBACCO IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
NICVPMDAYS,RC-# OF DAYS VAPED NICOTINE IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
ALCMDAYS,RC-# OF DAYS USED ALCOHOL IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
MRJMDAYS,RC-# OF DAYS USED MARIJUANA IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
COCMDAYS,RC-# OF DAYS USED COCAINE IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
CRKMDAYS,RC-# OF DAYS USED CRACK IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
HERMDAYS,RC-# OF DAYS USED HEROIN IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
HALLNDAYPM,RC-# OF DAYS USED HALLUCINOGENS IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
INHNDAYPM2,RC-# OF DAYS USED INHALANTS IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
METHNDAYPM,RC-# OF DAYS USED METHAMPHETAMINE IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
PNRNDAYPM,RC-# OF DAYS MISUSED PAIN RELIEVERS IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
TRQNDAYPM,RC-# OF DAYS MISUSED TRANQUILIZERS IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
STMNDAYPM,RC-# OF DAYS MISUSED STIMULANTS IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
SEDNDAYPM,RC-# OF DAYS MISUSED SEDATIVES IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
BNGDRMDAYS,RC-# OF DAYS BINGE USED ALCOHOL IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
CIGPDAY,RC-# OF CIGARETTES SMOKED PER DAY AMONG DAILY SMOKERS,RECODED DRUG USE,Recodificada,100.0,Predictor principal
CIG1PACK,RC-SMKED 1+ PCK OF CIGS PER DAY AMNG DLY SMKERS (1/0),RECODED DRUG USE,Recodificada,7.165,Predictor principal
CIGAVGD,RC-AVG NUMBER OF CIGARETTES SMOKED PER DAY,RECODED DRUG USE,Recodificada,13.818,Predictor principal
CIGAVGM,RC-NUMBER OF CIGARETTES SMOKED PER USER IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
ALCNUMDKPM,RC-NUMBER OF ALC BEVS DRANK PER USER IN PAST MONTH,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCIG18,RC-FIRST USED CIGARETTES PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCIG21,RC-FIRST USED CIGARETTES PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCD218,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCD221,RC-FIRST USED CIGARETTES DAILY PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCGR18,RC-FIRST USED CIGARS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCGR21,RC-FIRST USED CIGARS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUSMKLSS18,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUSMKLSS21,RC-FIRST USED SMOKELESS TOBACCO PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUNICVAP18,RC-FIRST VAPED NICOTINE PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUNICVAP21,RC-FIRST VAPED NICOTINE PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUALC18,RC-FIRST USED ALCOHOL PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUALC21,RC-FIRST USED ALCOHOL PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUMJ18,RC-FIRST USED MARIJUANA PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUMJ21,RC-FIRST USED MARIJUANA PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCOC18,RC-FIRST USED COCAINE PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCOC21,RC-FIRST USED COCAINE PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCRK18,RC-FIRST USED CRACK PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUCRK21,RC-FIRST USED CRACK PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUHER18,RC-FIRST USED HEROIN PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUHER21,RC-FIRST USED HEROIN PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUHALLUC18,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUHALLUC21,RC-FIRST USED HALLUCINOGENS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FULSD18,RC-FIRST USED LSD PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FULSD21,RC-FIRST USED LSD PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUPCP18,RC-FIRST USED PCP PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUPCP21,RC-FIRST USED PCP PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUECSTMO18,RC-FIRST USED ECSTASY PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUECSTMO21,RC-FIRST USED ECSTASY PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUINHAL182,RC-FIRST USED INHALANTS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUINHAL212,RC-FIRST USED INHALANTS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUMETHAM18,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUMETHAM21,RC-FIRST USED METHAMPHETAMINE PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUPNRNM18,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUPNRNM21,RC-FIRST MISUSED PAIN RELIEVERS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUTRQNM18,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUTRQNM21,RC-FIRST MISUSED TRANQUILIZERS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUSTMNM18,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 18,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUSTMNM21,RC-FIRST MISUSED STIMULANTS PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
FUSEDNM21,RC-FIRST MISUSED SEDATIVES PRIOR TO AGE 21,RECODED DRUG USE,Recodificada,100.0,Predictor principal
PNRMAINRSN,RC-MAIN REASON FOR MISUSING PAIN RELIEVERS LAST EPISODE,RECODED DRUG USE,Recodificada,99.512,Predictor principal
TRQMAINRSN,RC-MAIN REASON FOR MISUSING TRANQUILIZERS LAST EPISODE,RECODED DRUG USE,Recodificada,99.617,Predictor principal
STMMAINRSN,RC-MAIN REASON FOR MISUSING STIMULANTS LAST EPISODE,RECODED DRUG USE,Recodificada,99.543,Predictor principal
SEDMAINRSN,RC-MAIN REASON FOR MISUSING SEDATIVES LAST EPISODE,RECODED DRUG USE,Recodificada,99.463,Predictor principal
SRCPNRNM2,RC-SOURCE OF PAIN RELIEVERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,100.0,Predictor principal
SRCTRQNM2,RC-SOURCE OF TRANQUILIZERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,100.0,Predictor principal
SRCSTMNM2,RC-SOURCE OF STIMULANTS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,100.0,Predictor principal
SRCSEDNM2,RC-SOURCE OF SEDATIVES FOR LAST MISUSE,RECODED DRUG USE,Recodificada,100.0,Predictor principal
SRCFRPNRNM,RC-SOURCE OF FRIEND/RELATIVE PAIN RELIEVERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.848,Predictor principal
SRCFRTRQNM,RC-SOURCE OF FRIEND/RELATIVE TRANQUILIZERS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.628,Predictor principal
SRCFRSTMNM,RC-SOURCE OF FRIEND/RELATIVE STIMULANTS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.924,Predictor principal
SRCFRSEDNM,RC-SOURCE OF FRIEND/RELATIVE SEDATIVES FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.116,Predictor principal
SRCCLFRPNR,RC-COLLAPSED SOURCE OF FRND/REL PAIN RLVRS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.848,Predictor principal
SRCCLFRTRQ,RC-COLLAPSED SOURCE OF FRND/REL TRANQLZRS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.628,Predictor principal
SRCCLFRSTM,RC-COLLAPSED SOURCE OF FRND/REL STIMULANTS FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.924,Predictor principal
SRCCLFRSED,RC-COLLAPSED SOURCE OF FRND/REL SEDATIVES FOR LAST MISUSE,RECODED DRUG USE,Recodificada,0.116,Predictor principal
RXOPPRNMMON,RC-PRESCRIPTION OPIOIDS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,0.755,Predictor principal
NOOPPRANYYR,RC-NONOPIOID PRESCRIPTION PNR - ANY PAST YEAR USE,RECODED DRUG USE,Recodificada,2.102,Predictor principal
NOOPPRNMYR,RC-NONOPIOID PRESCRIPTION PNR - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,0.137,Predictor principal
COLDMEDS,TAKEN A NONPRESCRIPTION COUGH MED TO GET HIGH,SPECIAL DRUGS,Original u otra,99.442,Excluir de variables de entrada
COLDREC,TIME SINCE LAST USED COUGH/COLD MED,SPECIAL DRUGS,Original u otra,99.442,Excluir de variables de entrada
COLDYR1,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 1,SPECIAL DRUGS,Original u otra,99.055,Excluir de variables de entrada
COLDYR2,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 2,SPECIAL DRUGS,Original u otra,98.537,Excluir de variables de entrada
COLDYR3,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 3,SPECIAL DRUGS,Original u otra,98.383,Excluir de variables de entrada
COLDYR4,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 4,SPECIAL DRUGS,Original u otra,98.332,Excluir de variables de entrada
COLDYR5,OTHER COUGH/COLD MED USED PAST 12 MOS - SPECIFY 5,SPECIAL DRUGS,Original u otra,98.317,Excluir de variables de entrada
OTCFLAG,INCONSISTENCY FLAG FOR REPORT OF OTC COLD MEDS,SPECIAL DRUGS,Original u otra,0.04,Excluir de variables de entrada
GHB,EVER USED GHB,SPECIAL DRUGS,Original u otra,99.383,Excluir de variables de entrada
GHBREC,TIME SINCE LAST USED GHB,SPECIAL DRUGS,Original u otra,99.383,Excluir de variables de entrada
COCNEEDL,EVER USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,99.871,Excluir de variables de entrada
CONDLREC,TIME SINCE LAST USED NEEDLE TO INJECT COCAINE,SPECIAL DRUGS,Original u otra,99.871,Excluir de variables de entrada
HERSMOKE,EVER SMOKED HEROIN,SPECIAL DRUGS,Original u otra,99.934,Excluir de variables de entrada
HRSMKREC,TIME SINCE LAST SMOKED HEROIN,SPECIAL DRUGS,Original u otra,99.953,Excluir de variables de entrada
HERSNIFF,EVER SNIFFED HEROIN,SPECIAL DRUGS,Original u otra,99.909,Excluir de variables de entrada
HRSNFREC,TIME SINCE LAST SNIFFED HEROIN,SPECIAL DRUGS,Original u otra,99.951,Excluir de variables de entrada
HERNEEDL,EVER USED NEEDLE TO INJECT HEROIN,SPECIAL DRUGS,Original u otra,99.941,Excluir de variables de entrada
HEOTSMK,HOW USED HEROIN: SMOKED IT,SPECIAL DRUGS,Original u otra,97.583,Excluir de variables de entrada
HEOTSNF,HOW USED HEROIN: SNIFFED IT,SPECIAL DRUGS,Original u otra,97.583,Excluir de variables de entrada
HEOTNDL,HOW USED HEROIN: INJECTED IT WITH A NEEDLE,SPECIAL DRUGS,Original u otra,97.583,Excluir de variables de entrada
HEOTOTH,HOW USED HEROIN: SOME OTHER WAY,SPECIAL DRUGS,Original u otra,97.583,Excluir de variables de entrada
HEOTSP,HOW USED HEROIN: SPECIFY,SPECIAL DRUGS,Original u otra,97.507,Excluir de variables de entrada
HRNDLREC,TIME SINCE LAST USED NEEDLE TO INJECT HEROIN,SPECIAL DRUGS,Original u otra,99.945,Excluir de variables de entrada
METHNEEDL,EVER USED NEEDLE TO INJECT METHAMPHETAMINE,SPECIAL DRUGS,Original u otra,99.882,Excluir de variables de entrada
METHNDLRC,TIME SINCE LAST USED NEEDLE TO INJECT METH,SPECIAL DRUGS,Original u otra,99.882,Excluir de variables de entrada
OTDGNEDL,EVER USED NEEDLE TO INJECT ANY OTHER DRUG,SPECIAL DRUGS,Original u otra,99.446,Excluir de variables de entrada
OTDGNDLA,OTHER DRUG INJECTED - SPECIFY 1,SPECIAL DRUGS,Original u otra,0.759,Excluir de variables de entrada
OTDGNDLB,OTHER DRUG INJECTED - SPECIFY 2,SPECIAL DRUGS,Original u otra,0.277,Excluir de variables de entrada
OTDGNDLC,OTHER DRUG INJECTED - SPECIFY 3,SPECIAL DRUGS,Original u otra,0.135,Excluir de variables de entrada
OTDGNDLD,OTHER DRUG INJECTED - SPECIFY 4,SPECIAL DRUGS,Original u otra,0.051,Excluir de variables de entrada
OTDGNDLE,OTHER DRUG INJECTED - SPECIFY 5,SPECIAL DRUGS,Original u otra,0.025,Excluir de variables de entrada
OTDGNDLRC,TIME SINCE LAST USED A NEEDLE TO INJECT OTHER DRUG,SPECIAL DRUGS,Original u otra,99.44,Excluir de variables de entrada
GNNDREUS,LAST TIME REUSED NEEDLE USED BEFORE,SPECIAL DRUGS,Original u otra,2.209,Excluir de variables de entrada
