variable,etiqueta_codebook,modulo,tipo_version,pct_valores_informativos,rol_final_eda
IIFAMSVC,FAM REC WELFARE/JOB PL/CHILDCARE - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
IRWELMOS,NO OF MONTHS ON WELFARE - IMPUTATION REVISED,IMPUTED INCOME,Imputada,4.028,Predictor principal
IIWELMOS,NO OF MONTHS ON WELFARE - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,8.264,Excluir de variables de entrada
IRPINC3,RECODE -RESP TOT INCOME - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IRFAMIN3,RECODE - TOT FAM INCOME - IMPUTATION REVISED,IMPUTED INCOME,Imputada,100.0,Predictor principal
IIPINC3,RECODE - RESP TOT INCOME - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
IIFAMIN3,RECODE - TOT FAM INCOME - IMPUTATION INDICATOR,IMPUTED INCOME,Imputada,100.0,Excluir de variables de entrada
GOVTPROG,RC-PARTICIPATED IN ONE OR MORE GOVT ASSIST PROGRAMS,RECODED INCOME,Recodificada,100.0,Predictor principal
INCOME,RC-TOTAL FAMILY INCOME RECODE,RECODED INCOME,Recodificada,100.0,Predictor principal
POVERTY3,RC-POVERTY LEVEL (% OF US CENSUS POVERTY THRESHOLD),RECODED INCOME,Recodificada,99.712,Predictor principal
BOOKED,EVER ARRESTED AND BOOKED FOR BREAKING THE LAW,SPECIAL TOPICS,Original u otra,98.275,Predictor principal
NOBOOKY2,# TIMES ARRESTED AND BOOKED PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,12.924,Predictor principal
BKMVTHFT,ARRSTD & BOOKED FOR MOT VEH THEFT PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.78,Predictor principal
BKLARCNY,ARRSTD & BOOKED FOR LARCENY/THEFT PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.776,Predictor principal
BKBURGL,ARRSTD & BOOKED FOR BURGLARY/B & E PAST 12 MOS,SPECIAL TOPICS,Original u otra,1.78,Predictor principal
BKSRVIOL,ARRSTD & BOOKED SERIOUS VIOL OFFENSE PST 12 MOS,SPECIAL TOPICS,Original u otra,1.776,Predictor principal
BKSMASLT,ARRSTD & BOOKED FOR OTHER ASSAULT PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.734,Predictor principal
BKROB,ARRSTD & BOOKED FOR ROBBERY PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.782,Predictor principal
BKARSON,ARRSTD & BOOKED FOR ARSON PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.784,Predictor principal
BKDRVINF,ARRSTD & BOOKED FOR DUI PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.767,Predictor principal
BKDRUNK,ARRSTD & BOOKED FOR DRUNKENNESS PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,1.774,Predictor principal
BKDRUG,ARRSTD & BOOKED FOR POSSES/SALE DRUGS PAST 12 MOS,SPECIAL TOPICS,Original u otra,1.759,Predictor principal
BKSEXNR,ARRSTD & BOOKED SEX OFFENSE EXCL RAPE PST 12 MOS,SPECIAL TOPICS,Original u otra,1.784,Predictor principal
BKFRAUD,ARRSTD & BOOKED FOR FRAUD/STOL GOODS PAST 12 MOS,SPECIAL TOPICS,Original u otra,1.757,Predictor principal
BKOTH,ARRSTD & BOOKED FOR SOME OTHER OFF PAST 12 MOS,SPECIAL TOPICS,Original u otra,1.486,Predictor principal
BKOTHOF2,OTHER OFFENSE PAST 12 MONTHS - SPECIFY,SPECIAL TOPICS,Original u otra,0.503,Excluir de variables de entrada
PROBATON,ON PROBATION AT ANY TIME PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,98.651,Predictor principal
PAROLREL,ON PAROLE/SUPRV RELEASE PAST 12 MONTHS,SPECIAL TOPICS,Original u otra,98.645,Predictor principal
DRVINALCO,DROVE UNDER INFLUENCE OF ALCOHOL PST 12 MOS,SPECIAL TOPICS,Original u otra,98.894,Predictor principal
DRVINMARJ,DROVE UNDER INFLUENCE OF MARIJUANA PST 12 MOS,SPECIAL TOPICS,Original u otra,99.332,Predictor principal
DRVINCOCN,DROVE UNDER INFLU OF COCAINE PST 12 MOS,SPECIAL TOPICS,Original u otra,99.797,Predictor principal
DRVINHERN,DROVE UNDER INFLUENCE OF HEROIN PAST 12 MOS,SPECIAL TOPICS,Original u otra,99.915,Predictor principal
