variable,modulo,tipo_version,tipo_variable,n_unicos,n_nan,pct_nan,pct_dominante,n_ausencia_documental,tipos_ausencia,pct_ausencia_documental
NICVPMDAYS,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,85.687,0,Sin ausencia documental observada,0.0
NITOXIEVER2,RECODED DRUG USE,Recodificada,Binaria,2,11,0.023,94.717,0,Sin ausencia documental observada,0.0
NMERTMT2,HEALTH,Original u otra,Numérica con rango documentado,31,0,0.0,74.517,1413,No respuesta o ausencia,2.987
NMNGTHS2,HEALTH,Original u otra,Numérica con rango documentado,36,0,0.0,90.668,1017,No respuesta o ausencia,2.15
NMVSOEST,HEALTH,Original u otra,Categórica con número moderado de categorías,13,0,0.0,96.6,1101,No respuesta o ausencia,2.328
NMVSOPT2,HEALTH,Original u otra,Numérica con rango documentado,24,0,0.0,23.662,1598,No respuesta o ausencia,3.379
NOBOOKY2,SPECIAL TOPICS,Original u otra,Categórica con pocas categorías,9,0,0.0,85.281,844,No respuesta o ausencia,1.784
NOMARR2,DEMOGRAPHICS,Original u otra,Categórica con pocas categorías,5,0,0.0,47.269,90,No respuesta o ausencia,0.19
NONABOVEV2,HEALTH,Original u otra,Categórica con pocas categorías,6,0,0.0,63.409,1327,No respuesta o ausencia,2.806
NOOPPRANYYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,97.898,0,Sin ausencia documental observada,0.0
NOOPPRNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.863,0,Sin ausencia documental observada,0.0
NPCOLDFLAG,RECODED SPECIAL DRUGS,Recodificada,Binaria,2,0,0.0,95.698,0,Sin ausencia documental observada,0.0
NPCOLDMON,RECODED SPECIAL DRUGS,Recodificada,Binaria,2,0,0.0,99.702,0,Sin ausencia documental observada,0.0
NPCOLDYR,RECODED SPECIAL DRUGS,Recodificada,Binaria,2,0,0.0,99.101,0,Sin ausencia documental observada,0.0
NRCH17_2,HOUSEHOLD COMPOSITION (ROSTER),Original u otra,Numérica con rango documentado,4,1699,3.592,68.45,1699,No respuesta o ausencia,3.592
OPIANYYR2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,79.987,0,Sin ausencia documental observada,0.0
OPIIMFNMMN2,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,99.057,0,Sin ausencia documental observada,0.0
OPIIMFNMYR2,RECODED EMERGING ISSUES,Recodificada,Binaria,2,0,0.0,96.863,0,Sin ausencia documental observada,0.0
OPINMMON2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.133,0,Sin ausencia documental observada,0.0
OPINMYR2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,96.953,0,Sin ausencia documental observada,0.0
OTHAEREVER2,RECODED DRUG USE,Recodificada,Binaria,2,6,0.013,99.342,0,Sin ausencia documental observada,0.0
OTHINS,RECODED HEALTH INSURANCE,Recodificada,Binaria,2,0,0.0,80.236,0,Sin ausencia documental observada,0.0
OTHRPNRANY2,RECODED DRUG USE,Recodificada,Binaria,2,473,1.0,95.285,0,Sin ausencia documental observada,0.0
OTHRPNRMIS,RECODED DRUG USE,Recodificada,Binaria,2,61,0.129,99.674,0,Sin ausencia documental observada,0.0
OTHRSEDANY,RECODED DRUG USE,Recodificada,Binaria,2,27,0.057,97.905,0,Sin ausencia documental observada,0.0
OTHRSEDMIS2,RECODED DRUG USE,Recodificada,Binaria,2,16,0.034,99.899,0,Sin ausencia documental observada,0.0
OTHRSTMANY,RECODED DRUG USE,Recodificada,Binaria,2,32,0.068,99.066,0,Sin ausencia documental observada,0.0
OTHRSTMMIS,RECODED DRUG USE,Recodificada,Binaria,2,12,0.025,99.962,0,Sin ausencia documental observada,0.0
OTHRTRQANY,RECODED DRUG USE,Recodificada,Binaria,2,49,0.104,98.404,0,Sin ausencia documental observada,0.0
OTHRTRQMIS,RECODED DRUG USE,Recodificada,Binaria,2,20,0.042,99.918,0,Sin ausencia documental observada,0.0
OXYCNANYYR2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,97.345,0,Sin ausencia documental observada,0.0
OXYCNNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.615,0,Sin ausencia documental observada,0.0
PAROL,RECODED SPECIAL TOPICS,Recodificada,Binaria,2,641,1.355,97.918,0,Sin ausencia documental observada,0.0
PAROLREL,SPECIAL TOPICS,Original u otra,Categórica con pocas categorías,6,0,0.0,97.918,634,No respuesta o ausencia,1.34
PCPAGLST,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,51,0,0.0,98.26,82,No respuesta o ausencia,0.173
PCPFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,98.296,0,Sin ausencia documental observada,0.0
PCPMLU,PRIOR SUBSTANCE USE,Original u otra,Categórica con número moderado de categorías,18,0,0.0,98.26,162,No respuesta o ausencia,0.343
PCPMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.983,0,Sin ausencia documental observada,0.0
PCPYLU,PRIOR SUBSTANCE USE,Original u otra,Numérica con rango documentado,10,0,0.0,98.26,161,No respuesta o ausencia,0.34
PCPYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.932,0,Sin ausencia documental observada,0.0
PEYOTEEVER,RECODED DRUG USE,Recodificada,Binaria,2,13,0.027,98.577,0,Sin ausencia documental observada,0.0
PIPFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,91.583,0,Sin ausencia documental observada,0.0
PIPMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.23,0,Sin ausencia documental observada,0.0
PMNICDEP,NICOTINE DEPENDENCE,Original u otra,Categórica con pocas categorías,3,250,0.529,86.139,0,Sin ausencia documental observada,0.0
PNRANYFLAG2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,51.494,0,Sin ausencia documental observada,0.0
PNRANYYR2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,77.942,0,Sin ausencia documental observada,0.0
PNRMAINRSN,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,10,231,0.488,96.594,231,No respuesta o ausencia,0.488
PNRNDAYPM,RECODED DRUG USE,Recodificada,Categórica con pocas categorías,5,0,0.0,99.186,0,Sin ausencia documental observada,0.0
PNRNMFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,91.129,0,Sin ausencia documental observada,0.0
PNRNMMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.186,0,Sin ausencia documental observada,0.0
PNRNMYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,96.941,0,Sin ausencia documental observada,0.0
POVERTY3,RECODED INCOME,Recodificada,Categórica con pocas categorías,3,136,0.288,60.684,136,Ausencia documental,0.288
PREGAGE2,RECODED DEMOGRAPHICS,Recodificada,Categórica con pocas categorías,3,0,0.0,39.466,0,Sin ausencia documental observada,0.0
PREGST,RECODED HEALTH,Recodificada,Categórica con pocas categorías,3,382,0.808,57.249,0,Sin ausencia documental observada,0.0
PREGSTAT,HEALTH,Original u otra,Categórica con pocas categorías,7,0,0.0,57.249,372,No respuesta o ausencia,0.786
PROB,RECODED SPECIAL TOPICS,Recodificada,Binaria,2,638,1.349,97.137,0,Sin ausencia documental observada,0.0
PROBATON,SPECIAL TOPICS,Original u otra,Categórica con pocas categorías,6,0,0.0,97.137,633,No respuesta o ausencia,1.338
PRVHLTIN,HEALTH INSURANCE,Original u otra,Categórica con pocas categorías,5,0,0.0,56.591,1962,No respuesta o ausencia,4.148
PSILCYFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,85.909,0,Sin ausencia documental observada,0.0
PSILCYMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,99.15,0,Sin ausencia documental observada,0.0
PSILCYYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,96.148,0,Sin ausencia documental observada,0.0
PSYANYFLAG2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,57.775,0,Sin ausencia documental observada,0.0
PSYANYYR2,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,66.982,0,Sin ausencia documental observada,0.0
PSYCHFLAG,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,87.613,0,Sin ausencia documental observada,0.0
PSYCHMON,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,98.406,0,Sin ausencia documental observada,0.0
PSYCHYR,RECODED DRUG USE,Recodificada,Binaria,2,0,0.0,94.59,0,Sin ausencia documental observada,0.0
RCVYMHPRB,RECODED EMERGING ISSUES,Recodificada,Binaria,2,1677,3.546,76.556,0,Sin ausencia documental observada,0.0
RCVYSUBPRB,RECODED EMERGING ISSUES,Recodificada,Binaria,2,1597,3.376,88.057,0,Sin ausencia documental observada,0.0
RKFQDBLT,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,9,0,0.0,81.759,376,No respuesta o ausencia,0.795
RKFQPBLT,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,86.431,378,No respuesta o ausencia,0.799
RSKBNGDLY,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,68.602,597,No respuesta o ausencia,1.262
RSKBNGWK,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,44.771,613,No respuesta o ausencia,1.296
RSKCIGPKD,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,65.412,554,No respuesta o ausencia,1.171
RSKCOCMON,RISK/AVAILABILITY,Original u otra,Categórica con pocas categorías,8,0,0.0,63.185,815,No respuesta o ausencia,1.723
