clave_modelo,modelo,clave_configuracion,batch_size,learning_rate,target,descripcion,epocas_ejecutadas,mejor_epoca,loss,pr_auc,roc_auc,recall,precision,f2,accuracy,false_negatives,false_positives
multisalida_focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,focal_capas_compartidas,256,0.0005,IRAMDEYR,Episodio depresivo mayor,16,6,0.49370473623275757,0.4908126890659332,0.8844419717788696,0.85047847032547,0.32947173714637756,0.6461286544799805,0.792283296585083,125.0,1447.0
multisalida_focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,focal_capas_compartidas,256,0.0005,IRSUICTHNK,Ideación suicida,16,6,0.5630413889884949,0.2818909287452698,0.8116449117660522,0.7264653444290161,0.1928335726261139,0.46764227747917175,0.753435492515564,154.0,1712.0
multisalida_focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,focal_capas_compartidas,256,0.0005,IRSUIPLANYR,Planificación suicida,16,6,0.4959898889064789,0.13756859302520752,0.8518699407577515,0.8793103694915771,0.06541256606578827,0.25205928087234497,0.7083773612976074,21.0,2186.0
multisalida_focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,focal_capas_compartidas,256,0.0005,IRSUITRYYR,Intento suicida,16,6,0.5869518518447876,0.10100682824850082,0.8724509477615356,0.8809523582458496,0.039614561945199966,0.16787657141685486,0.7616279125213623,10.0,1794.0
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,focal_ramas_32,256,0.0005,IRAMDEYR,Episodio depresivo mayor,23,13,0.5165121555328369,0.47766628861427307,0.8909125924110413,0.9126794338226318,0.2916666567325592,0.6401005983352661,0.7455074191093445,73.0,1853.0
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,focal_ramas_32,256,0.0005,IRSUICTHNK,Ideación suicida,23,13,0.6059273481369019,0.28652727603912354,0.8145074844360352,0.7957371473312378,0.1701481193304062,0.45854654908180237,0.6960887908935547,115.0,2185.0
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,focal_ramas_32,256,0.0005,IRSUIPLANYR,Planificación suicida,23,13,0.5644770860671997,0.1671324074268341,0.8564454317092896,0.8735632300376892,0.06637554615736008,0.25452110171318054,0.7145877480506897,22.0,2138.0
multisalida_focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,focal_ramas_32,256,0.0005,IRSUITRYYR,Intento suicida,23,13,0.5608385801315308,0.09107038378715515,0.8758262991905212,0.8571428656578064,0.040654998272657394,0.17085902392864227,0.773916482925415,12.0,1699.0
multisalida_focal_sin_bn_ramas,Focal + Adam — Sin BatchNormalization en ramas específicas,focal_sin_bn_ramas,256,0.0005,IRAMDEYR,Episodio depresivo mayor,24,14,0.45120513439178467,0.49701303243637085,0.8915504217147827,0.8145933151245117,0.35748031735420227,0.6486951112747192,0.8177854418754578,155.0,1224.0
multisalida_focal_sin_bn_ramas,Focal + Adam — Sin BatchNormalization en ramas específicas,focal_sin_bn_ramas,256,0.0005,IRSUICTHNK,Ideación suicida,24,14,0.6174854636192322,0.291799396276474,0.8162854909896851,0.8419182896614075,0.1611148864030838,0.4562956690788269,0.6621299982070923,89.0,2468.0
multisalida_focal_sin_bn_ramas,Focal + Adam — Sin BatchNormalization en ramas específicas,focal_sin_bn_ramas,256,0.0005,IRSUIPLANYR,Planificación suicida,24,14,0.584453821182251,0.1563252955675125,0.8622795939445496,0.9195402264595032,0.0595681294798851,0.23654639720916748,0.6643763184547424,14.0,2526.0
multisalida_focal_sin_bn_ramas,Focal + Adam — Sin BatchNormalization en ramas específicas,focal_sin_bn_ramas,256,0.0005,IRSUITRYYR,Intento suicida,24,14,0.6177256107330322,0.10749087482690811,0.8774186968803406,0.9166666865348816,0.029210925102233887,0.12954238057136536,0.6609408259391785,7.0,2559.0
