variable,nombre,modulo,tipo_version,n_unicos,pct_nan,tipo_entrada
PSYANYYR2,RC-ANY PSYCHOTHERAPEUTICS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
OPIANYYR2,RC-ANY OPIOIDS (RX OPIOIDS OR HEROIN) - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
CNSANYYR,RC-ANY CENTRAL NERVOUS SYSTEM STIMULANTS - PAST YEAR USE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
PNRNMFLAG,RC-PAIN RELIEVERS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
PNRNMYR,RC-PAIN RELIEVERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
PNRNMMON,RC-PAIN RELIEVERS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
OXYCNNMYR,RC-OXYCONTIN - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TRQNMFLAG,RC-TRANQUILIZERS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TRQNMYR,RC-TRANQUILIZERS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TRQNMMON,RC-TRANQUILIZERS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
STMNMFLAG,RC-STIMULANTS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
STMNMYR,RC-STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
STMNMMON,RC-STIMULANTS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
SEDNMFLAG,RC-SEDATIVES - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
SEDNMYR,RC-SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
SEDNMMON,RC-SEDATIVES - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TQSDNMFLAG,RC-TRANQUILIZERS OR SEDATIVES - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TQSDNMYR,RC-TRANQUILIZERS OR SEDATIVES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
TQSDNMMON,RC-TRANQUILIZERS OR SEDATIVES - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
BZONMYR,RC - ANY BENZODIAZEPINES - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.017,Categórica
PSYCHFLAG,RC-ANY PSYCHOTHERAPEUTICS - EVER MISUSED,RECODED DRUG USE,Recodificada,2,0.0,Categórica
PSYCHYR,RC-ANY PSYCHOTHERAPEUTICS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
PSYCHMON,RC-ANY PSYCHOTHERAPEUTICS - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
OPINMYR2,RC-OPIOIDS (RX OPIOIDS OR HEROIN) - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
OPINMMON2,RC-OPIOIDS (RX OPIOIDS OR HEROIN) - PAST MONTH MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
HERRXOPYR,RC-HEROIN USE AND/OR RX OPIOID MISUSE - PAST YEAR,RECODED DRUG USE,Recodificada,4,0.0,Categórica
CNSNMYR,RC-CENTRAL NERVOUS SYSTEM STIMULANTS - PAST YEAR MISUSE,RECODED DRUG USE,Recodificada,2,0.0,Categórica
