clave_configuracion,modelo,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
focal_drop_mayor,Focal + Adam — Dropout mayor,IRSUIPLANYR,Planificación suicida,0.5,0.13456949745883076,0.8475814500107263,0.8103448275862069,0.0691515448749387,0.12742882964301852,0.2577696526508227,0.7768251051644857,0.7433053827427644,0.7448467230443975,5496,1898,33,141
focal_drop_mayor,Focal + Adam — Dropout mayor,IRSUITRYYR,Intento suicida,0.5,0.08690104769726764,0.8535892443562139,0.8333333333333334,0.035246727089627394,0.06763285024154589,0.1507321274763135,0.788660252984144,0.7439871726349546,0.7449788583509513,5568,1916,14,70
focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,IRAMDEYR,Episodio depresivo mayor,0.5,0.49123256686038824,0.884419412248008,0.8504784688995215,0.32947173308619093,0.4749498997995992,0.6461286804798255,0.8177674578603371,0.7850564468211527,0.7922832980972516,5285,1447,125,711
focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,IRSUICTHNK,Ideación suicida,0.5,0.28251048860985767,0.8118114059609793,0.7264653641207816,0.19283356907119284,0.30476900149031294,0.46764235078893207,0.7410342523673143,0.7556031406138473,0.7534355179704016,5293,1712,154,409
focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,IRSUIPLANYR,Planificación suicida,0.5,0.14062093030334438,0.8520973824691657,0.8793103448275862,0.06541256947413425,0.12176681257461201,0.25205930807248766,0.7918326135823082,0.70435488233703,0.708377378435518,5208,2186,21,153
focal_capas_compartidas,Focal + Adam — Capas compartidas 128 → 64,IRSUITRYYR,Intento suicida,0.5,0.1039103194187743,0.872664064289532,0.8809523809523809,0.03961456102783726,0.07581967213114754,0.16787658802177857,0.8206204983329515,0.7602886157135221,0.7616279069767442,5690,1794,10,74
focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRAMDEYR,Episodio depresivo mayor,0.5,0.47994590426062134,0.8910091095304296,0.9126794258373205,0.2916666666666667,0.4420625724217845,0.6401006711409396,0.8187134502923976,0.7247474747474747,0.745507399577167,4879,1853,73,763
focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRSUICTHNK,Ideación suicida,0.5,0.2881288653382509,0.8146340535750282,0.7957371225577264,0.1701481200151918,0.28035043804755944,0.458546571136131,0.7419085327278283,0.6880799428979301,0.6960887949260042,4820,2185,115,448
focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRSUIPLANYR,Planificación suicida,0.5,0.1695055187347622,0.8565662901575989,0.8735632183908046,0.06637554585152838,0.12337662337662338,0.25452109845947757,0.7922049253977286,0.7108466324046524,0.7145877378435518,5256,2138,22,152
focal_ramas_32,Focal + Adam — Ramas específicas de 32 neuronas,IRSUITRYYR,Intento suicida,0.5,0.09488647591711916,0.8762940304395408,0.8571428571428571,0.040654997176736304,0.07762803234501348,0.170859041290935,0.8150626097579599,0.7729823623730625,0.7739164904862579,5785,1699,12,72
focal_sin_bn_ramas,Focal + Adam — Sin BatchNormalization en ramas específicas,IRAMDEYR,Episodio depresivo mayor,0.5,0.4989569688968795,0.8915484709180177,0.8145933014354066,0.35748031496062993,0.4968989419919737,0.6486949895218137,0.8163875598086124,0.8181818181818182,0.8177854122621564,5508,1224,155,681
