clave_modelo,candidato,estrategia,target,descripcion,umbral,average_precision,roc_auc,recall,precision,f1,f2,balanced_accuracy,specificity,accuracy,true_negatives,false_positives,false_negatives,true_positives
residual_balanceada,MLP residual — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.029028952172244982,0.6691942811330839,0.36904761904761907,0.028783658310120707,0.053402239448751075,0.10969568294409059,0.6146413937033927,0.8602351683591662,0.8547832980972516,6438,1046,53,31
dos_ramas_balanceada,MLP de dos ramas — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.4685859569203903,0.8730955772188533,0.631578947368421,0.42409638554216866,0.5074483421432003,0.5752887339289605,0.7625363542546205,0.89349376114082,0.864561310782241,6015,717,308,528
dos_ramas_balanceada,MLP de dos ramas — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.21778285064096586,0.760320907547641,0.21314387211367672,0.2891566265060241,0.24539877300613497,0.2249718785151856,0.5855155477627627,0.9578872234118487,0.9024841437632135,6710,295,443,120
dos_ramas_balanceada,MLP de dos ramas — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.1105342498163966,0.7405258690643859,0.1724137931034483,0.15306122448979592,0.16216216216216217,0.1681614349775785,0.5749815787264605,0.9775493643494726,0.9590380549682875,7228,166,144,30
dos_ramas_balanceada,MLP de dos ramas — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.0835512654776025,0.7359159858491766,0.09523809523809523,0.15384615384615385,0.11764705882352941,0.10309278350515463,0.5446794431294699,0.9941207910208445,0.9841437632135307,7440,44,76,8
embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.4660342353380777,0.8738953352835985,0.6543062200956937,0.4112781954887218,0.5050784856879039,0.5851519041506205,0.7689980298339432,0.8836898395721925,0.8583509513742071,5949,783,289,547
embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.2561612195417621,0.7987012575387031,0.4049733570159858,0.2743682310469314,0.32711621233859395,0.3697697048329549,0.6594459932831536,0.9139186295503212,0.8760570824524313,6402,603,335,228
embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.11112605058942991,0.7655733601957473,0.14942528735632185,0.13756613756613756,0.14325068870523416,0.14689265536723164,0.5636901930425103,0.9779550987286989,0.9589059196617337,7231,163,148,26
embeddings_mlp_balanceada,Embeddings + MLP — Ponderación balanceada,balanceada,IRSUITRYYR,Intento suicida,0.5,0.09103111880839863,0.7838674887378789,0.13095238095238096,0.10476190476190476,0.1164021164021164,0.12471655328798185,0.5591961263393652,0.9874398717263495,0.9779334038054969,7390,94,73,11
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,IRAMDEYR,Episodio depresivo mayor,0.5,0.33176277228967865,0.8419116758636179,0.07535885167464115,0.44366197183098594,0.12883435582822086,0.09036144578313253,0.5318119273227633,0.9882650029708854,0.8874207188160677,6653,79,773,63
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,IRSUICTHNK,Ideación suicida,0.5,0.10098273722704407,0.5949984976475823,0.017761989342806393,0.13157894736842105,0.03129890453834116,0.02147766323024055,0.5041700739005253,0.9905781584582442,0.9182082452431289,6939,66,553,10
embeddings_lstm_balanceada,Embeddings + LSTM — Ponderación balanceada,balanceada,IRSUIPLANYR,Planificación suicida,0.5,0.10802597202799358,0.7628000646687746,0.08045977011494253,0.18421052631578946,0.112,0.09067357512953368,0.5360372964721318,0.9916148228293211,0.9706659619450317,7332,62,160,14
