clave_modelo,candidato,target,descripcion,criterio,umbral,recall,precision,f1,f2,balanced_accuracy,accuracy,specificity,youden,true_negatives,false_positives,false_negatives,true_positives,average_precision,roc_auc
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUITRYYR,Intento suicida,F2 máximo,0.751,0.39285714285714285,0.12941176470588237,0.1946902654867257,0.2791878172588832,0.6815969305947926,0.9639270613107822,0.9703367183324425,0.3631938611895853,7262,222,51,33,0.1097706989911304,0.8743223639001299
multisalida_bce_tareas,Red multisalida — BCE + pesos por tarea,IRSUITRYYR,Intento suicida,Balanced Accuracy máxima,0.29,0.7857142857142857,0.06060606060606061,0.11253196930946291,0.23157894736842105,0.8245113384744598,0.8624471458773785,0.8633083912346339,0.6490226769489196,6461,1023,18,66,0.1097706989911304,0.8743223639001299
multisalida_focal_adam,Red multisalida — Focal + Adam,IRAMDEYR,Episodio depresivo mayor,"Umbral 0,5",0.5,0.8492822966507177,0.33825631252977606,0.4838160136286201,0.6522138526547859,0.8214771554554836,0.7998150105708245,0.7936720142602496,0.6429543109109672,5343,1389,126,710,0.4938410944906633,0.8916041750178396
multisalida_focal_adam,Red multisalida — Focal + Adam,IRAMDEYR,Episodio depresivo mayor,F2 máximo,0.509,0.8385167464114832,0.3498003992015968,0.493661971830986,0.6553851907255049,0.8224817837820934,0.8099894291754757,0.8064468211527035,0.6449635675641867,5429,1303,135,701,0.4938410944906633,0.8916041750178396
multisalida_focal_adam,Red multisalida — Focal + Adam,IRAMDEYR,Episodio depresivo mayor,Balanced Accuracy máxima,0.507,0.8409090909090909,0.3478476001979218,0.4921246062303116,0.6551724137931034,0.8225638740344623,0.8082716701902748,0.8042186571598336,0.6451277480689246,5414,1318,133,703,0.4938410944906633,0.8916041750178396
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUICTHNK,Ideación suicida,"Umbral 0,5",0.5,0.7211367673179396,0.20089064819396338,0.3142414860681114,0.4750760589749591,0.7452935799473352,0.7658562367864693,0.7694503925767309,0.4905871598946705,5390,1615,157,406,0.2939410711232845,0.8203219471501579
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUICTHNK,Ideación suicida,F2 máximo,0.479,0.7726465364120781,0.19162995594713655,0.307094952347335,0.48098186643078294,0.7553453952581447,0.7406183932346723,0.7380442541042113,0.5106907905162894,5170,1835,128,435,0.2939410711232845,0.8203219471501579
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUICTHNK,Ideación suicida,Balanced Accuracy máxima,0.477,0.7779751332149201,0.19010416666666666,0.3055458667596791,0.480684811237928,0.7557969884490018,0.7369186046511628,0.7336188436830835,0.5115939768980036,5139,1866,125,438,0.2939410711232845,0.8203219471501579
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUIPLANYR,Planificación suicida,"Umbral 0,5",0.5,0.8620689655172413,0.07378258730939498,0.13593112822836428,0.2748259435690729,0.8037015100780689,0.7480179704016914,0.7453340546388963,0.6074030201561378,5511,1883,24,150,0.15257162349288464,0.8604953845771192
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUIPLANYR,Planificación suicida,F2 máximo,0.594,0.5172413793103449,0.12430939226519337,0.200445434298441,0.3169014084507043,0.7157480902502495,0.9051268498942917,0.9142548011901542,0.4314961805004991,6760,634,84,90,0.15257162349288464,0.8604953845771192
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUIPLANYR,Planificación suicida,Balanced Accuracy máxima,0.49,0.896551724137931,0.07225567392311255,0.1337333904843549,0.2732049036777583,0.8128282018038857,0.7329545454545454,0.7291046794698404,0.6256564036077714,5391,2003,18,156,0.15257162349288464,0.8604953845771192
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUITRYYR,Intento suicida,"Umbral 0,5",0.5,0.8452380952380952,0.03898956617243273,0.07454068241469818,0.1645804357904497,0.8057029599653864,0.7670454545454546,0.7661678246926777,0.6114059199307729,5734,1750,13,71,0.09528993783931439,0.8713827594105521
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUITRYYR,Intento suicida,F2 máximo,0.633,0.4642857142857143,0.09898477157360407,0.16317991631799164,0.2671232876712329,0.7084255936474002,0.9471458773784355,0.952565473009086,0.4168511872948004,7129,355,45,39,0.09528993783931439,0.8713827594105521
multisalida_focal_adam,Red multisalida — Focal + Adam,IRSUITRYYR,Intento suicida,Balanced Accuracy máxima,0.506,0.8452380952380952,0.040226628895184136,0.07679826933477554,0.16896715849595428,0.8094442747703037,0.7744450317124736,0.773650454302512,0.6188885495406073,5790,1694,13,71,0.09528993783931439,0.8713827594105521
